match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,aerialLost,unsuccessfulTouch,shotOffTarget,onTargetScoringAttempt,goals,shotValueNormalized,totalCross,accurateCross,blockedScoringAttempt,keyPass,challengeLost,dispossessed,totalContest,wonContest,totalOffside,bigChanceCreated,bigChanceMissed
14015494,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,27.0,18.0,14.0,5.0,0.0,13.0,16.0,5.0,11.0,1.0,1.0,1.0,8.0,2.0,2.0,3.0,1.0,90.0,39.0,6.2,9.0,0.0212,"{'original': 6.2, 'alternative': 7.2}",0,0.1,0.0,-0.11,-0.69,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,35.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,40.0,31.0,12.0,5.0,0.0,21.0,23.0,10.0,17.0,4.0,9.0,7.0,6.0,,,,,90.0,63.0,7.5,11.0,,"{'original': 7.5, 'alternative': 7.4}",0,0.11,0.16,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,5,1,77.5,41.66666666666667,,,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,46.0,40.0,12.0,9.0,0.0,26.0,26.0,14.0,20.0,4.0,4.0,6.0,4.0,,,,,90.0,57.0,7.4,7.0,,"{'original': 7.4, 'alternative': 7.1}",0,0.42,0.17,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,6,0,0,0,86.95652173913044,75.0,,,,2.0,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,47.0,41.0,11.0,9.0,0.0,30.0,30.0,11.0,17.0,1.0,2.0,2.0,2.0,,,,,90.0,57.0,7.8,7.0,,"{'original': 7.8, 'alternative': 7.7}",2,0.11,0.33,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,87.2340425531915,81.81818181818183,,,,4.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,
14015494,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,M,27,False,26.0,21.0,1.0,,0.0,9.0,9.0,12.0,17.0,,1.0,1.0,4.0,,,,,71.0,41.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.9}",2,0.25,-0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,80.76923076923077,,25.0,,,1.0,,,,,1.0,1.0,,,,1.0,,-0.14,8.0,2.0,1.0,2.0,,,,,,,
14015494,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,33.0,22.0,6.0,2.0,0.0,12.0,14.0,10.0,19.0,1.0,6.0,2.0,3.0,,,,,90.0,48.0,6.9,14.0,,"{'original': 6.9, 'alternative': 7.2}",1,0.19,0.08,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,66.66666666666666,33.33333333333333,40.0,,,3.0,,,5.0,4.0,,2.0,,,,1.0,,-0.05,5.0,2.0,,1.0,1.0,,,,,,
14015494,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,25.0,17.0,6.0,4.0,0.0,5.0,6.0,12.0,19.0,,3.0,,2.0,,,,,71.0,33.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.0,-0.38,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,68.0,66.66666666666666,,100.0,,4.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,-0.01,,,,,1.0,1.0,1.0,1.0,,,
14015494,home,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,M,6,False,30.0,23.0,4.0,3.0,0.0,9.0,10.0,14.0,20.0,3.0,5.0,,2.0,,,,,90.0,53.0,7.3,10.0,,"{'original': 7.3, 'alternative': 7.6}",3,0.35,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,76.66666666666667,75.0,66.66666666666666,,,1.0,,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,-0.54,3.0,2.0,,2.0,,,,,,,
14015494,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,F,7,False,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,1.0,2.0,1.0,3.0,,,,,45.0,14.0,6.8,2.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.13,0.23,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,77.77777777777779,,,,,2.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,
14015494,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,False,23.0,18.0,1.0,1.0,0.0,7.0,7.0,11.0,16.0,,6.0,,5.0,,,,,71.0,42.0,6.6,13.0,,"{'original': 6.6, 'alternative': 7.2}",2,0.06,-0.32,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,6,8,78.26086956521739,100.0,,40.0,,8.0,,,2.0,2.0,2.0,3.0,,2.0,1.0,,,-0.43,3.0,,1.0,1.0,2.0,,5.0,2.0,,,
