match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,ballRecovery,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialWon,dispossessed,totalContest,outfielderBlock,wonContest,shotOffTarget,hitWoodwork,shotValueNormalized,blockedScoringAttempt,onTargetScoringAttempt,goals,totalOffside
14015498,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,False,8.0,4.0,,,0.0,2.0,3.0,2.0,5.0,4.0,7.0,2.0,,,,,63.0,19.0,7.1,7.0,,"{'original': 7.1, 'alternative': 7.3}",2,-0.6,-0.15,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,50.0,,,,,1.0,,4.0,1.0,,,,,1.0,2.0,1.0,,2.0,,1.0,,,,,0.52,,2.0,1.0,1.0
14015498,home,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,,,1.0,,,,,27.0,20.0,7.4,4.0,,"{'original': 7.4, 'alternative': 7.3}",1,0.13,0.3,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,5,0,88.88888888888889,,,100.0,,,,7.0,,,,1.0,1.0,3.0,3.0,,1.0,2.0,,1.0,,1.0,1.0,,-0.4,,,,
14015498,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,10.0,7.0,1.0,1.0,0.0,3.0,4.0,4.0,6.0,,,3.0,,,,,19.0,16.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.16,0.05,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,70.0,100.0,,100.0,,1.0,,4.0,,,,1.0,,,,,,,,3.0,,3.0,,,,,,,
14015498,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,,1.0,,,,,12.0,6.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.6}",0,-0.07,-0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,,100.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14015498,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,3.0,2.0,,,0.0,2.0,2.0,,1.0,,1.0,,,,,,12.0,8.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.02,-0.54,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,66.66666666666666,,,,,,,1.0,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,
14015498,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,25.0,22.0,6.0,4.0,0.0,22.0,24.0,,1.0,,,10.0,,,2.0,2.0,90.0,34.0,6.6,3.0,0.1689,"{'original': 6.6, 'alternative': 6.5}",0,-0.01,0.0,-0.18,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,56.0,46.0,7.0,4.0,0.0,29.0,35.0,17.0,21.0,2.0,5.0,2.0,,,,,90.0,65.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.1,0.07,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,82.14285714285714,57.14285714285714,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,2.0,,,,,,,,
14015498,away,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,60.0,50.0,9.0,4.0,0.0,28.0,30.0,22.0,30.0,,3.0,4.0,,,,,61.0,67.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.15,0.16,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,83.33333333333334,44.44444444444444,,,,,,5.0,,4.0,,2.0,2.0,,,3.0,,3.0,,,,,1.0,,-0.02,,,,
14015498,away,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,False,80.0,73.0,10.0,9.0,0.0,37.0,37.0,36.0,43.0,2.0,6.0,5.0,,,,,90.0,92.0,7.1,7.0,,"{'original': 7.1, 'alternative': 7.5}",1,0.36,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,91.25,90.0,,,,,,6.0,,2.0,,3.0,3.0,,,4.0,,3.0,,,1.0,,,,-0.62,,1.0,,
14015498,away,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,False,33.0,22.0,2.0,1.0,0.0,11.0,14.0,11.0,19.0,1.0,5.0,1.0,,,,,84.0,60.0,6.2,21.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.2,-0.06,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,66.66666666666666,50.0,,50.0,,3.0,,8.0,1.0,,,4.0,3.0,2.0,2.0,2.0,,1.0,,2.0,,1.0,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,36.0,31.0,1.0,1.0,0.0,15.0,17.0,16.0,19.0,,4.0,4.0,,,,,84.0,44.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.9}",0,0.17,0.09,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,86.11111111111111,100.0,,100.0,,,,4.0,,1.0,,1.0,,,1.0,4.0,1.0,,,2.0,,2.0,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,71.0,60.0,8.0,3.0,1.0,28.0,30.0,32.0,41.0,,3.0,11.0,,,,,90.0,94.0,7.4,13.0,,"{'original': 7.4, 'alternative': 7.2}",0,0.34,0.2,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,8,3,84.50704225352112,37.5,33.33333333333333,100.0,,3.0,1.0,8.0,2.0,2.0,,5.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,21.0,18.0,1.0,,0.0,8.0,8.0,10.0,13.0,,4.0,5.0,,,,,72.0,43.0,7.0,12.0,,"{'original': 7, 'alternative': 7}",2,0.57,0.38,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,7,4,85.71428571428571,,66.66666666666666,50.0,,3.0,2.0,7.0,,,,2.0,,5.0,3.0,1.0,1.0,,1.0,4.0,,2.0,1.0,,-0.29,1.0,,,
14015498,away,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,22.0,18.0,,,0.0,8.0,8.0,10.0,14.0,2.0,4.0,3.0,,,,,90.0,34.0,7.1,10.0,,"{'original': 7.1, 'alternative': 6.8}",1,-0.46,0.3,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,81.81818181818183,,,,,2.0,,1.0,,,,,,3.0,1.0,1.0,,,1.0,,,,,,0.54,,1.0,1.0,
14015498,away,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,27.0,24.0,1.0,1.0,0.0,4.0,4.0,20.0,23.0,,5.0,2.0,,,,,61.0,43.0,6.5,10.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.04,-0.2,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,88.88888888888889,100.0,,40.0,,,,4.0,1.0,,,,,1.0,1.0,,,1.0,1.0,5.0,,2.0,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,False,8.0,5.0,,,0.0,3.0,3.0,2.0,5.0,2.0,6.0,1.0,,,,,90.0,21.0,6.1,11.0,,"{'original': 6.1, 'alternative': 6.3}",0,-0.23,-0.51,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,62.5,,,,,,,1.0,,1.0,,,,5.0,1.0,1.0,,,2.0,1.0,,,,,,,,,1.0
14015498,away,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,10.0,8.0,,,0.0,2.0,2.0,6.0,8.0,,4.0,,,,,,29.0,18.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.5}",0,0.01,-0.39,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,80.0,,,,,,,,,1.0,,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,267591,Milan Radin,milan-radin,M,7,True,21.0,16.0,7.0,3.0,0.0,5.0,6.0,11.0,15.0,,5.0,,,,,,29.0,26.0,6.1,7.0,,"{'original': 6.1, 'alternative': 6.1}",0,-0.12,0.08,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,76.19047619047619,42.857142857142854,,,,,,1.0,2.0,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,6.0,4.0,,,0.0,2.0,2.0,2.0,4.0,,1.0,,,,,,18.0,7.0,6.3,2.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.12,,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,2.0,1.0,,,0.0,,,1.0,2.0,,1.0,,,,,,11.0,3.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.06,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,True,14.0,11.0,4.0,2.0,0.0,6.0,7.0,5.0,7.0,,1.0,1.0,,,,,12.0,14.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.3}",0,0.08,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,78.57142857142857,50.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,802392,FK TSC Bačka Topola,1981883,Nemanja Pivnički,nemanja-pivnicki,F,44,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,802392,FK TSC Bačka Topola,1656945,Matija Popovic,popovic-matija,D,2,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015498,away,263360,FK TSC Bačka Topola,2035083,Stefan Tomović,stefan-tomovic,M,42,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
