match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,interceptionWon,totalTackle,keyPass,aerialLost,dispossessed,blockedScoringAttempt,outfielderBlock,unsuccessfulTouch,fouls,shotValueNormalized,aerialWon,accurateCross,wonTackle,shotOffTarget,wasFouled,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,hitWoodwork,errorLeadToAShot
14015532,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,46.0,23.0,30.0,8.0,0.0,17.0,24.0,6.0,22.0,1.0,12.0,1.0,3.0,,90.0,55.0,6.5,24.0,127.033880283,19.0,-23.625,7.77,0.2558,"{'original': 6.5, 'alternative': 6.6}",0,0.26,0.01,-0.13,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,26.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
14015532,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,36.0,23.0,8.0,2.0,0.0,15.0,19.0,8.0,17.0,6.0,6.0,,,,90.0,57.0,6.3,19.0,89.25768825177,15.0,-8.61,4.62,,"{'original': 6.3, 'alternative': 7}",2,0.04,0.21,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,63.888888888888886,25.0,,,,1.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,-0.16,1.0,,,2.0,,,,,,,1.0
14015532,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,31.0,25.0,8.0,4.0,0.0,17.0,18.0,8.0,13.0,9.0,2.0,,,,90.0,48.0,7.3,7.0,72.185722439447,10.0,3.99,12.18,,"{'original': 7.3, 'alternative': 6.9}",0,0.24,0.41,0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,80.64516129032258,50.0,,,,,3.0,1.0,1.0,,,,2.0,,,1.0,,,2.0,1.0,1.0,,,,,,1.0,,,,,,
14015532,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,False,51.0,45.0,4.0,2.0,0.0,30.0,33.0,15.0,18.0,6.0,2.0,,,,90.0,69.0,6.9,7.0,139.6309026317,25.0,11.13,8.715,,"{'original': 6.9, 'alternative': 7.2}",0,0.08,0.04,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,88.23529411764706,50.0,,,,,4.0,5.0,,,,,3.0,2.0,,,,,1.0,1.0,4.0,,3.0,,2.0,,,,,,,,
14015532,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,56.0,44.0,5.0,2.0,0.0,16.0,20.0,28.0,36.0,1.0,6.0,,,,90.0,69.0,6.6,15.0,140.09440487358,22.0,-65.52,3.465,,"{'original': 6.6, 'alternative': 6.7}",0,0.16,0.05,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,78.57142857142857,40.0,,,,,3.0,4.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,2.0,,,,,,
14015532,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,14.0,11.0,1.0,1.0,0.0,5.0,6.0,6.0,8.0,3.0,6.0,,,,90.0,26.0,6.4,4.0,47.437993208359,4.0,-23.415,6.93,,"{'original': 6.4, 'alternative': 6.8}",2,0.02,0.09,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,78.57142857142857,100.0,,,,,2.0,,,,,,,,,,,,,1.0,2.0,0.27,,,,1.0,,,1.0,,,,
14015532,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,42.0,29.0,8.0,2.0,1.0,13.0,13.0,16.0,29.0,2.0,5.0,,,,90.0,52.0,7.2,14.0,148.21621372826,12.0,-19.635,21.63,,"{'original': 7.2, 'alternative': 7.6}",0,0.4,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,69.04761904761905,25.0,,100.0,,,2.0,5.0,1.0,1.0,1.0,2.0,,1.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,2.0,,,,,,
14015532,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,16.0,10.0,2.0,2.0,1.0,3.0,4.0,7.0,12.0,,6.0,,,,67.0,39.0,7.5,15.0,120.29646543016,14.0,-34.965,9.66,,"{'original': 7.5, 'alternative': 7.6}",0,0.45,0.3,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,10,4,62.5,100.0,100.0,71.42857142857143,,1.0,5.0,11.0,1.0,7.0,5.0,1.0,,4.0,2.0,1.0,1.0,,,6.0,,,1.0,1.0,4.0,,1.0,,,,,,
14015532,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,27.0,24.0,2.0,1.0,1.0,6.0,6.0,18.0,21.0,1.0,3.0,,,,67.0,47.0,8.5,9.0,104.70061875732,17.0,-12.39,6.72,,"{'original': 8.5, 'alternative': 8.3}",1,0.55,0.33,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,88.88888888888889,50.0,33.33333333333333,,,3.0,2.0,3.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,3.0,,0.51,,1.0,1.0,,1.0,,1.0,1.0,,,
14015532,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,30.0,27.0,1.0,,0.0,5.0,5.0,22.0,25.0,,5.0,,,,78.0,49.0,7.4,12.0,158.16188781408,22.0,-33.705,8.925,,"{'original': 7.4, 'alternative': 8}",3,0.11,0.21,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,90.0,,20.0,50.0,,5.0,3.0,3.0,1.0,2.0,1.0,,,1.0,3.0,,1.0,,,3.0,,0.34,,1.0,1.0,2.0,1.0,,1.0,1.0,,,
14015532,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,17.0,15.0,,,0.0,8.0,8.0,7.0,9.0,,4.0,,,,89.0,36.0,6.8,10.0,93.193805847546,11.0,-1.26,8.82,,"{'original': 6.8, 'alternative': 7.4}",4,-0.36,0.31,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,88.23529411764706,,50.0,,,2.0,4.0,2.0,1.0,,,,,,,2.0,1.0,,,6.0,,0.37,,1.0,,3.0,2.0,,1.0,1.0,,,
14015532,away,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,True,9.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,7.0,1.0,2.0,,,,23.0,15.0,6.9,4.0,19.971358185995,3.0,2.835,3.99,,"{'original': 6.9, 'alternative': 7.1}",0,-0.01,0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,66.66666666666666,100.0,,,,,,4.0,,,,,,1.0,2.0,,,,,1.0,,,2.0,,1.0,,1.0,,,,,,
14015532,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,10.0,7.0,1.0,1.0,0.0,3.0,3.0,4.0,7.0,,3.0,,,,23.0,14.0,6.3,4.0,72.831545303839,8.0,-36.225,4.725,,"{'original': 6.3, 'alternative': 6.3}",2,-0.27,0.42,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,70.0,100.0,,,,1.0,3.0,,,,,,1.0,,,2.0,,1.0,,,1.0,-0.55,,,,1.0,,1.0,,,,1.0,
14015532,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,3.0,1.0,1.0,,0.0,,,1.0,3.0,1.0,,,,,12.0,8.0,6.5,4.0,38.822711960913,1.0,-38.43,-38.43,,"{'original': 6.5, 'alternative': 6.7}",0,-0.13,0.11,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,33.33333333333333,,,100.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,
14015532,away,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,,,,,0.0,,,,,,1.0,,,,1.0,2.0,,1.0,7.6470795078906,1.0,-5.985,-5.985,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015532,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,away,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
