match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,interceptionWon,totalTackle,keyPass,aerialLost,dispossessed,blockedScoringAttempt,outfielderBlock,unsuccessfulTouch,fouls,shotValueNormalized,aerialWon,accurateCross,wonTackle,shotOffTarget,wasFouled,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,hitWoodwork,errorLeadToAShot
14015532,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,44.0,28.0,22.0,6.0,0.0,26.0,34.0,2.0,10.0,2.0,7.0,1.0,2.0,1.0,90.0,52.0,6.0,16.0,70.856816777989,10.0,-3.045,4.935,0.4993,"{'original': 6, 'alternative': 6.2}",0,-0.09,-0.08,-0.3,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,63.63636363636363,27.27272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,41.0,36.0,5.0,4.0,0.0,21.0,23.0,15.0,18.0,2.0,4.0,,,,81.0,56.0,6.1,9.0,130.90734171925,13.0,29.295,17.22,,"{'original': 6.1, 'alternative': 6.2}",0,0.27,0.07,-0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,87.8048780487805,80.0,,50.0,,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015532,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,D,6,False,67.0,50.0,17.0,6.0,0.0,40.0,49.0,10.0,18.0,3.0,9.0,,,,90.0,79.0,5.9,20.0,157.94744216439,20.0,37.17,10.185,,"{'original': 5.9, 'alternative': 6.1}",1,0.13,0.11,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,74.6268656716418,35.294117647058826,,,,,5.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,-0.05,,,,,,,,,,,
14015532,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,64.0,58.0,4.0,2.0,0.0,45.0,46.0,13.0,18.0,6.0,9.0,,,,90.0,75.0,5.9,8.0,115.30055216418,16.0,-3.99,8.505,,"{'original': 5.9, 'alternative': 6.3}",0,0.07,0.04,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,90.625,50.0,,,,,3.0,2.0,,,,,1.0,1.0,,,1.0,,,,2.0,,1.0,,,,,,,,,,
14015532,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,False,35.0,30.0,2.0,1.0,0.0,20.0,22.0,10.0,13.0,1.0,5.0,,,,45.0,49.0,6.1,5.0,87.115447554324,14.0,6.405,7.875,,"{'original': 6.1, 'alternative': 6.4}",0,0.0,0.04,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,85.71428571428571,50.0,100.0,,,1.0,4.0,2.0,2.0,,,,2.0,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,
14015532,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,58.0,48.0,6.0,3.0,1.0,22.0,24.0,26.0,34.0,4.0,4.0,,,,68.0,75.0,6.7,12.0,118.18619876933,19.0,-8.085,3.99,,"{'original': 6.7, 'alternative': 7.3}",0,0.29,0.09,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,82.75862068965517,50.0,,50.0,,,5.0,2.0,2.0,2.0,1.0,1.0,3.0,,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,,
14015532,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,24.0,20.0,,,0.0,7.0,9.0,13.0,15.0,,5.0,,,,68.0,36.0,6.7,8.0,102.61346940356,12.0,38.01,18.06,,"{'original': 6.7, 'alternative': 7}",1,0.35,0.17,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,6,4,83.33333333333334,,,66.66666666666666,,,4.0,6.0,,3.0,2.0,1.0,1.0,3.0,1.0,,1.0,,,2.0,3.0,-0.52,,,2.0,1.0,1.0,,,,,,
14015532,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,23.0,17.0,,,0.0,8.0,9.0,9.0,14.0,1.0,4.0,,,,78.0,38.0,6.5,9.0,127.73011846152,17.0,63.105,19.32,,"{'original': 6.5, 'alternative': 6.5}",2,-0.05,0.15,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,73.91304347826086,,,,,1.0,5.0,3.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,3.0,-0.45,,,,,3.0,1.0,1.0,,,,
14015532,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,35.0,30.0,4.0,4.0,0.0,13.0,13.0,17.0,22.0,,7.0,,,,90.0,50.0,7.3,9.0,156.32454214616,21.0,65.52,18.48,,"{'original': 7.3, 'alternative': 7.6}",3,0.5,0.32,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,85.71428571428571,100.0,25.0,100.0,,4.0,2.0,5.0,1.0,3.0,3.0,1.0,,,3.0,,1.0,,,,,-0.57,,1.0,,1.0,2.0,1.0,2.0,,,,
14015532,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,32.0,24.0,4.0,3.0,0.0,7.0,8.0,17.0,24.0,2.0,6.0,,,,90.0,56.0,7.9,18.0,189.07535142143,18.0,106.575,30.765,,"{'original': 7.9, 'alternative': 7.9}",1,-0.13,0.43,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,75.0,75.0,16.666666666666664,50.0,,6.0,2.0,5.0,,4.0,2.0,1.0,1.0,,5.0,,,,,3.0,,0.54,2.0,1.0,,,1.0,,1.0,1.0,1.0,,
14015532,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,32.0,24.0,,,0.0,10.0,11.0,14.0,21.0,,5.0,,,,90.0,45.0,6.6,13.0,94.860832043269,14.0,7.875,12.81,,"{'original': 6.6, 'alternative': 6.5}",4,-0.21,0.48,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,75.0,,,,,,3.0,5.0,,1.0,,,1.0,,,1.0,,,,4.0,1.0,-0.59,3.0,,,4.0,2.0,2.0,,,,2.0,
14015532,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,33.0,25.0,4.0,3.0,0.0,14.0,17.0,11.0,16.0,7.0,1.0,,,,45.0,44.0,6.6,11.0,45.52119532037,4.0,19.425,16.38,,"{'original': 6.6, 'alternative': 6.6}",0,0.2,-0.01,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,75.75757575757575,75.0,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,
14015532,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,,,,,0.0,,,,,,1.0,,,,22.0,6.0,6.5,1.0,5.4777692539938,1.0,-4.83,-4.83,,"{'original': 6.5, 'alternative': 6.9}",3,,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,-0.53,,,1.0,2.0,,1.0,,,,,
14015532,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,19.0,16.0,2.0,1.0,0.0,7.0,7.0,9.0,12.0,2.0,3.0,,,,22.0,24.0,6.8,3.0,59.489469547249,7.0,13.86,9.03,,"{'original': 6.8, 'alternative': 6.8}",1,0.24,0.07,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,84.21052631578947,50.0,100.0,,,1.0,2.0,,1.0,,,,1.0,,2.0,1.0,,,,,,-0.18,,1.0,,1.0,,,,,,,
14015532,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,11.0,8.0,3.0,2.0,0.0,4.0,5.0,4.0,6.0,1.0,1.0,,,,12.0,15.0,6.7,4.0,16.385995270352,1.0,16.275,16.275,,"{'original': 6.7, 'alternative': 6.6}",0,0.01,0.01,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,72.72727272727273,66.66666666666666,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015532,home,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,8.0,7.0,,,0.0,4.0,4.0,3.0,4.0,,1.0,,,,9.0,12.0,6.5,1.0,42.184799088645,3.0,-20.16,2.94,,"{'original': 6.5, 'alternative': 6.6}",1,0.1,-0.11,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,87.5,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,-0.11,,,,,,,,,,,
14015532,home,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015532,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
