match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,interceptionWon,shotOffTarget,blockedScoringAttempt,keyPass,hitWoodwork,bigChanceCreated
15280986,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,F,7,False,15.0,8.0,0.0,0.0,0.0,3.0,4.0,5.0,11.0,0.0,0.0,1.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,,,,,,59.0,25.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,53.333333333333336,,,,,,,,,,,
15280986,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,F,70,True,25.0,19.0,1.0,0.0,0.0,6.0,6.0,13.0,19.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,45.0,32.0,6.8,5.0,0.0,0.27,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,76.0,0.0,33.33333333333333,100.0,,,,,,1.0,,
15280986,home,6224,FK Sutjeska Nikšić,1896811,Medo Jukovic,medo-jukovic,M,88,True,9.0,8.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,45.0,18.0,7.2,4.0,0.91,0.0,"{'original': 7.2, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,2,6,88.88888888888889,,,50.0,,2.0,,1.0,1.0,,,
15280986,home,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,True,10.0,6.0,2.0,0.0,1.0,1.0,1.0,4.0,8.0,0.0,0.0,5.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,31.0,17.0,7.1,13.0,0.0,0.61,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,9,6,2,4,60.0,0.0,,,,1.0,1.0,,,1.0,,1.0
15280986,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,F,24,True,9.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,2.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,15.0,6.7,6.0,0.03,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,66.66666666666666,,0.0,,,1.0,,,,,,
15280986,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubovic,aleksa-golubovic,M,2,True,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,0.0,,,,,,,,,,,
15280986,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukcevic,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
15280986,home,6224,FK Sutjeska Nikšić,1005621,Ognjen Djinovic,ognjen-dinovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
15280986,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanovic,bojan-damjanovic,D,91,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
15280986,home,6224,FK Sutjeska Nikšić,1005753,Marko Mrvaljević,marko-mrvaljevic,F,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
