match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,totalContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,keyPass,outfielderBlock,shotOffTarget,shotValueNormalized,wonContest,errorLeadToAShot,dispossessed,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,challengeLost,goals
14015417,away,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,18.0,15.0,4.0,1.0,0.0,8.0,10.0,7.0,8.0,1.0,9.0,1.0,2.0,,,,,,90.0,48.0,7.1,10.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.2,0.15,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,8,6,83.33333333333334,25.0,,,,1.0,,1.0,7.0,,,7.0,4.0,2.0,1.0,2.0,,,2.0,1.0,-0.16,,,3.0,,,,,1.0,
14015417,away,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,37.0,26.0,10.0,3.0,0.0,17.0,25.0,9.0,12.0,,4.0,6.0,5.0,,,,,,90.0,52.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.11,0.01,0.59,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,70.27027027027027,30.0,,,,,,2.0,4.0,,2.0,3.0,3.0,,1.0,,,,1.0,,,,,,,,,,2.0,
14015417,away,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,52.0,39.0,11.0,5.0,0.0,30.0,39.0,9.0,13.0,5.0,8.0,4.0,1.0,,,,,,90.0,66.0,6.4,15.0,,"{'original': 6.4, 'alternative': 6.6}",1,0.03,0.02,0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,3,5,75.0,45.45454545454545,,,,,,3.0,8.0,,2.0,3.0,2.0,,,2.0,,,1.0,1.0,-0.17,,,2.0,1.0,,,,1.0,
14015417,away,2505,FK TSC Bačka Topola,1146156,Viktor Radojević,viktor-radojevic,D,60,False,22.0,19.0,4.0,2.0,0.0,9.0,10.0,10.0,12.0,,2.0,1.0,2.0,,,,,,73.0,38.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.9}",1,0.09,-0.04,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,86.36363636363636,50.0,100.0,,,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,,1.0,,-0.15,,,,,,1.0,,1.0,
14015417,away,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,18.0,15.0,1.0,1.0,0.0,11.0,12.0,4.0,6.0,,4.0,,4.0,,,,,,59.0,23.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,-0.08,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,83.33333333333334,100.0,,,,,,,3.0,,,2.0,1.0,,2.0,3.0,,,,,,,,1.0,,,,,,
14015417,away,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,39.0,34.0,7.0,3.0,0.0,20.0,20.0,14.0,19.0,1.0,4.0,4.0,2.0,,,,,,90.0,49.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.05,0.03,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,87.17948717948718,42.857142857142854,,,,,,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,2.0,
14015417,away,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,15.0,13.0,,,0.0,4.0,4.0,9.0,11.0,,4.0,,5.0,,,,,,90.0,36.0,6.2,11.0,,"{'original': 6.2, 'alternative': 6.7}",4,0.05,0.27,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,4,3,86.66666666666667,,,,,5.0,,5.0,8.0,3.0,,1.0,1.0,1.0,3.0,,,,,3.0,-0.63,,,,1.0,,1.0,,,
14015417,away,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,9.0,8.0,2.0,2.0,0.0,2.0,2.0,6.0,7.0,,2.0,,1.0,,,,,,59.0,16.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.5}",1,-0.01,0.13,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,88.88888888888889,100.0,,,,1.0,,,3.0,,,1.0,,2.0,1.0,2.0,,,,,-0.1,,,1.0,,,1.0,,,
14015417,away,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,18.0,11.0,1.0,1.0,0.0,4.0,6.0,7.0,12.0,3.0,4.0,,5.0,,,,,,73.0,26.0,6.2,12.0,,"{'original': 6.2, 'alternative': 6.2}",1,-0.09,-0.22,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,61.111111111111114,100.0,,,,,,1.0,4.0,2.0,,,,3.0,1.0,1.0,,,,,-0.16,,,,,,1.0,,,
14015417,away,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,False,7.0,6.0,,,0.0,1.0,1.0,5.0,6.0,,,,2.0,,,,,,59.0,17.0,6.9,5.0,,"{'original': 6.9, 'alternative': 6.6}",1,0.36,0.12,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,85.71428571428571,,25.0,,,4.0,1.0,,1.0,1.0,,,,,,,,4.0,,,0.01,,,,1.0,1.0,,1.0,,
