match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,unsuccessfulTouch,fouls,outfielderBlock,wasFouled,dispossessed,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,shotValueNormalized,accurateCross,totalOffside,wonTackle,bigChanceCreated,keyPass,onTargetScoringAttempt,blockedScoringAttempt,goals,hitWoodwork
14015435,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,30.0,15.0,23.0,8.0,0.0,14.0,15.0,1.0,15.0,1.0,1.0,2.0,13.0,1.0,4.0,5.0,2.0,90.0,46.0,7.4,15.0,1.1119,"{'original': 7.4, 'alternative': 7.4}",0,0.04,0.03,-0.04,0.65,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,34.78260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015435,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,False,25.0,19.0,6.0,1.0,0.0,11.0,13.0,8.0,12.0,,,3.0,1.0,,,,,45.0,33.0,6.1,8.0,,"{'original': 6.1, 'alternative': 6.3}",0,-0.07,0.04,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,76.0,16.666666666666664,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015435,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,33.0,29.0,6.0,3.0,0.0,23.0,26.0,6.0,7.0,2.0,3.0,8.0,3.0,,,,,90.0,44.0,7.1,4.0,,"{'original': 7.1, 'alternative': 7.1}",0,0.15,0.03,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,87.87878787878788,50.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
14015435,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,45.0,34.0,5.0,,0.0,23.0,26.0,11.0,19.0,2.0,7.0,8.0,8.0,,,,,90.0,65.0,7.2,13.0,,"{'original': 7.2, 'alternative': 7.4}",1,0.05,0.26,0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,5,2,75.55555555555556,,,100.0,,,3.0,5.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,-0.04,,,,,,,,,
14015435,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,41.0,36.0,5.0,2.0,0.0,16.0,16.0,20.0,25.0,1.0,2.0,4.0,3.0,,,,,90.0,53.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.0,0.07,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,87.8048780487805,40.0,50.0,,,2.0,1.0,4.0,2.0,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,
14015435,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,False,24.0,20.0,3.0,,0.0,7.0,8.0,13.0,16.0,,3.0,2.0,1.0,,,,,63.0,33.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.09,-0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,83.33333333333334,,,,,1.0,,2.0,,2.0,2.0,,,,,,,1.0,3.0,,,,3.0,,,,,,
14015435,home,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,False,45.0,34.0,11.0,5.0,1.0,11.0,12.0,23.0,33.0,1.0,5.0,1.0,5.0,,,,,90.0,63.0,7.2,17.0,,"{'original': 7.2, 'alternative': 7.5}",0,0.38,0.12,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,75.55555555555556,45.45454545454545,,66.66666666666666,,,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,,2.0,1.0,,,,,1.0,1.0,,,,
14015435,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,16.0,14.0,1.0,1.0,0.0,3.0,3.0,11.0,13.0,,2.0,,2.0,,,,,62.0,22.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.08,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,87.5,100.0,,50.0,,,3.0,5.0,,2.0,1.0,,,,2.0,1.0,,,1.0,,,,1.0,,,,,,
14015435,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,False,38.0,27.0,4.0,,0.0,6.0,6.0,21.0,32.0,1.0,2.0,,4.0,,,,,89.0,47.0,6.7,14.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.26,0.2,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,71.05263157894737,,,,,,1.0,1.0,,3.0,2.0,,1.0,,,,1.0,1.0,,-0.23,,,,,3.0,,,,
14015435,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,30.0,23.0,5.0,2.0,0.0,3.0,4.0,20.0,26.0,,2.0,,2.0,,,,,89.0,55.0,7.3,17.0,,"{'original': 7.3, 'alternative': 7.2}",3,0.3,0.39,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,76.66666666666667,40.0,60.0,,,5.0,3.0,11.0,1.0,4.0,3.0,,2.0,1.0,3.0,,1.0,1.0,,0.46,3.0,,,,2.0,1.0,1.0,1.0,
