match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,interceptionWon,unsuccessfulTouch,wasFouled,fouls,totalOffside,totalTackle,wonTackle,accurateCross,totalContest,wonContest,keyPass,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,dispossessed,shotOffTarget,bigChanceMissed,goals,errorLeadToAGoal,goodHighClaim,outfielderBlock,errorLeadToAShot
14015549,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,35.0,32.0,6.0,3.0,0.0,31.0,31.0,1.0,4.0,1.0,8.0,3.0,4.0,90.0,45.0,7.5,3.0,62.476114902932,11.0,1.26,3.885,0.4442,"{'original': 7.5, 'alternative': 7.4}",0,0.05,-0.04,-0.08,0.39,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,91.42857142857143,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,43.0,33.0,4.0,1.0,0.0,19.0,20.0,14.0,23.0,4.0,2.0,,,90.0,65.0,6.3,17.0,106.05769821239,11.0,18.48,16.8,,"{'original': 6.3, 'alternative': 7.2}",0,-0.01,-0.67,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,76.74418604651163,25.0,,,,4.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,86.0,77.0,16.0,13.0,0.0,41.0,43.0,36.0,43.0,2.0,4.0,,,90.0,92.0,7.8,9.0,573.07747784366,52.0,456.645,37.38,,"{'original': 7.8, 'alternative': 7.3}",0,0.61,0.35,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,89.53488372093024,81.25,,,,,2.0,2.0,3.0,3.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,69.0,63.0,4.0,1.0,0.0,43.0,44.0,20.0,25.0,5.0,4.0,,,90.0,79.0,6.6,6.0,356.24672150507,38.0,152.67,20.79,,"{'original': 6.6, 'alternative': 7}",0,0.25,0.16,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,3,2,91.30434782608695,25.0,,,,,4.0,1.0,6.0,4.0,,1.0,,1.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,64.0,47.0,9.0,3.0,0.0,24.0,26.0,23.0,38.0,3.0,5.0,,,90.0,91.0,6.7,20.0,178.6873436093,23.0,33.285,25.305,,"{'original': 6.7, 'alternative': 6.9}",0,0.22,0.1,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,5,0,73.4375,33.33333333333333,100.0,100.0,,1.0,,4.0,,9.0,,3.0,2.0,,,,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,38.0,31.0,2.0,,0.0,13.0,15.0,18.0,23.0,,2.0,,,67.0,42.0,6.5,10.0,212.06729006515,20.0,68.775,33.6,,"{'original': 6.5, 'alternative': 6.5}",0,0.13,0.27,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,81.57894736842105,,,,,,,,3.0,,1.0,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,
14015549,home,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,30.0,24.0,2.0,2.0,0.0,7.0,8.0,17.0,22.0,1.0,5.0,,,90.0,69.0,7.6,22.0,242.85419043301,22.0,61.425,34.545,,"{'original': 7.6, 'alternative': 8.3}",2,0.42,0.16,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,4,18,12,6,80.0,100.0,22.22222222222222,37.5,,9.0,3.0,1.0,9.0,13.0,1.0,1.0,3.0,4.0,,,5.0,5.0,2.0,8.0,3.0,4.0,1.0,1.0,1.0,-0.54,,,,,,,,
14015549,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,39.0,34.0,4.0,3.0,0.0,11.0,11.0,23.0,28.0,1.0,8.0,,,85.0,70.0,7.1,16.0,101.18821527746,15.0,6.615,8.295,,"{'original': 7.1, 'alternative': 7.2}",5,0.53,0.14,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,9,8,87.17948717948718,75.0,27.27272727272727,66.66666666666666,,11.0,2.0,3.0,10.0,12.0,3.0,,1.0,4.0,3.0,,3.0,3.0,3.0,3.0,2.0,1.0,,1.0,,-0.54,1.0,4.0,,,,,,
14015549,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,26.0,21.0,1.0,,0.0,5.0,7.0,16.0,19.0,,6.0,,,77.0,45.0,6.5,15.0,221.46217451841,21.0,72.765,21.735,,"{'original': 6.5, 'alternative': 6.8}",1,0.01,0.19,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,80.76923076923077,,,66.66666666666666,,4.0,2.0,,6.0,6.0,,,3.0,3.0,2.0,,1.0,1.0,,3.0,2.0,1.0,,1.0,,-0.07,2.0,,,,,,,
14015549,home,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,M,77,False,19.0,18.0,2.0,2.0,0.0,6.0,6.0,12.0,13.0,,5.0,,,77.0,42.0,6.4,9.0,105.67394685046,12.0,18.27,16.905,,"{'original': 6.4, 'alternative': 6.9}",1,0.32,-0.12,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,6,7,94.73684210526315,100.0,50.0,66.66666666666666,,2.0,1.0,1.0,8.0,7.0,1.0,1.0,3.0,1.0,3.0,,3.0,1.0,1.0,3.0,2.0,1.0,,,,-0.07,2.0,1.0,,,,,,
