match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialLost,duelLost,outfielderBlock,fouls,totalContest,wonContest,ownGoals,challengeLost,shotOffTarget,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,hitWoodwork,dispossessed,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
14015526,home,287019,FK Radnik Surdulica,999008,Stephen Chinedu,chinedu-stephen,F,77,False,17.0,12.0,2.0,1.0,0.0,5.0,8.0,7.0,9.0,,5.0,,,82.0,35.0,6.6,10.0,74.247344985587,11.0,-12.915,11.655,,"{'original': 6.6, 'alternative': 7.2}",4,0.14,0.07,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,7,6,70.58823529411765,50.0,,66.66666666666666,,,,2.0,9.0,1.0,1.0,1.0,4.0,4.0,4.0,10.0,,3.0,3.0,2.0,,2.0,,2.0,,,-0.54,,,2.0,1.0,,,,
14015526,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,F,88,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,1.0,,,20.0,8.0,6.4,4.0,19.926594564316,3.0,11.865,6.825,,"{'original': 6.4, 'alternative': 6.5}",0,-0.04,-0.3,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,100.0,,,,,,,,1.0,,1.0,1.0,2.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,F,24,True,4.0,2.0,1.0,,0.0,,,2.0,4.0,,,,,14.0,7.0,6.5,2.0,,,,,,"{'original': 6.5, 'alternative': 6.5}",0,-0.02,,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,50.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,3.0,2.0,1.0,,0.0,,,2.0,3.0,,3.0,,,8.0,5.0,6.6,1.0,3.6475202535421,1.0,3.57,3.57,,"{'original': 6.6, 'alternative': 6.6}",0,0.04,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,6.0,4.0,,,0.0,,,4.0,6.0,,1.0,,,8.0,7.0,6.6,2.0,,,,,,"{'original': 6.6, 'alternative': 6.6}",0,0.03,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
