minute,value
1.0,4
2.0,7
3.0,28
4.0,89
5.0,100
6.0,66
7.0,40
8.0,23
9.0,30
10.0,10
11.0,-13
12.0,6
13.0,-2
14.0,3
15.0,-6
16.0,-39
17.0,-43
18.0,-27
19.0,-8
20.0,45
21.0,3
22.0,-3
23.0,23
24.0,5
25.0,17
26.0,35
27.0,17
28.0,4
29.0,-38
30.0,-25
31.0,-17
32.0,-14
33.0,19
34.0,26
35.0,8
36.0,45
37.0,20
38.0,11
39.0,22
40.0,14
41.0,2
42.0,8
43.0,-21
44.0,-4
45.0,-3
45.5,-20
46.0,-5
47.0,-7
48.0,-96
49.0,-54
50.0,-3
51.0,17
52.0,11
53.0,8
54.0,5
55.0,-45
56.0,-22
57.0,-13
58.0,-28
59.0,-6
60.0,-8
61.0,7
62.0,2
63.0,19
64.0,86
65.0,26
66.0,17
67.0,12
68.0,9
69.0,14
70.0,13
71.0,8
72.0,-5
73.0,-5
74.0,-8
75.0,-40
76.0,-45
77.0,-23
78.0,-16
79.0,-6
80.0,-25
81.0,-22
82.0,-19
83.0,-12
84.0,-7
85.0,-8
86.0,-20
87.0,-7
88.0,24
89.0,-15
90.0,14
90.5,-47
