player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,save,assisted,"{'x': 16.7, 'y': 34.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.8, 'z': 1.9}","{'x': 2.2, 'y': 49.1, 'z': 0}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6215309,90,1.0,5406,"{'start': {'x': 34.6, 'y': 16.7}, 'block': {'x': 49.1, 'y': 2.2}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 98.1}}",1,894,6,shot,
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,block,assisted,"{'x': 15.3, 'y': 47.4, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.9, 'z': 19}","{'x': 13.3, 'y': 48, 'z': 0}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6215302,85,,5040,"{'start': {'x': 47.4, 'y': 15.3}, 'block': {'x': 48, 'y': 13.3}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 81}}",6,360,2340,shot,
"{'name': 'Aleksandar Pejović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-pejovic', 'shortName': 'A. Pejović', 'position': 'M', 'jerseyNumber': '28', 'userCount': 45, 'gender': 'M', 'id': 804662, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر بيجوفيتش', 'bn': 'আলেকসান্ডার পেজোভিচ', 'hi': 'एलेक्ज़ेंडर पेजोविक'}, 'shortNameTranslation': {'ar': 'أ. بيجوفيتش', 'bn': 'এ. পেজোভিচ', 'hi': 'ए. पेजोविक'}}}",True,save,free-kick,"{'x': 23.9, 'y': 66.5, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.8, 'z': 34.2}","{'x': 1.2, 'y': 49.8, 'z': 0}","{'name': 'Dragan Rosić', 'firstName': '', 'lastName': '', 'slug': 'dragan-rosic', 'shortName': 'D. Rosić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 210, 'gender': 'M', 'id': 844128, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان روسيتش', 'bn': 'ড্রাগান রোজিক', 'hi': 'ड्रेगन रोसिक'}, 'shortNameTranslation': {'ar': 'د. روسيتش', 'bn': 'ডি. রোজিক', 'hi': 'डी. रोसिच'}}}",6215271,63,,3739,"{'start': {'x': 66.5, 'y': 23.9}, 'block': {'x': 49.8, 'y': 1.2}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 65.8}}",28,1661,1039,shot,
"{'name': 'Stephen Chinedu', 'slug': 'chinedu-stephen', 'shortName': 'S. Chinedu', 'position': 'F', 'jerseyNumber': '9', 'userCount': 122, 'gender': 'M', 'id': 999008, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفن تشينيدو'}, 'shortNameTranslation': {'ar': 'س. تشينيدو'}}}",True,block,assisted,"{'x': 7.6, 'y': 65.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 19}","{'x': 4.5, 'y': 58.1, 'z': 0}","{'name': 'Dragan Rosić', 'firstName': '', 'lastName': '', 'slug': 'dragan-rosic', 'shortName': 'D. Rosić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 210, 'gender': 'M', 'id': 844128, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان روسيتش', 'bn': 'ড্রাগান রোজিক', 'hi': 'ड्रेगन रोसिक'}, 'shortNameTranslation': {'ar': 'د. روسيتش', 'bn': 'ডি. রোজিক', 'hi': 'डी. रोसिच'}}}",6215276,62,,3681,"{'start': {'x': 65.3, 'y': 7.6}, 'block': {'x': 58.1, 'y': 4.5}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 81}}",29,1719,981,shot,
"{'name': 'Borko Duronjić', 'firstName': '', 'lastName': '', 'slug': 'borko-duronjic', 'shortName': 'B. Duronjić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 356190, 'fieldTranslations': {'nameTranslation': {'ar': 'بوركو دورونجيش', 'bn': 'বোরকো দুরঞ্জিক', 'hi': 'बोर्को दुरोनजीक'}, 'shortNameTranslation': {'ar': 'ب. دورونجيش', 'bn': 'বি. দুরনজিচ', 'hi': 'बी. दुरोनजीक'}}}",True,block,assisted,"{'x': 18.9, 'y': 33.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 19}","{'x': 9.4, 'y': 42.2, 'z': 0}","{'name': 'Dragan Rosić', 'firstName': '', 'lastName': '', 'slug': 'dragan-rosic', 'shortName': 'D. Rosić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 210, 'gender': 'M', 'id': 844128, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان روسيتش', 'bn': 'ড্রাগান রোজিক', 'hi': 'ड्रेगन रोसिक'}, 'shortNameTranslation': {'ar': 'د. روسيتش', 'bn': 'ডি. রোজিক', 'hi': 'डी. रोसिच'}}}",6215252,53,,3135,"{'start': {'x': 33.7, 'y': 18.9}, 'block': {'x': 42.2, 'y': 9.4}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 81}}",38,2265,435,shot,
"{'name': 'Sandro Trémoulet', 'slug': 'sandro-tremoulet', 'shortName': 'S. Trémoulet', 'position': 'D', 'jerseyNumber': '18', 'userCount': 165, 'gender': 'M', 'id': 1388249, 'fieldTranslations': {'nameTranslation': {'ar': 'ساندرو تريموليه'}, 'shortNameTranslation': {'ar': 'س. تريموليه'}}}",False,goal,regular,"{'x': 0.5, 'y': 53.4, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.5, 'z': 5.1}",,"{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6215254,51,,3045,"{'start': {'x': 53.4, 'y': 0.5}, 'end': {'x': 54.5, 'y': 0}, 'goal': {'x': 54.5, 'y': 94.9}}",40,2355,345,shot,own
"{'name': 'Petar Sukačev', 'firstName': 'Petar Sukacev', 'slug': 'petar-sukacev', 'shortName': 'P. Sukačev', 'position': 'M', 'jerseyNumber': '27', 'userCount': 59, 'gender': 'M', 'id': 1656621, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر سوكاشيف'}, 'shortNameTranslation': {'ar': 'ب. سوكاشيف'}}}",False,block,regular,"{'x': 9.8, 'y': 63.4, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 19}","{'x': 1.1, 'y': 54.3, 'z': 0}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6215263,51,,3043,"{'start': {'x': 63.4, 'y': 9.8}, 'block': {'x': 54.3, 'y': 1.1}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 81}}",40,2357,343,shot,
"{'name': 'Lazar Ranđelović', 'slug': 'lazar-randelovic', 'shortName': 'L. Ranđelović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 316, 'gender': 'M', 'id': 938000, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار راندجيلوفيتش', 'bn': 'লাজার রানডেলোভিচ', 'hi': 'लाज़र रांडेलोविच'}, 'shortNameTranslation': {'ar': 'ل. راندجيلوفيتش', 'bn': 'এল. রানডেলোভিচ', 'hi': 'एल. रांडेलोविच'}}}",False,post,assisted,"{'x': 17.8, 'y': 34, 'z': 0}",right-foot,high,"{'x': 0, 'y': 49.7, 'z': 40.5}",,"{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6215262,51,,3042,"{'start': {'x': 34, 'y': 17.8}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 59.5}}",40,2358,342,shot,
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,block,corner,"{'x': 12.8, 'y': 37.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 19}","{'x': 11.2, 'y': 38.8, 'z': 0}","{'name': 'Dragan Rosić', 'firstName': '', 'lastName': '', 'slug': 'dragan-rosic', 'shortName': 'D. Rosić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 210, 'gender': 'M', 'id': 844128, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان روسيتش', 'bn': 'ড্রাগান রোজিক', 'hi': 'ड्रेगन रोसिक'}, 'shortNameTranslation': {'ar': 'د. روسيتش', 'bn': 'ডি. রোজিক', 'hi': 'डी. रोसिच'}}}",6215248,50,,2940,"{'start': {'x': 37.4, 'y': 12.8}, 'block': {'x': 38.8, 'y': 11.2}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 81}}",41,2460,240,shot,
"{'name': 'Dragan Kokanović', 'slug': 'dragan-kokanovic', 'shortName': 'D. Kokanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 54, 'gender': 'M', 'id': 1114797, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان كوكانوفيتش'}, 'shortNameTranslation': {'ar': 'د. كوكانوفيتش'}}}",False,miss,set-piece,"{'x': 7.1, 'y': 49.3, 'z': 0}",head,high-left,"{'x': 0, 'y': 57.6, 'z': 63.9}",,"{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6215246,47,,2806,"{'start': {'x': 49.3, 'y': 7.1}, 'end': {'x': 42.4, 'y': 0}, 'goal': {'x': 42.4, 'y': 36.1}}",44,2594,106,shot,
