minute,value
1.0,-12
2.0,-18
3.0,126
4.0,63
5.0,22
6.0,8
7.0,-11
8.0,-50
9.0,-41
10.0,-29
11.0,-28
12.0,-26
13.0,-23
14.0,76
15.0,35
16.0,18
17.0,43
18.0,23
19.0,-40
20.0,-28
21.0,17
22.0,-10
23.0,-18
24.0,-11
25.0,-9
26.0,-55
27.0,-35
28.0,-59
29.0,-43
30.0,-28
31.0,-11
32.0,-4
33.0,48
34.0,22
35.0,11
36.0,-33
37.0,-30
38.0,-24
39.0,-17
40.0,-8
41.0,-30
42.0,-25
43.0,-17
44.0,-13
45.0,-36
45.5,10
46.0,3
47.0,-8
48.0,43
49.0,26
50.0,14
51.0,1
52.0,-3
53.0,-17
54.0,-13
55.0,-10
56.0,-13
57.0,-85
58.0,-52
59.0,-28
60.0,-14
61.0,-85
62.0,-57
63.0,-37
64.0,-50
65.0,-32
66.0,-26
67.0,-17
68.0,-12
69.0,-8
70.0,-2
71.0,33
72.0,28
73.0,7
74.0,82
75.0,47
76.0,23
77.0,1
78.0,-83
79.0,-62
80.0,-39
81.0,-30
82.0,-20
83.0,-8
84.0,-11
85.0,29
86.0,12
87.0,100
88.0,2
89.0,-2
90.0,9
90.5,-75
