match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,totalClearance,ballRecovery,fouls,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,bigChanceCreated,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,shotValueNormalized,challengeLost,interceptionWon,totalTackle,wonTackle,dispossessed,blockedScoringAttempt,bigChanceMissed,hitWoodwork,totalOffside,ownGoals,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized,clearanceOffLine,lastManTackle
14015612,home,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,False,12.0,5.0,,,1.0,1.0,1.0,4.0,11.0,2.0,4.0,,2.0,,45.0,20.0,7.9,10.0,50.516079229895,8.0,-7.1483284522606,1.0,"{'original': 7.9, 'alternative': 8.1}",2,0.24,0.37,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,41.66666666666667,,,,,,,,3.0,,1.0,1.0,3.0924058316552,3.2393209164885,2.0,2.0,,,2.0,1.0,,0.42,,,2.0,2.0,,,,,4.0,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,True,31.0,29.0,2.0,2.0,0.0,7.0,7.0,22.0,24.0,,,,3.0,,45.0,38.0,7.1,7.0,120.06829429945,18.0,-40.819993439059,0.0,"{'original': 7.1, 'alternative': 7.1}",2,0.5,-0.63,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.54838709677419,100.0,,,,1.0,,,,,3.0,,,,1.0,,,1.0,,,,-0.07,,,,,,1.0,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,37.0,30.0,,,0.0,10.0,12.0,20.0,25.0,2.0,3.0,,4.0,2.0,45.0,42.0,6.8,7.0,54.057181255167,10.0,-1.5582599890458,0.0,"{'original': 6.8, 'alternative': 6.9}",1,0.25,-0.16,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,81.08108108108108,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,-0.33,,1.0,1.0,,,,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,14.0,12.0,,,0.0,5.0,5.0,7.0,9.0,,1.0,,,,25.0,19.0,7.4,5.0,105.12254433858,11.0,7.1447986636687,1.0,"{'original': 7.4, 'alternative': 6.9}",0,0.54,0.01,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,85.71428571428571,,33.33333333333333,,,3.0,1.0,1.0,2.0,,1.0,1.0,14.141254779898,26.269809668134,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,17.0,16.0,3.0,2.0,0.0,3.0,3.0,13.0,14.0,,,,1.0,,25.0,21.0,7.2,1.0,83.17277400462,9.0,-8.9165463031706,1.0,"{'original': 7.2, 'alternative': 7.1}",1,0.37,-0.09,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,94.11764705882352,66.66666666666666,,100.0,,,,,2.0,,,1.0,8.7641916840827,8.7843032734532,1.0,1.0,1.0,1.0,,,,-0.12,,,,,,,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,16.0,16.0,3.0,3.0,0.0,5.0,5.0,11.0,11.0,,,,1.0,,13.0,18.0,7.1,,35.352914691408,6.0,5.8563298275244,0.0,"{'original': 7.1, 'alternative': 7.1}",1,0.31,0.0,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,0.01,,1.0,,,,,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1406109,Vuk Draškić,vuk-draskic,G,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,home,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,20.0,5.0,20.0,5.0,0.0,2.0,3.0,3.0,17.0,,,3.0,9.0,,90.0,38.0,6.3,16.0,7.356,1.0,-0.49318289070736,0.0,"{'original': 6.3, 'alternative': 6.5}",0,-0.02,-0.03,-0.92,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,25.0,25.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,1.0,0.6726,0.32,,
14015612,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,D,15,False,19.0,12.0,3.0,1.0,0.0,10.0,10.0,2.0,9.0,,1.0,5.0,2.0,1.0,80.0,41.0,6.0,7.0,44.418636963505,8.0,27.609476127392,0.0,"{'original': 6, 'alternative': 6.6}",1,-0.09,0.02,-0.59,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,63.1578947368421,33.33333333333333,,,,,,2.0,6.0,,,2.0,,,,,,1.0,,,,-0.07,,2.0,2.0,2.0,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,16.0,9.0,6.0,2.0,0.0,7.0,11.0,2.0,5.0,,,7.0,2.0,,90.0,27.0,6.2,7.0,41.630572944309,7.0,-1.0351590561633,0.0,"{'original': 6.2, 'alternative': 6.3}",1,0.03,0.02,-0.25,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,56.25,33.33333333333333,,,,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,936134,Igor Jeličić,igor-jelicic,D,88,False,15.0,12.0,4.0,2.0,0.0,11.0,12.0,1.0,3.0,2.0,4.0,5.0,4.0,1.0,90.0,25.0,5.6,4.0,63.564164955233,7.0,10.165378656192,0.0,"{'original': 5.6, 'alternative': 6}",1,0.02,0.05,-0.58,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,80.0,50.0,,,,,,3.0,5.0,,1.0,,,,,,,1.0,,,,-0.53,1.0,,2.0,2.0,,,1.0,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,20.0,13.0,1.0,,0.0,11.0,17.0,2.0,3.0,,1.0,1.0,4.0,1.0,90.0,30.0,6.3,8.0,35.415578521158,4.0,-2.8951903922433,0.0,"{'original': 6.3, 'alternative': 6.4}",0,-0.1,0.02,-0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,65.0,,,,,,,,3.0,,1.0,,,,,,,,,,1.0,,,2.0,3.0,3.0,,,,,,,,,,,,1.0,
14015612,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,12.0,7.0,4.0,1.0,0.0,5.0,7.0,2.0,5.0,,3.0,1.0,4.0,1.0,57.0,25.0,5.8,11.0,41.421705641301,7.0,3.832733790831,0.0,"{'original': 5.8, 'alternative': 5.8}",0,0.01,0.16,-0.63,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,58.333333333333336,25.0,,,,,,1.0,4.0,,1.0,2.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,M,33,False,9.0,5.0,,,0.0,3.0,3.0,2.0,6.0,1.0,3.0,,,,90.0,19.0,6.0,7.0,53.188957990906,5.0,15.53671408928,1.0,"{'original': 6, 'alternative': 6.4}",1,-0.1,0.07,-0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,55.55555555555556,,,50.0,,1.0,,1.0,2.0,,,,9.176441410651,9.393901000117,1.0,2.0,1.0,,,,,-0.18,,,,,1.0,1.0,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,False,12.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,9.0,,4.0,2.0,3.0,,45.0,26.0,6.2,15.0,58.062175267231,7.0,3.6969786362615,1.0,"{'original': 6.2, 'alternative': 6}",1,0.29,0.17,-0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,41.66666666666667,50.0,50.0,,,2.0,1.0,1.0,1.0,1.0,3.0,,9.3657480335663,11.370868216631,1.0,1.0,,,,,,-0.04,,,,,3.0,1.0,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,19.0,14.0,2.0,1.0,0.0,11.0,13.0,3.0,6.0,3.0,5.0,4.0,4.0,1.0,76.0,37.0,6.7,5.0,71.541490785265,9.0,-29.427180150344,0.0,"{'original': 6.7, 'alternative': 6.7}",2,0.03,0.11,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,73.68421052631578,50.0,,100.0,,,,1.0,6.0,,,3.0,,,,1.0,1.0,1.0,,,,-0.15,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,M,91,False,13.0,9.0,1.0,,0.0,1.0,4.0,8.0,9.0,,3.0,,5.0,1.0,90.0,29.0,6.5,11.0,148.07132905067,15.0,15.644615302979,0.0,"{'original': 6.5, 'alternative': 6.4}",0,-0.08,0.14,0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,69.23076923076923,,,100.0,,,,1.0,4.0,,5.0,,,,2.0,1.0,1.0,,,,,,,3.0,2.0,2.0,2.0,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,False,13.0,10.0,,,0.0,7.0,8.0,3.0,5.0,2.0,2.0,2.0,2.0,,45.0,22.0,6.6,6.0,13.464585217231,2.0,-6.9763452104773,0.0,"{'original': 6.6, 'alternative': 6.5}",0,0.06,-0.02,0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,76.92307692307693,,,,,,,1.0,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,True,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,45.0,15.0,6.8,5.0,4.5209035601304,1.0,4.1972776301913,0.0,"{'original': 6.8, 'alternative': 6.6}",0,0.26,0.01,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,80.0,,100.0,,,1.0,1.0,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,6.0,5.0,,,0.0,4.0,5.0,1.0,1.0,4.0,6.0,,4.0,,45.0,9.0,6.2,2.0,6.4111796886377,1.0,4.7233414302033,0.0,"{'original': 6.2, 'alternative': 6.4}",0,0.0,0.01,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,83.33333333333334,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1387178,Strahinja Ristić,strahinja-ristic,D,6,True,1.0,,1.0,,0.0,,,,1.0,,1.0,4.0,,,33.0,8.0,7.0,2.0,,,,,"{'original': 7, 'alternative': 6.8}",0,0.0,,0.43,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
14015612,away,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,2.0,1.0,1.0,,0.0,1.0,1.0,,1.0,,,1.0,,,14.0,4.0,6.9,1.0,,,,,"{'original': 6.9, 'alternative': 6.7}",0,-0.02,,0.74,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,50.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0
14015612,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,1.0,,,,0.0,,1.0,,,,,,,,10.0,4.0,6.6,3.0,,,,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1616139,Nikola Skrobonja,nikola-skrobonja,M,44,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015612,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
