minute,value
0.0,0
1.0,-1
2.0,6
3.0,1
4.0,92
5.0,60
6.0,30
7.0,17
8.0,100
9.0,56
10.0,36
11.0,20
12.0,24
13.0,85
14.0,53
15.0,28
16.0,29
17.0,18
18.0,6
19.0,-4
20.0,7
21.0,-9
22.0,6
23.0,3
24.0,-4
25.0,32
26.0,100
27.0,100
28.0,33
29.0,-30
30.0,41
31.0,9
32.0,5
33.0,11
34.0,10
35.0,9
36.0,6
37.0,9
38.0,6
39.0,-5
40.0,-6
41.0,36
42.0,20
43.0,8
44.0,35
45.0,17
45.5,5
46.0,1
47.0,-75
48.0,-64
49.0,-33
50.0,-24
51.0,-15
52.0,6
53.0,-15
54.0,11
55.0,8
56.0,6
57.0,-45
58.0,-29
59.0,-18
60.0,-15
61.0,-4
62.0,42
63.0,56
64.0,34
65.0,26
66.0,21
67.0,11
68.0,5
69.0,-5
70.0,-12
71.0,-8
72.0,-15
73.0,-54
74.0,-32
75.0,-38
76.0,-83
77.0,-44
78.0,-58
79.0,-25
80.0,20
81.0,54
82.0,26
83.0,18
84.0,10
85.0,24
86.0,11
87.0,2
88.0,1
89.0,-36
90.0,-18
90.5,50
