match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,fouls,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,blockedScoringAttempt,challengeLost,totalCross,accurateCross,totalTackle,wonTackle,shotOffTarget,dispossessed,penaltyConceded,penaltyWon,bigChanceMissed,totalOffside,penaltyMiss,bigChanceCreated
14015475,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,21.0,12.0,14.0,5.0,0.0,8.0,9.0,4.0,12.0,7.0,1.0,3.0,1.0,1.0,3.0,90.0,29.0,7.8,9.0,0.6996,"{'original': 7.8, 'alternative': 7.8}",0,0.06,0.0,0.24,0.54,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.14285714285714,35.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,38.0,32.0,3.0,,0.0,24.0,26.0,8.0,12.0,3.0,,,,,,90.0,49.0,6.8,8.0,,"{'original': 6.8, 'alternative': 7}",0,0.13,0.05,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,2,1,84.21052631578947,,,100.0,,5.0,2.0,6.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,67.0,59.0,7.0,1.0,0.0,42.0,44.0,17.0,23.0,3.0,,,,,,90.0,78.0,8.1,8.0,,"{'original': 8.1, 'alternative': 7.8}",1,0.22,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,2,0,88.05970149253731,14.285714285714285,,,,2.0,3.0,2.0,5.0,,,4.0,,1.0,,2.0,,1.0,1.0,1.0,0.53,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,65.0,55.0,9.0,2.0,0.0,36.0,40.0,19.0,25.0,4.0,,,,,,90.0,82.0,7.2,11.0,,"{'original': 7.2, 'alternative': 7}",1,0.14,0.16,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,84.61538461538461,22.22222222222222,,,,2.0,4.0,4.0,5.0,,,11.0,,1.0,1.0,1.0,2.0,,,,-0.06,1.0,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,M,27,False,30.0,24.0,4.0,3.0,0.0,14.0,14.0,10.0,16.0,3.0,,,,,,90.0,40.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.8}",0,-0.14,-0.19,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,80.0,75.0,,,,1.0,1.0,4.0,1.0,,,2.0,,5.0,,,2.0,,,,,,1.0,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,60.0,51.0,4.0,2.0,0.0,22.0,24.0,29.0,36.0,2.0,,,,,,90.0,73.0,7.5,9.0,,"{'original': 7.5, 'alternative': 7.4}",1,0.27,0.12,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,85.0,50.0,100.0,,,,1.0,1.0,5.0,,,2.0,,3.0,,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,
14015475,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,63.0,56.0,4.0,1.0,1.0,21.0,23.0,35.0,40.0,3.0,,,,,,80.0,82.0,7.5,15.0,,"{'original': 7.5, 'alternative': 7.3}",1,0.67,0.32,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,88.88888888888889,25.0,33.33333333333333,,,3.0,,7.0,3.0,,,1.0,,,2.0,2.0,2.0,,,4.0,-0.06,,2.0,9.0,3.0,1.0,1.0,1.0,,,,,,,
14015475,home,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,M,6,False,29.0,23.0,1.0,,0.0,11.0,14.0,12.0,15.0,,,,,,,90.0,51.0,6.5,15.0,,"{'original': 6.5, 'alternative': 7}",1,-0.18,-0.53,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,79.3103448275862,,,,,2.0,2.0,4.0,4.0,1.0,,1.0,1.0,2.0,,,1.0,,,,-0.18,1.0,,5.0,,2.0,1.0,,,,,,,,
14015475,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,F,22,False,20.0,18.0,,,0.0,10.0,11.0,8.0,9.0,3.0,,,,,,64.0,29.0,6.7,6.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.13,-0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,90.0,,,50.0,,,,2.0,2.0,2.0,1.0,,,,2.0,1.0,,,,,-0.02,1.0,1.0,1.0,,,,,,,,,,,
14015475,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,24.0,18.0,1.0,,0.0,7.0,7.0,11.0,17.0,4.0,,,,,,87.0,39.0,5.7,11.0,,"{'original': 5.7, 'alternative': 6.8}",2,-0.44,0.18,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,9,7,2,5,75.0,,,,,8.0,1.0,13.0,3.0,,,2.0,,1.0,3.0,1.0,2.0,1.0,,,-0.51,1.0,1.0,,,1.0,,,2.0,,,,,,
14015475,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,False,35.0,27.0,2.0,2.0,0.0,5.0,6.0,22.0,29.0,2.0,,,,,,87.0,59.0,6.3,17.0,,"{'original': 6.3, 'alternative': 7}",1,0.28,-0.51,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,4,9,77.14285714285715,100.0,,,,4.0,2.0,13.0,6.0,2.0,,2.0,,1.0,3.0,1.0,3.0,1.0,,,-0.34,,1.0,1.0,,3.0,3.0,,3.0,,,,,,
14015475,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,8.0,5.0,,,0.0,3.0,3.0,2.0,5.0,2.0,,,,,,26.0,14.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.12,0.09,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,62.5,,,50.0,,1.0,,2.0,3.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
14015475,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,2.0,,,,,,10.0,9.0,6.0,3.0,,"{'original': 6, 'alternative': 5.9}",0,0.04,0.0,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,60.0,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
