match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,dispossessed,wonContest,shotOffTarget,onTargetScoringAttempt,goals,wasFouled,keyPass,shotValueNormalized,bigChanceCreated,blockedScoringAttempt,accurateCross,totalOffside,bigChanceMissed,errorLeadToAShot
14015468,home,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,False,22.0,12.0,16.0,6.0,0.0,8.0,8.0,4.0,14.0,3.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0,90.0,29.0,6.8,10.0,0.0555,"{'original': 6.8, 'alternative': 7}",0,0.08,-0.02,-0.04,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,54.54545454545454,37.5,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015468,home,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,21.0,11.0,8.0,1.0,0.0,8.0,9.0,3.0,12.0,6.0,4.0,,,,,,,90.0,38.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7}",0,0.13,-0.08,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,52.38095238095239,12.5,,,,1.0,1.0,3.0,4.0,6.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14015468,home,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,False,42.0,22.0,18.0,5.0,0.0,14.0,20.0,8.0,22.0,10.0,6.0,,,,,,,90.0,65.0,7.3,21.0,,"{'original': 7.3, 'alternative': 7.4}",2,0.0,0.06,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,5,5,52.38095238095239,27.77777777777778,,100.0,,,,4.0,5.0,9.0,,1.0,2.0,1.0,2.0,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.48,,,,,,
14015468,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,26.0,20.0,4.0,1.0,0.0,16.0,18.0,4.0,8.0,5.0,2.0,,,,,,,90.0,41.0,7.8,9.0,,"{'original': 7.8, 'alternative': 7.5}",1,0.03,0.02,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,76.92307692307693,25.0,,100.0,,,2.0,2.0,5.0,4.0,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,0.56,,,,,,
14015468,home,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,M,2,False,24.0,17.0,4.0,4.0,1.0,5.0,7.0,12.0,17.0,2.0,4.0,,,,,,,77.0,46.0,7.3,11.0,,"{'original': 7.3, 'alternative': 6.9}",1,0.85,-0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,70.83333333333334,100.0,,,,,3.0,,7.0,2.0,,1.0,,,2.0,,,3.0,1.0,,,,,,1.0,-0.12,1.0,1.0,,,,
14015468,home,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,False,26.0,21.0,3.0,1.0,0.0,7.0,9.0,14.0,17.0,,5.0,,,,,,,62.0,36.0,6.8,9.0,,"{'original': 6.8, 'alternative': 7}",0,0.26,0.09,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,80.76923076923077,33.33333333333333,,,,1.0,5.0,,8.0,2.0,1.0,,,,2.0,2.0,2.0,4.0,,,,,,,1.0,,,,,,,
14015468,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,21.0,18.0,6.0,5.0,0.0,6.0,7.0,12.0,14.0,1.0,1.0,,,,,,,26.0,24.0,7.1,5.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.18,0.05,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,85.71428571428571,83.33333333333334,,,,,,2.0,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,
14015468,home,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,M,49,False,26.0,20.0,4.0,2.0,1.0,2.0,6.0,18.0,20.0,,3.0,,,,,,,90.0,41.0,7.6,12.0,,"{'original': 7.6, 'alternative': 7.7}",0,0.65,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,76.92307692307693,50.0,42.857142857142854,100.0,,7.0,1.0,2.0,3.0,4.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,3.0,,1.0,,3.0,,,
14015468,home,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,F,21,False,19.0,15.0,,,0.0,4.0,4.0,11.0,15.0,1.0,4.0,,,,,,,78.0,38.0,6.3,13.0,,"{'original': 6.3, 'alternative': 6.8}",1,-0.52,0.66,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,5,7,78.94736842105263,,,40.0,,,3.0,1.0,10.0,6.0,,5.0,,,1.0,1.0,4.0,3.0,1.0,2.0,1.0,,,2.0,2.0,-0.36,,,,1.0,,
14015468,home,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,F,20,False,21.0,15.0,,,0.0,2.0,6.0,13.0,15.0,,3.0,,,,,,,78.0,36.0,6.2,15.0,,"{'original': 6.2, 'alternative': 6.7}",3,0.07,0.29,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,1,6,71.42857142857143,,,50.0,,,4.0,1.0,10.0,2.0,2.0,2.0,,,,,5.0,,3.0,1.0,3.0,,,,1.0,-0.68,,,,3.0,1.0,
14015468,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,F,70,False,43.0,37.0,2.0,1.0,0.0,12.0,12.0,25.0,31.0,,5.0,,,,,,,90.0,53.0,7.0,11.0,,"{'original': 7, 'alternative': 7.3}",2,0.52,0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,86.04651162790698,50.0,50.0,,,2.0,,,2.0,,,,,1.0,,,2.0,2.0,,,1.0,1.0,,,1.0,-0.53,1.0,,1.0,,,
14015468,home,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,True,26.0,19.0,6.0,4.0,0.0,13.0,16.0,6.0,10.0,2.0,7.0,,,,,,,64.0,32.0,7.2,7.0,,"{'original': 7.2, 'alternative': 6.9}",0,0.23,0.05,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,73.07692307692307,66.66666666666666,,,,,,,3.0,1.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
14015468,home,37064,FK Spartak Subotica,1094065,Eldar Mehmedović,eldar-mehmedovic,M,44,True,12.0,8.0,,,0.0,2.0,2.0,6.0,10.0,,1.0,,,,,,,28.0,20.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.11,-0.22,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,66.66666666666666,,,,,1.0,,,1.0,1.0,,,,,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,
14015468,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,True,3.0,2.0,,,0.0,,,2.0,3.0,2.0,,,,,,,,13.0,10.0,6.3,2.0,,"{'original': 6.3, 'alternative': 6.3}",0,0.01,,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,66.66666666666666,,,,,,2.0,1.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
14015468,home,36967,FK Spartak Subotica,905454,Lincoln,lincoln,F,9,True,3.0,2.0,1.0,1.0,0.0,,1.0,2.0,2.0,,,,,,,,,12.0,6.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.1,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,66.66666666666666,100.0,,,,,3.0,,4.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,
14015468,home,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,F,7,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,,,,,,,,,12.0,6.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.02,0.27,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,-0.35,,,,,,
14015468,home,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015468,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015468,home,36967,FK Spartak Subotica,1186164,Dario Pavković,dario-pavkovic,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
