player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,save,set-piece,"{'x': 8, 'y': 44, 'z': 0}",head,high-left,"{'x': 0, 'y': 54, 'z': 33.4}",0.1822,0.4909,6561242,90,5.0,5686,"{'start': {'x': 44, 'y': 8}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 66.6}}",1,614,286,shot,,
"{'name': 'Aldin Adžović', 'firstName': '', 'lastName': '', 'slug': 'aldin-adzovic', 'shortName': 'A. Adžović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 3, 'gender': 'M', 'id': 797928, 'fieldTranslations': {'nameTranslation': {'ar': 'ألديـن أديـزوفيتش', 'hi': 'एल्डिन अडज़ोविक', 'bn': 'আলডিন অ্যাডজোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أديـزوفيتش', 'hi': 'ए. अदज़ोविक', 'bn': 'এ. অ্যাডজোভিচ'}}}",True,miss,regular,"{'x': 25, 'y': 64, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 55.9, 'z': 19.3}",0.01426,,6561241,90,2.0,5504,"{'start': {'x': 64, 'y': 25}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 80.7}}",1,796,104,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,miss,free-kick,"{'x': 28, 'y': 61, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.4, 'z': 51.5}",0.0006764,,6561243,89,,5325,"{'start': {'x': 61, 'y': 28}, 'end': {'x': 56.6, 'y': 0}, 'goal': {'x': 56.6, 'y': 48.5}}",2,75,2625,shot,,
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 5, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'hi': 'मिलिवोजे रायचेविक', 'bn': 'মিলিভোজে রাইচেভিচ'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'hi': 'एम. रायचेविक', 'bn': 'এম. রাইসেভিচ'}}}",True,block,regular,"{'x': 25, 'y': 26, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.004254,,6561240,83,,4926,"{'start': {'x': 26, 'y': 25}, 'block': {'x': 26, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,474,2226,shot,"{'x': 25, 'y': 26, 'z': 0}",
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,goal,regular,"{'x': 10, 'y': 59, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.8, 'z': 23.5}",0.3292,0.1659,6561239,80,,4776,"{'start': {'x': 59, 'y': 10}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 76.5}}",11,624,2076,shot,,regular
"{'name': 'Nedeljko Piščević', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-piscevic', 'shortName': 'N. Piščević', 'position': 'M', 'userCount': 13, 'gender': 'M', 'id': 889060, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلجو بيشيفيتش', 'hi': 'नेडेल्ज्को पिस्चेविक', 'bn': 'নেদেলজকো পিশেভিচ'}, 'shortNameTranslation': {'ar': 'ن. بيشيفيتش', 'hi': 'एन. पिस्चेविक', 'bn': 'এন. পিসচেভিচ'}}}",False,goal,corner,"{'x': 3, 'y': 56, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.4, 'z': 31.1}",0.2571,0.7832,6561238,79,,4724,"{'start': {'x': 56, 'y': 3}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 68.9}}",12,676,2024,shot,,regular
"{'name': 'Ognjen Gašević', 'slug': 'ognjen-gasevic', 'shortName': 'O. Gašević', 'position': 'D', 'jerseyNumber': '22', 'userCount': 70, 'gender': 'M', 'id': 932310, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين غاشيفيتش', 'hi': 'ओग्जेन गैसेविक', 'bn': 'ওগনজেন গাশেভিচ'}, 'shortNameTranslation': {'ar': 'أ. غاشيفيتش', 'hi': 'ओ. गैसेविक', 'bn': 'ও. গাশেভিচ'}}}",False,save,throw-in-set-piece,"{'x': 28, 'y': 48, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 8.2}",0.02299,0.02564,6561237,72,,4265,"{'start': {'x': 48, 'y': 28}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 91.8}}",19,1135,1565,shot,,
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 5, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'hi': 'मिलिवोजे रायचेविक', 'bn': 'মিলিভোজে রাইচেভিচ'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'hi': 'एम. रायचेविक', 'bn': 'এম. রাইসেভিচ'}}}",True,save,regular,"{'x': 13, 'y': 51, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 16.8}",0.185,0.595,6561236,71,,4218,"{'start': {'x': 51, 'y': 13}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 83.2}}",20,1182,1518,shot,,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 14, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'hi': 'इवान बोजोविक', 'bn': 'ইভান বোজোভিচ'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'hi': 'आई. बोजोविक', 'bn': 'আই. বোজোভিচ'}}}",False,miss,regular,"{'x': 10, 'y': 74, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.9, 'z': 11.8}",0.04237,,6561235,67,,4005,"{'start': {'x': 74, 'y': 10}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 88.2}}",24,1395,1305,shot,,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 14, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'hi': 'इवान बोजोविक', 'bn': 'ইভান বোজোভিচ'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'hi': 'आई. बोजोविक', 'bn': 'আই. বোজোভিচ'}}}",False,miss,regular,"{'x': 12, 'y': 51, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41, 'z': 42.2}",0.2031,,6561234,59,,3511,"{'start': {'x': 51, 'y': 12}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 57.8}}",32,1889,811,shot,,
