match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,shotOffTarget,dispossessed,hitWoodwork,bigChanceMissed,blockedScoringAttempt,clearanceOffLine,bigChanceCreated,penaltyWon
14147319,home,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,22.0,20.0,6.0,4.0,0.0,17.0,18.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,90.0,25.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.9090909090909,66.66666666666666,,,0.0,,,,,,,,,,
14147319,home,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,False,32.0,24.0,5.0,2.0,0.0,11.0,12.0,11.0,18.0,3.0,1.0,1.0,1.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,44.0,6.7,12.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,75.0,40.0,33.33333333333333,100.0,,1.0,,,,,,,,,
14147319,home,24312,FK Jezero,1035787,Nikola Jovićević,nikola-jovicevic,D,6,False,32.0,27.0,6.0,2.0,0.0,16.0,17.0,8.0,11.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,90.0,49.0,6.9,8.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,84.375,33.33333333333333,,,,6.0,,,,,,,,,
14147319,home,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,48.0,34.0,11.0,4.0,0.0,23.0,27.0,7.0,17.0,0.0,0.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,9.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,66.0,7.3,16.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,70.83333333333334,36.36363636363637,,100.0,,11.0,,,,,,,,,
14147319,home,24312,FK Jezero,1648555,Meldin Kojić,meldin-kojic,D,3,False,33.0,21.0,4.0,4.0,0.0,11.0,18.0,10.0,15.0,4.0,1.0,0.0,1.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,89.0,49.0,7.2,16.0,0.05,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,4,7,63.63636363636363,100.0,25.0,50.0,,,,,,,,,,,
14147319,home,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,33.0,22.0,2.0,1.0,1.0,10.0,11.0,12.0,22.0,4.0,0.0,0.0,0.0,6.0,12.0,1.0,6.0,6.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,53.0,7.7,15.0,0.02,0.0,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,12,6,66.66666666666666,50.0,0.0,100.0,,1.0,1.0,,,,,,,,
14147319,home,464804,FK Jezero,1218103,Hiroki Harada,hiroki-harada,M,10,False,39.0,31.0,3.0,1.0,0.0,15.0,17.0,15.0,21.0,1.0,0.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,89.0,52.0,6.6,14.0,0.02,0.09,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,79.48717948717949,33.33333333333333,0.0,,,,1.0,1.0,,,,,,,
14147319,home,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,False,38.0,33.0,3.0,2.0,0.0,17.0,20.0,16.0,18.0,1.0,0.0,0.0,0.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,62.0,52.0,6.9,8.0,0.08,0.07,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,3,9,86.8421052631579,66.66666666666666,0.0,100.0,,,1.0,2.0,2.0,1.0,,,,,
14147319,home,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,False,20.0,14.0,1.0,0.0,0.0,5.0,7.0,8.0,12.0,0.0,0.0,1.0,0.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,76.0,35.0,6.0,10.0,0.31,0.0,"{'original': 6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,3,10,70.0,0.0,,0.0,,1.0,,1.0,1.0,,1.0,1.0,,,
14147319,home,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,F,45,False,28.0,21.0,1.0,0.0,0.0,9.0,10.0,11.0,17.0,0.0,0.0,3.0,1.0,8.0,5.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,89.0,48.0,7.0,16.0,0.28,0.14,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,75.0,0.0,,33.33333333333333,,1.0,3.0,,1.0,,,2.0,,,
14147319,home,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,13.0,9.0,0.0,0.0,0.0,4.0,4.0,5.0,8.0,0.0,0.0,2.0,4.0,9.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,28.0,6.8,13.0,0.31,0.0,"{'original': 6.8, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,6,10,3,7,69.23076923076923,,,50.0,,,,1.0,1.0,,,1.0,,,
