match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt
14147318,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,34.0,27.0,17.0,11.0,0.0,19.0,21.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,90.0,36.0,7.4,6.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,79.41176470588235,64.70588235294117,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,49.0,40.0,0.0,0.0,0.0,17.0,20.0,22.0,28.0,4.0,2.0,1.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,,,,,,,90.0,61.0,6.8,14.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,2,10,81.63265306122449,,50.0,,,1.0,,,
14147318,home,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,61.0,51.0,9.0,4.0,0.0,31.0,34.0,18.0,25.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,65.0,7.0,9.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,83.60655737704919,44.44444444444444,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,1063207,Radoš Dedić,rados-dedic,D,6,False,59.0,50.0,4.0,2.0,0.0,42.0,45.0,8.0,13.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,64.0,7.8,8.0,0.13,0.0,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,84.7457627118644,50.0,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,42.0,35.0,1.0,0.0,0.0,15.0,17.0,20.0,25.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,64.0,50.0,6.9,6.0,0.03,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,83.33333333333334,0.0,0.0,,,,1.0,,
14147318,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,False,19.0,11.0,1.0,0.0,0.0,8.0,9.0,3.0,10.0,3.0,1.0,2.0,1.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,64.0,29.0,6.5,10.0,0.0,0.09,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,57.89473684210527,0.0,33.33333333333333,100.0,,2.0,,1.0,
14147318,home,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,85.0,64.0,7.0,5.0,1.0,36.0,40.0,27.0,44.0,2.0,0.0,0.0,2.0,4.0,10.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,8.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,,,,,,,90.0,108.0,7.7,19.0,0.01,0.13,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,8,4,75.29411764705883,71.42857142857143,0.0,66.66666666666666,,,1.0,1.0,
14147318,home,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,False,39.0,35.0,1.0,1.0,0.0,11.0,13.0,24.0,26.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,50.0,7.3,6.0,0.02,0.01,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,89.74358974358975,100.0,0.0,,,1.0,1.0,2.0,
14147318,home,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,29.0,23.0,5.0,3.0,1.0,4.0,4.0,19.0,25.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,,,,,,,90.0,44.0,7.2,11.0,0.0,0.11,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,7,7,79.3103448275862,60.0,100.0,100.0,,2.0,1.0,1.0,
14147318,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,F,7,False,22.0,13.0,0.0,0.0,0.0,4.0,4.0,9.0,17.0,0.0,0.0,4.0,3.0,10.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,81.0,33.0,7.6,13.0,0.2,0.0,"{'original': 7.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,3,6,59.09090909090909,,,,,1.0,,,
