match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,wonContest,unsuccessfulTouch,errorLeadToAShot,dispossessed,interceptionWon,blockedScoringAttempt,outfielderBlock,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,punches,bigChanceMissed
14015472,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,17.0,10.0,,,0.0,4.0,6.0,6.0,11.0,,1.0,,,,,72.0,29.0,5.9,14.0,,"{'original': 5.9, 'alternative': 6.6}",2,-0.27,0.19,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,10,5,2,3,58.82352941176471,,,100.0,,,,7.0,3.0,10.0,5.0,,1.0,1.0,,,1.0,4.0,,-0.24,1.0,6.0,,,,1.0,,,,,,,
14015472,home,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,F,21,True,13.0,10.0,1.0,,1.0,4.0,4.0,6.0,9.0,,2.0,,,,,28.0,18.0,7.1,3.0,,"{'original': 7.1, 'alternative': 7.4}",1,0.45,0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,76.92307692307693,,100.0,100.0,,1.0,1.0,2.0,,3.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,0.01,1.0,,,,,,,1.0,,,1.0,,
14015472,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,6.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,,1.0,,,,,28.0,8.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.02,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.33333333333334,100.0,,100.0,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,2.0,,,
14015472,home,5150,FK Vojvodina,194450,Uroš Nikolić,uros-nikolic,M,10,True,21.0,18.0,5.0,4.0,0.0,4.0,4.0,14.0,17.0,,2.0,,,,,28.0,27.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.28,0.05,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,85.71428571428571,80.0,25.0,,,4.0,1.0,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,11.0,9.0,3.0,3.0,0.0,3.0,4.0,6.0,7.0,,4.0,,,,,18.0,14.0,6.7,3.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.05,0.07,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,81.81818181818183,100.0,,,,,,1.0,,3.0,2.0,2.0,,,,,2.0,,,,,1.0,,,,,,,,,,,
14015472,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,,2.0,,,,,11.0,10.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.06,-0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,71.42857142857143,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,-0.3,,1.0,,1.0,,,,,,,,,
14015472,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,M,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,46.0,25.0,33.0,12.0,0.0,17.0,20.0,8.0,26.0,3.0,12.0,1.0,2.0,2.0,2.0,90.0,60.0,6.7,21.0,-0.0006,"{'original': 6.7, 'alternative': 7}",0,0.13,0.0,-0.08,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,54.347826086956516,36.36363636363637,,,100.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,
14015472,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,34.0,29.0,3.0,1.0,0.0,22.0,24.0,7.0,10.0,4.0,6.0,,,,,90.0,48.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.13,0.02,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,85.29411764705883,33.33333333333333,,,,,,,1.0,2.0,3.0,,,,1.0,1.0,1.0,2.0,,-0.04,,,,,2.0,1.0,,,,,,,
14015472,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,34.0,29.0,6.0,3.0,0.0,25.0,27.0,4.0,7.0,14.0,6.0,,,,,90.0,51.0,7.2,5.0,,"{'original': 7.2, 'alternative': 7.2}",0,0.13,0.16,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,9,2,2,0,85.29411764705883,50.0,,,,,,4.0,5.0,4.0,7.0,,,,,,2.0,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,41.0,33.0,9.0,3.0,0.0,27.0,28.0,6.0,13.0,11.0,2.0,,,,,90.0,55.0,6.8,10.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.09,0.02,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,80.48780487804879,33.33333333333333,,,,,,,2.0,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,
14015472,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,43.0,34.0,2.0,1.0,0.0,26.0,30.0,8.0,13.0,3.0,10.0,,,,,90.0,66.0,6.0,16.0,,"{'original': 6, 'alternative': 6.9}",1,-0.09,0.27,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,79.06976744186046,50.0,,100.0,,,,2.0,,8.0,2.0,,1.0,,,,1.0,4.0,,-0.22,1.0,1.0,,2.0,2.0,,,1.0,,,,,
14015472,away,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,26.0,23.0,1.0,,0.0,18.0,18.0,5.0,8.0,2.0,3.0,,,,,90.0,36.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.05,0.07,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,88.46153846153845,,,100.0,,,,,1.0,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,,
14015472,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,19.0,11.0,2.0,1.0,0.0,6.0,9.0,5.0,10.0,2.0,6.0,,,,,89.0,38.0,6.6,21.0,,"{'original': 6.6, 'alternative': 6}",1,0.02,0.59,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,57.89473684210527,50.0,,,,,,2.0,1.0,7.0,2.0,1.0,2.0,,1.0,1.0,,1.0,,0.14,,9.0,,1.0,,,,1.0,,,,,1.0
14015472,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,22.0,18.0,2.0,2.0,0.0,9.0,12.0,9.0,10.0,3.0,2.0,,,,,90.0,37.0,6.7,8.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.01,0.08,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,81.81818181818183,100.0,,,,1.0,,,1.0,3.0,2.0,1.0,,,,,1.0,1.0,,,,2.0,,1.0,,,1.0,,,,,,
14015472,away,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,19.0,13.0,1.0,,0.0,7.0,10.0,6.0,9.0,,4.0,,,,,74.0,32.0,6.4,12.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.03,0.11,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,68.42105263157895,,,33.33333333333333,,,,,,3.0,3.0,,3.0,,1.0,1.0,1.0,1.0,1.0,-0.03,1.0,3.0,,,,,,1.0,,,,,
14015472,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,12.0,10.0,,,0.0,8.0,9.0,2.0,3.0,,3.0,,,,,62.0,32.0,6.6,13.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.06,0.28,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,83.33333333333334,,33.33333333333333,100.0,,3.0,1.0,1.0,,3.0,3.0,,2.0,,,,1.0,2.0,2.0,,2.0,8.0,,,,,,,,2.0,,,
14015472,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,13.0,8.0,,,0.0,4.0,4.0,4.0,9.0,1.0,2.0,,,,,74.0,26.0,7.1,12.0,,"{'original': 7.1, 'alternative': 7.1}",2,-0.14,0.17,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,0,4,61.53846153846154,,,,,,,4.0,3.0,8.0,3.0,,3.0,1.0,,,,1.0,1.0,0.52,,4.0,,,,,,1.0,1.0,2.0,,,
14015472,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,11.0,8.0,2.0,,0.0,3.0,4.0,5.0,7.0,,1.0,,,,,28.0,20.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.07,0.29,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,72.72727272727273,,,66.66666666666666,,1.0,,,,2.0,3.0,,3.0,,,,1.0,,,-0.18,2.0,,,1.0,1.0,,,1.0,,,,,
14015472,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,9.0,6.0,,,0.0,1.0,2.0,5.0,7.0,,1.0,,,,,16.0,17.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.8}",1,-0.13,0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,66.66666666666666,,,100.0,,,,,1.0,4.0,4.0,2.0,2.0,,,,1.0,2.0,,-0.16,2.0,2.0,,,,,,1.0,,,,,
14015472,away,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,8.0,6.0,,,0.0,2.0,2.0,4.0,6.0,,1.0,,,,,16.0,10.0,6.8,2.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.16,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,75.0,,,100.0,,,,,1.0,1.0,3.0,,2.0,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,
14015472,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,6.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,4.0,,,,,,,1.0,6.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,50.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
