match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,wonContest,unsuccessfulTouch,errorLeadToAShot,dispossessed,interceptionWon,blockedScoringAttempt,outfielderBlock,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,punches,bigChanceMissed
14015472,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,24.0,16.0,13.0,5.0,0.0,12.0,13.0,4.0,11.0,1.0,8.0,3.0,5.0,1.0,1.0,90.0,34.0,7.2,8.0,0.5037,"{'original': 7.2, 'alternative': 7.6}",0,0.06,-0.01,0.0,0.42,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,38.46153846153847,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,57.0,46.0,8.0,1.0,0.0,17.0,17.0,29.0,40.0,5.0,6.0,,,,,90.0,91.0,7.4,24.0,,"{'original': 7.4, 'alternative': 7.4}",1,0.51,0.25,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,80.7017543859649,12.5,10.0,,,10.0,1.0,1.0,1.0,5.0,7.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,-0.16,,,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,1892868,Kufre Eta,kufre-eta,D,2,False,79.0,62.0,12.0,4.0,0.0,42.0,48.0,20.0,31.0,3.0,9.0,,,,,90.0,93.0,6.7,22.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.07,0.05,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,78.48101265822784,33.33333333333333,,100.0,,1.0,,1.0,3.0,4.0,7.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,1.0,3.0,,,,,,,,,,,
14015472,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,53.0,46.0,5.0,2.0,0.0,38.0,41.0,8.0,12.0,4.0,3.0,,,,,90.0,65.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.5}",1,0.06,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,86.79245283018868,40.0,,,,,,2.0,2.0,3.0,5.0,1.0,,1.0,3.0,3.0,,,,-0.18,,1.0,1.0,,,,,,,,,,
14015472,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,45.0,30.0,8.0,2.0,0.0,13.0,17.0,17.0,28.0,,7.0,,,,,90.0,61.0,7.1,17.0,,"{'original': 7.1, 'alternative': 6.5}",0,0.45,0.09,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,66.66666666666666,25.0,50.0,100.0,,2.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,,,,3.0,,,,1.0,,,1.0,,,,,,,,,
14015472,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,False,66.0,55.0,3.0,2.0,0.0,24.0,24.0,31.0,42.0,,8.0,,,,,90.0,81.0,7.4,16.0,,"{'original': 7.4, 'alternative': 7.4}",1,0.37,0.31,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,5,1,83.33333333333334,66.66666666666666,,,,1.0,,,,1.0,5.0,,,1.0,2.0,2.0,3.0,1.0,2.0,-0.14,,2.0,,,2.0,,,,,,,,
14015472,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,False,38.0,34.0,2.0,1.0,0.0,11.0,12.0,23.0,26.0,,3.0,,,,,62.0,42.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.1,0.14,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,89.47368421052632,50.0,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,0.0,,1.0,,,,1.0,,,,,,,
14015472,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,False,17.0,15.0,2.0,1.0,0.0,6.0,6.0,9.0,11.0,1.0,4.0,,,,,62.0,28.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.8}",1,-0.16,0.0,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,4,0,88.23529411764706,50.0,,,,2.0,,,1.0,,5.0,,,,2.0,1.0,2.0,,,-0.19,,2.0,,,,1.0,,,,,,,
14015472,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,19.0,12.0,,,0.0,2.0,2.0,10.0,17.0,,3.0,,,,,62.0,31.0,6.4,14.0,,"{'original': 6.4, 'alternative': 6.8}",0,-0.19,0.17,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,63.1578947368421,,100.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,2.0,,,6.0,,,,,1.0,,,,,,
14015472,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,10.0,8.0,,,0.0,1.0,1.0,7.0,9.0,,2.0,,,,,85.0,23.0,6.9,8.0,,"{'original': 6.9, 'alternative': 7.1}",3,-0.21,0.02,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,1,7,80.0,,,,,4.0,,,,7.0,1.0,3.0,1.0,1.0,,,1.0,3.0,,0.48,,1.0,,,,,,2.0,1.0,5.0,,,
