match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,totalOffside,blockedScoringAttempt,outfielderBlock,dispossessed,errorLeadToAGoal,challengeLost,fouls,shotOffTarget,totalKeeperSweeper,accurateKeeperSweeper,goals,bigChanceCreated
14015608,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,32.0,25.0,,,0.0,6.0,8.0,19.0,24.0,5.0,,,,90.0,47.0,7.1,15.0,209.82867284034,24.0,15.491486830111,1.0,,"{'original': 7.1, 'alternative': 6.8}",1,0.33,0.35,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,4,4,78.125,,,100.0,,1.0,,5.0,3.0,9.0,7.0,,,,,,3.0,3.0,14.23690619367,16.250698446528,1.0,-0.05,1.0,1.0,2.0,,,4.0,,,,1.0,,,,
14015608,home,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,16.0,12.0,1.0,,0.0,7.0,7.0,5.0,9.0,3.0,,,,27.0,23.0,6.2,7.0,91.311196291287,10.0,36.681577600411,0.0,,"{'original': 6.2, 'alternative': 6.3}",1,0.02,-0.16,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,75.0,,,,,,,2.0,,4.0,,1.0,,,,,,,,,,0.02,2.0,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,True,20.0,17.0,2.0,1.0,0.0,4.0,5.0,13.0,15.0,5.0,,,,26.0,25.0,6.9,6.0,188.36673044581,15.0,115.8590469686,3.0,,"{'original': 6.9, 'alternative': 6.6}",2,0.38,0.24,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,85.0,50.0,,,,2.0,,1.0,,1.0,,,,,,,1.0,,42.984257837435,99.977123469151,,-0.09,,,,1.0,,,,,,1.0,,,,
14015608,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,M,33,True,13.0,10.0,,,0.0,5.0,6.0,5.0,7.0,1.0,,,,26.0,19.0,6.7,5.0,33.862799244541,4.0,13.536885699112,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.25,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,76.92307692307693,,50.0,,,2.0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,4.0,2.0,1.0,,0.0,1.0,1.0,1.0,3.0,,,,,17.0,7.0,6.6,4.0,12.781412831966,2.0,7.1782811144568,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.04,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,50.0,,,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,7.0,6.0,3.0,2.0,0.0,5.0,6.0,1.0,1.0,4.0,,,,17.0,11.0,6.5,1.0,,,,,,"{'original': 6.5, 'alternative': 6.7}",0,0.0,,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,66.66666666666666,,,100.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,
14015608,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,885516,Veljko Kijevčanin,veljko-kijevcanin,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
