match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelWon,interceptionWon,unsuccessfulTouch,wasFouled,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,totalTackle,fouls,outfielderBlock,accurateCross,wonTackle,keyPass,shotOffTarget,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceCreated,goals,errorLeadToAShot,penaltyFaced,clearanceOffLine,totalOffside,penaltyConceded
14015443,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,True,5.0,3.0,,,0.0,,,3.0,5.0,,,,,,,9.0,6.0,6.2,3.0,,"{'original': 6.2, 'alternative': 6.5}",0,-0.03,-0.68,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,60.0,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,1124029,Mateja Milovanović,mateja-milovanovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,25736,FK Partizan,1493919,Zoran Alilović,zoran-alilovic,M,90,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,28.0,17.0,21.0,11.0,0.0,9.0,13.0,8.0,15.0,1.0,13.0,,6.0,7.0,1.0,90.0,47.0,7.7,11.0,0.7336,"{'original': 7.7, 'alternative': 7.7}",0,0.12,-0.08,-0.22,0.56,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.71428571428571,52.38095238095239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
