match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,shotOffTarget,hitWoodwork,savedShotsFromInsideTheBox,blockedScoringAttempt,bigChanceMissed
14147326,home,6223,FK Arsenal Tivat,881019,Vanja Vučićević,vanja-vucicevic,F,22,False,12.0,5.0,0.0,0.0,0.0,2.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,63.0,32.0,7.1,12.0,0.08,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,5,11,41.66666666666667,,,66.66666666666666,,,,2.0,,,,,
14147326,home,37956,FK Arsenal Tivat,205970,Julian Montenegro,julian-montenegro,F,11,True,7.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,27.0,13.0,7.0,8.0,0.09,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,42.857142857142854,0.0,,,,,,,,,,,
14147326,home,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,M,4,True,14.0,12.0,3.0,3.0,0.0,5.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,27.0,18.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,85.71428571428571,100.0,,,,1.0,,,,,,,
14147326,home,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,9.0,7.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,27.0,17.0,6.7,5.0,0.02,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,77.77777777777779,,,100.0,,,,,2.0,1.0,,,
14147326,home,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,True,10.0,5.0,1.0,0.0,0.0,2.0,5.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19.0,14.0,6.5,6.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,0.0,0.0,,,,,,,,,,
14147326,home,37956,FK Arsenal Tivat,2210663,Aleksa Kralj,aleksa-kralj,F,27,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,
14147326,home,37956,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,home,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,home,37956,FK Arsenal Tivat,2267444,Mihailo Micanovic,mihailo-micanovic,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,21.0,16.0,11.0,6.0,0.0,12.0,15.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,90.0,24.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,76.19047619047619,54.54545454545454,,,0.0,,,,,,2.0,,
14147326,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,53.0,33.0,10.0,6.0,1.0,9.0,15.0,23.0,35.0,8.0,3.0,0.0,1.0,7.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,90.0,71.0,7.5,31.0,0.0,0.69,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,3,7,62.264150943396224,60.0,37.5,100.0,,2.0,3.0,,1.0,,,,
14147326,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,37.0,27.0,10.0,6.0,0.0,20.0,23.0,7.0,13.0,0.0,0.0,1.0,0.0,9.0,6.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,48.0,6.8,13.0,0.08,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,6,8,72.97297297297297,60.0,,100.0,,1.0,,,1.0,,,,
