match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wonTackle,fouls,keyPass,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,wonContest,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,dispossessed,bigChanceCreated,shotOffTarget,bigChanceMissed,totalOffside,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,goals
14015542,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5160,FK Crvena zvezda,1584981,Uros Đorđević,uros-dordevic,F,70,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,26.0,6.0,23.0,3.0,0.0,3.0,3.0,3.0,23.0,15.0,,3.0,90.0,41.0,6.7,20.0,11.769633681839,2.0,-0.94500000000001,3.255,0.0532,"{'original': 6.7, 'alternative': 7}",0,0.07,-0.02,0.34,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,23.076923076923077,13.043478260869565,,,100.0,,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,2.0,
14015542,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,36.0,24.0,12.0,2.0,0.0,14.0,18.0,10.0,18.0,7.0,,,90.0,67.0,7.6,17.0,171.79699800565,18.0,-114.45,2.52,,"{'original': 7.6, 'alternative': 7.2}",0,0.35,0.26,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,66.66666666666666,16.666666666666664,50.0,100.0,,2.0,1.0,1.0,1.0,3.0,4.0,,1.0,9.0,2.0,2.0,1.0,1.0,,4.0,,,1.0,,,,1.0,,,,,,,,,
14015542,away,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,34.0,25.0,9.0,2.0,0.0,16.0,19.0,9.0,15.0,9.0,,,90.0,57.0,7.3,10.0,77.831109152569,9.0,-48.51,3.99,,"{'original': 7.3, 'alternative': 7.5}",0,0.07,0.06,0.81,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,73.52941176470588,22.22222222222222,,,,,,3.0,1.0,7.0,5.0,,1.0,10.0,4.0,3.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,38.0,29.0,7.0,3.0,0.0,20.0,24.0,9.0,14.0,5.0,,,90.0,54.0,7.6,9.0,130.18199317304,17.0,-42.735,8.505,,"{'original': 7.6, 'alternative': 7.5}",0,0.26,0.06,0.62,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,76.31578947368422,42.857142857142854,,,,,,,3.0,2.0,4.0,,,6.0,,,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,
