match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,challengeLost,bigChanceMissed,shotOffTarget,accurateCross,blockedScoringAttempt,bigChanceCreated,goals,goodHighClaim
14015404,home,3115,FK TSC Bačka Topola,1132010,Veljko Ilić,veljko-ilic,G,12,False,35.0,23.0,17.0,5.0,0.0,21.0,23.0,2.0,12.0,1.0,1.0,2.0,8.0,2.0,2.0,1.0,90.0,43.0,7.0,12.0,0.6891,"{'original': 7, 'alternative': 7.1}",0,0.04,-0.02,0.22,0.53,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,65.71428571428571,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,46.0,39.0,11.0,5.0,0.0,26.0,28.0,13.0,18.0,,8.0,2.0,7.0,,,,89.0,74.0,7.7,16.0,,"{'original': 7.7, 'alternative': 7.8}",1,0.13,0.28,0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,8,4,84.78260869565217,45.45454545454545,,66.66666666666666,,1.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,55.0,43.0,3.0,2.0,0.0,27.0,33.0,16.0,22.0,2.0,4.0,1.0,3.0,,,,90.0,65.0,7.4,14.0,,"{'original': 7.4, 'alternative': 7.1}",1,0.16,0.17,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,78.18181818181819,66.66666666666666,,,,,1.0,3.0,,,,,1.0,2.0,1.0,,2.0,1.0,1.0,,-0.53,1.0,1.0,1.0,,,,,
14015404,home,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,66.0,61.0,7.0,5.0,0.0,29.0,29.0,32.0,37.0,,4.0,7.0,3.0,,,,90.0,83.0,7.8,7.0,,"{'original': 7.8, 'alternative': 7.7}",0,0.41,0.17,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,92.42424242424242,71.42857142857143,,,,,,4.0,,,,,,1.0,4.0,3.0,2.0,,2.0,1.0,,2.0,,,,,,,
14015404,home,2505,FK TSC Bačka Topola,1146156,Viktor Radojević,viktor-radojevic,D,60,False,37.0,26.0,5.0,4.0,0.0,14.0,18.0,12.0,19.0,1.0,6.0,3.0,1.0,,,,90.0,63.0,7.2,16.0,,"{'original': 7.2, 'alternative': 7.4}",0,0.27,-0.22,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,5,0,70.27027027027027,80.0,50.0,,,4.0,,,,,,,,3.0,3.0,3.0,2.0,2.0,,1.0,,,,,2.0,,,,
14015404,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,50.0,45.0,3.0,2.0,0.0,15.0,16.0,30.0,34.0,1.0,12.0,1.0,4.0,,,,90.0,75.0,8.4,6.0,,"{'original': 8.4, 'alternative': 8}",1,0.55,0.21,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,3,19,11,8,90.0,66.66666666666666,50.0,100.0,,2.0,2.0,10.0,,2.0,2.0,,,1.0,8.0,6.0,,1.0,6.0,4.0,-0.01,3.0,,,1.0,1.0,,,
14015404,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,41.0,31.0,5.0,4.0,0.0,9.0,10.0,22.0,31.0,,3.0,,8.0,,,,64.0,52.0,7.4,12.0,,"{'original': 7.4, 'alternative': 7.5}",1,0.49,0.06,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,75.60975609756098,80.0,66.66666666666666,100.0,,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,-0.15,1.0,,1.0,2.0,,1.0,,
14015404,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,M,8,False,11.0,8.0,,,0.0,1.0,1.0,7.0,10.0,1.0,7.0,,3.0,,,,90.0,29.0,6.9,10.0,,"{'original': 6.9, 'alternative': 6.5}",0,0.38,0.11,0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,6,7,72.72727272727273,,75.0,25.0,,4.0,4.0,11.0,2.0,4.0,1.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,,,,,3.0,,1.0,,
14015404,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,30.0,27.0,3.0,1.0,0.0,8.0,8.0,19.0,22.0,,3.0,,5.0,,,,89.0,45.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.4}",2,-0.13,0.2,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,90.0,33.33333333333333,,,,,2.0,10.0,1.0,2.0,,,,,1.0,1.0,4.0,2.0,2.0,1.0,-0.1,3.0,,,,2.0,,,
14015404,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,18.0,15.0,,,0.0,4.0,5.0,11.0,13.0,2.0,2.0,,,,,,45.0,26.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.8}",2,-0.04,-0.23,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,83.33333333333334,,,,,,,3.0,1.0,,,,1.0,,,,,,1.0,,-0.28,1.0,1.0,,,2.0,,,
14015404,home,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,False,10.0,9.0,,,0.0,4.0,4.0,5.0,6.0,1.0,2.0,,,,,,65.0,18.0,6.8,3.0,,"{'original': 6.8, 'alternative': 7}",5,-0.07,0.11,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,90.0,,,,,,2.0,5.0,2.0,,,2.0,,,,,,1.0,,,0.29,1.0,1.0,1.0,,2.0,,1.0,
14015404,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,18.0,13.0,2.0,1.0,0.0,5.0,6.0,8.0,12.0,,1.0,,7.0,,,,45.0,27.0,7.2,8.0,,"{'original': 7.2, 'alternative': 7}",1,0.42,0.31,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,72.22222222222221,50.0,,,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,2.0,-0.19,,,,,,1.0,,
14015404,home,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,True,5.0,4.0,,,0.0,3.0,4.0,1.0,1.0,,3.0,,2.0,,,,26.0,15.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",1,-0.06,0.07,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,80.0,,,100.0,,,,1.0,,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,0.0,,,,,1.0,,,
14015404,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,True,7.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,,4.0,,3.0,,,,25.0,21.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7.5}",2,0.22,0.2,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,71.42857142857143,100.0,50.0,,,4.0,1.0,4.0,1.0,1.0,,2.0,,,2.0,2.0,,2.0,1.0,1.0,-0.6,,,,2.0,,,,
14015404,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,True,3.0,1.0,,,0.0,1.0,1.0,,2.0,,,,1.0,,,,10.0,4.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.08,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,33.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,,,,,0.0,,,,,1.0,2.0,,,,,,10.0,4.0,8.0,1.0,,"{'original': 8, 'alternative': 7.5}",2,,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,,,,,,,,3.0,1.0,,,1.0,,,,,,1.0,1.0,,0.66,1.0,1.0,,,1.0,,1.0,
14015404,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,2040,FK TSC Bačka Topola,1497358,Miloš Jovičić,milos-jovicic,F,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015404,away,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,19.0,5.0,15.0,2.0,0.0,3.0,7.0,2.0,12.0,,,1.0,7.0,3.0,5.0,1.0,90.0,30.0,6.7,14.0,0.7406,"{'original': 6.7, 'alternative': 7.1}",0,-0.02,-0.02,-0.15,0.56,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,26.31578947368421,13.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
14015404,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,40.0,35.0,4.0,1.0,0.0,23.0,25.0,12.0,15.0,1.0,3.0,2.0,8.0,,,,90.0,63.0,6.0,7.0,,"{'original': 6, 'alternative': 6.7}",2,0.18,0.04,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,87.5,25.0,,100.0,,1.0,2.0,4.0,,1.0,1.0,,1.0,3.0,,,,1.0,1.0,,-0.69,1.0,,1.0,,1.0,,,
14015404,away,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,32.0,23.0,8.0,4.0,0.0,21.0,24.0,2.0,8.0,2.0,4.0,7.0,4.0,,,,90.0,45.0,7.1,9.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.03,0.18,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,71.875,50.0,,,,,1.0,2.0,,,,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
14015404,away,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,21.0,15.0,5.0,2.0,0.0,12.0,15.0,3.0,6.0,2.0,6.0,1.0,2.0,,,,80.0,32.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7.3}",0,-0.2,0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,71.42857142857143,40.0,,100.0,,,1.0,3.0,,1.0,1.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,
14015404,away,36967,FK Spartak Subotica,913382,Vladimir Vitorović,vladimir-vitorovic,D,3,False,27.0,21.0,5.0,1.0,0.0,14.0,15.0,7.0,12.0,,7.0,2.0,7.0,,,,90.0,52.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.8}",1,0.06,0.04,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,77.77777777777779,20.0,,,,,1.0,6.0,1.0,1.0,,,,2.0,5.0,4.0,2.0,2.0,3.0,1.0,0.01,,,,,1.0,,,
14015404,away,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,36.0,28.0,2.0,1.0,0.0,17.0,21.0,11.0,15.0,3.0,6.0,2.0,7.0,,,,90.0,48.0,7.3,11.0,,"{'original': 7.3, 'alternative': 6.8}",0,0.13,0.0,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,77.77777777777779,50.0,,,,,,3.0,,1.0,,,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,,,,,,,,,
14015404,away,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,M,22,False,18.0,11.0,1.0,,0.0,5.0,9.0,6.0,9.0,1.0,8.0,2.0,4.0,,,,55.0,38.0,6.7,13.0,,"{'original': 6.7, 'alternative': 7.1}",2,-0.17,0.5,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,61.111111111111114,,,50.0,,,1.0,7.0,2.0,4.0,2.0,1.0,,,3.0,1.0,2.0,2.0,2.0,1.0,-0.47,,,1.0,,,,,
14015404,away,58689,FK Spartak Subotica,1101437,Kayque,kayque,M,2,False,24.0,18.0,2.0,,0.0,10.0,12.0,8.0,12.0,,8.0,1.0,6.0,,,,80.0,43.0,7.1,10.0,,"{'original': 7.1, 'alternative': 7}",1,0.05,0.19,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,8,5,75.0,,,66.66666666666666,,,,5.0,,6.0,4.0,,1.0,,1.0,1.0,2.0,3.0,1.0,,-0.19,2.0,,1.0,,,,,
14015404,away,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,39.0,32.0,5.0,3.0,0.0,12.0,13.0,20.0,26.0,1.0,5.0,,6.0,,,,90.0,57.0,7.4,15.0,,"{'original': 7.4, 'alternative': 7}",3,0.74,0.17,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,82.05128205128204,60.0,33.33333333333333,33.33333333333333,,6.0,,5.0,1.0,3.0,1.0,1.0,,1.0,,,1.0,3.0,2.0,4.0,0.26,,1.0,1.0,2.0,1.0,,,
14015404,away,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,M,20,False,12.0,10.0,1.0,1.0,0.0,1.0,1.0,9.0,11.0,1.0,5.0,,1.0,,,,68.0,26.0,6.1,9.0,,"{'original': 6.1, 'alternative': 6.2}",2,0.03,0.4,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,4,8,83.33333333333334,100.0,,50.0,,,,8.0,2.0,4.0,2.0,,,1.0,1.0,1.0,2.0,1.0,2.0,,-0.3,2.0,,1.0,,1.0,,,
14015404,away,6147,FK Spartak Subotica,1018513,José Mulato,jose-mulato,F,9,False,19.0,13.0,2.0,2.0,0.0,4.0,5.0,9.0,14.0,1.0,2.0,,,,,,68.0,26.0,6.4,8.0,,"{'original': 6.4, 'alternative': 6.8}",1,0.02,0.31,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,68.42105263157895,100.0,100.0,100.0,,1.0,2.0,3.0,,1.0,1.0,,,,,,2.0,,,3.0,-0.27,1.0,,,1.0,1.0,1.0,,
14015404,away,301263,FK Spartak Subotica,1424448,Veljko Jocić,veljko-jocic,M,14,True,13.0,4.0,5.0,,0.0,1.0,2.0,3.0,11.0,,1.0,1.0,2.0,,,,35.0,23.0,6.4,12.0,,"{'original': 6.4, 'alternative': 6.6}",2,-0.13,0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,30.76923076923077,,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,-0.3,,,2.0,,,,,
14015404,away,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,F,7,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,,,,22.0,10.0,6.0,5.0,,"{'original': 6, 'alternative': 6.1}",0,-0.05,0.02,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,0,8,66.66666666666666,,,,,,,8.0,3.0,1.0,,,,,,,,,3.0,,,1.0,,,,,,,
