player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Vladimir Lučić', 'firstName': '', 'lastName': '', 'slug': 'vladimir-lucic', 'shortName': 'V. Lučić', 'position': 'M', 'jerseyNumber': '37', 'userCount': 771, 'gender': 'M', 'id': 1029788, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير لوتشيتش', 'bn': 'ভ্লাদিমির লুসিচ', 'hi': 'व्लादिमीर लुसिक'}, 'shortNameTranslation': {'ar': 'ف. لوتشيتش', 'bn': 'ভি. লুসিচ', 'hi': 'वी. लुसिक'}}}",True,goal,regular,assisted,"{'x': 6.4, 'y': 35, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 4.4}",5657688,87,5180,"{'start': {'x': 35, 'y': 6.4}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 95.6}}",4,220,2480,shot,
"{'name': 'Tomás Händel', 'firstName': 'Tomás Händel', 'lastName': '', 'slug': 'tomas-handel', 'shortName': 'T. Händel', 'position': 'M', 'jerseyNumber': '20', 'userCount': 976, 'gender': 'M', 'id': 1131048, 'fieldTranslations': {'nameTranslation': {'ar': 'توماس هاندل'}, 'shortNameTranslation': {'ar': 'ت. هاندل'}}}",True,goal,regular,assisted,"{'x': 7.9, 'y': 49.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.7, 'z': 9.5}",5657580,82,4911,"{'start': {'x': 49.7, 'y': 7.9}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 90.5}}",9,489,2211,shot,
"{'name': 'Adem Avdić', 'firstName': '', 'lastName': '', 'slug': 'adem-avdic', 'shortName': 'A. Avdić', 'position': 'D', 'jerseyNumber': '71', 'userCount': 1020, 'gender': 'M', 'id': 1493918, 'fieldTranslations': {'nameTranslation': {'ar': 'أديم أفديتش'}, 'shortNameTranslation': {'ar': 'أ. أفديتش'}}}",True,miss,,corner,"{'x': 22.3, 'y': 54.6, 'z': 0}",left-foot,left,"{'x': 0, 'y': 63.4, 'z': 22.2}",5657545,78,4638,"{'start': {'x': 54.6, 'y': 22.3}, 'end': {'x': 36.6, 'y': 0}, 'goal': {'x': 36.6, 'y': 77.8}}",13,762,1938,shot,
"{'name': 'Rodrigão', 'slug': 'rodrigao-prado', 'shortName': 'R. Prado', 'position': 'D', 'jerseyNumber': '5', 'userCount': 864, 'gender': 'M', 'id': 867608, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغاو'}, 'shortNameTranslation': {'ar': 'رودريغاو'}}}",True,block,,throw-in-set-piece,"{'x': 9.2, 'y': 56, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.2, 'z': 12.5}",5657529,77,4607,"{'start': {'x': 56, 'y': 9.2}, 'block': {'x': 54.5, 'y': 2.8}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 87.5}}",14,793,1907,shot,"{'x': 2.8, 'y': 54.5, 'z': 0}"
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,save,,throw-in-set-piece,"{'x': 2, 'y': 36.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51, 'z': 17.7}",5657528,76,4552,"{'start': {'x': 36.4, 'y': 2}, 'block': {'x': 45.3, 'y': 0.5}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 82.3}}",15,848,1852,shot,"{'x': 0.5, 'y': 45.3, 'z': 0}"
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,block,,assisted,"{'x': 18.9, 'y': 50.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}",5657404,73,4342,"{'start': {'x': 50.5, 'y': 18.9}, 'block': {'x': 50.4, 'y': 15.5}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",18,1058,1642,shot,"{'x': 15.5, 'y': 50.4, 'z': 0}"
"{'name': 'Nemanja Radonjić', 'firstName': '', 'lastName': '', 'slug': 'nemanja-radonjic', 'shortName': 'N. Radonjić', 'position': 'M', 'jerseyNumber': '49', 'userCount': 4708, 'gender': 'M', 'sofascoreId': 'n.radonjic7', 'id': 802665, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا رادونجيتش', 'bn': 'নেমাঞ্জা রাডনজিক', 'hi': 'नेमांजा राडोनजीक'}, 'shortNameTranslation': {'ar': 'ن. رادونجيتش', 'bn': 'এন. রাডনজিক', 'hi': 'एन. राडोनजीक'}}}",True,goal,regular,regular,"{'x': 8.3, 'y': 56.4, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 48, 'z': 28.5}",5657384,71,4250,"{'start': {'x': 56.4, 'y': 8.3}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 71.5}}",20,1150,1550,shot,
"{'name': 'Hristo Ivanov', 'firstName': '', 'lastName': '', 'slug': 'hristo-ivanov', 'shortName': 'H. Ivanov', 'position': 'M', 'jerseyNumber': '45', 'userCount': 54, 'gender': 'M', 'id': 988828, 'fieldTranslations': {'nameTranslation': {'ar': 'هريستو إيفانوف', 'bn': 'হিস্টো ইভানভ', 'hi': 'ह्रिस्तो इवानोव'}, 'shortNameTranslation': {'ar': 'ه. إيفانوف', 'bn': 'এইচ. ইভানভ', 'hi': 'एच. इवानोव'}}}",False,save,,throw-in-set-piece,"{'x': 27.4, 'y': 73.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 13.9}",5657346,68,4033,"{'start': {'x': 73.4, 'y': 27.4}, 'block': {'x': 52.2, 'y': 1}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 86.1}}",23,1367,1333,shot,"{'x': 1, 'y': 52.2, 'z': 0}"
"{'name': 'Hristo Ivanov', 'firstName': '', 'lastName': '', 'slug': 'hristo-ivanov', 'shortName': 'H. Ivanov', 'position': 'M', 'jerseyNumber': '45', 'userCount': 54, 'gender': 'M', 'id': 988828, 'fieldTranslations': {'nameTranslation': {'ar': 'هريستو إيفانوف', 'bn': 'হিস্টো ইভানভ', 'hi': 'ह्रिस्तो इवानोव'}, 'shortNameTranslation': {'ar': 'ه. إيفانوف', 'bn': 'এইচ. ইভানভ', 'hi': 'एच. इवानोव'}}}",False,save,,assisted,"{'x': 18.7, 'y': 36, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 4.4}",5657345,67,3996,"{'start': {'x': 36, 'y': 18.7}, 'block': {'x': 48.6, 'y': 0.2}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 95.6}}",24,1404,1296,shot,"{'x': 0.2, 'y': 48.6, 'z': 0}"
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,miss,,assisted,"{'x': 3.9, 'y': 38, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.3, 'z': 16.7}",5657245,64,3815,"{'start': {'x': 38, 'y': 3.9}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 83.3}}",27,1585,1115,shot,
