match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,shotOffTarget,bigChanceCreated,bigChanceMissed,blockedScoringAttempt
15565490,home,36019,FK Mornar Bar,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,24,False,32.0,26.0,12.0,6.0,0.0,23.0,24.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,90.0,35.0,7.5,5.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,81.25,50.0,,,0.0,,,,,,,
15565490,home,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,44.0,30.0,9.0,5.0,0.0,14.0,18.0,15.0,24.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,79.0,52.0,7.0,16.0,0.0,0.06,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,68.18181818181817,55.55555555555556,0.0,0.0,,2.0,1.0,,,,,
15565490,home,36019,FK Mornar Bar,189001,Jovan Baošić,jovan-baosic,D,15,False,32.0,28.0,6.0,3.0,0.0,21.0,24.0,6.0,7.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,90.0,40.0,7.0,6.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,87.5,50.0,,,,1.0,,,,,,
15565490,home,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,43.0,39.0,1.0,0.0,0.0,32.0,33.0,5.0,7.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,58.0,7.1,5.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,90.69767441860465,0.0,,,,3.0,,,,,,
15565490,home,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,43.0,34.0,7.0,3.0,1.0,17.0,19.0,14.0,20.0,2.0,2.0,0.0,3.0,6.0,9.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,89.0,57.0,7.7,12.0,0.0,0.11,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,6,6,79.06976744186046,42.857142857142854,100.0,75.0,,3.0,2.0,,,,,
15565490,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,False,31.0,23.0,1.0,0.0,0.0,15.0,17.0,8.0,14.0,0.0,0.0,0.0,2.0,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,46.0,6.8,11.0,0.04,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,5,8,74.19354838709677,0.0,,0.0,,1.0,,1.0,,,,
15565490,home,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,48.0,34.0,5.0,2.0,0.0,19.0,23.0,15.0,23.0,0.0,0.0,1.0,0.0,15.0,6.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,64.0,7.1,13.0,0.02,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,1,20,6,14,70.83333333333334,40.0,,75.0,,,,,1.0,,,
15565490,home,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,False,38.0,32.0,2.0,1.0,0.0,18.0,19.0,13.0,18.0,0.0,0.0,2.0,1.0,7.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,,,,,,,68.0,57.0,7.8,11.0,0.25,0.0,"{'original': 7.8, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,84.21052631578947,50.0,,100.0,,2.0,,1.0,1.0,,,
15565490,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,False,36.0,30.0,1.0,1.0,1.0,6.0,9.0,24.0,27.0,2.0,0.0,1.0,0.0,9.0,11.0,0.0,7.0,6.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,,,,,,,68.0,61.0,7.5,9.0,0.32,0.38,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,1,19,11,8,83.33333333333334,100.0,0.0,85.71428571428571,,1.0,3.0,1.0,,1.0,1.0,
15565490,home,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,34.0,28.0,4.0,2.0,0.0,4.0,5.0,24.0,29.0,2.0,1.0,1.0,0.0,9.0,15.0,0.0,15.0,13.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,79.0,70.0,8.4,9.0,0.34,0.21,"{'original': 8.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,1,23,15,8,82.35294117647058,50.0,50.0,86.66666666666667,,,3.0,,,,,2.0
