player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",False,save,regular,"{'x': 21, 'y': 31, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.3, 'z': 2.2}",0.04939,0.08814,7037980,90,3.0,5560,"{'start': {'x': 31, 'y': 21}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 97.8}}",1,740,160,shot,,
"{'name': 'Petar Vukčević', 'firstName': '', 'lastName': '', 'slug': 'petar-vukcevic', 'shortName': 'P. Vukčević', 'position': 'M', 'jerseyNumber': '19', 'userCount': 10, 'gender': 'M', 'id': 941133, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر فوكشيفيتش', 'bn': 'পেটার ভুকেভিচ', 'hi': 'पीटर वुकचेविच'}, 'shortNameTranslation': {'ar': 'ب. فوكشيفيتش', 'bn': 'পি. ভুকেভিচ', 'hi': 'पी. वुकसेविक'}}}",True,save,regular,"{'x': 11, 'y': 65, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 6}",0.1719,0.1815,7037979,88,,5234,"{'start': {'x': 65, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 94}}",3,166,2534,shot,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 30, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'bn': 'বালসা সেকুলিক', 'hi': 'बाल्सा सेकुलिक'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'bn': 'বি. সেকুলিক', 'hi': 'बी. सेकुलिक'}}}",True,save,regular,"{'x': 21, 'y': 76, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51, 'z': 22.3}",0.01666,0.00549,7037978,81,,4854,"{'start': {'x': 76, 'y': 21}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 77.7}}",10,546,2154,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 14, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",False,save,regular,"{'x': 9, 'y': 34, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.5, 'z': 14.7}",0.09143,0.06955,7037977,70,,4162,"{'start': {'x': 34, 'y': 9}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 85.3}}",21,1238,1462,shot,,
"{'name': 'Andrija Kaluđerović', 'firstName': '', 'lastName': '', 'slug': 'andrija-kaluderovic', 'shortName': 'A. Kaluđeriović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 94261, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا كالوجيروفيتش'}, 'shortNameTranslation': {'ar': 'أ. كالوجيروفيتش'}}}",True,miss,regular,"{'x': 30, 'y': 35, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.3, 'z': 24.1}",0.02219,,7037976,67,,3969,"{'start': {'x': 35, 'y': 30}, 'end': {'x': 57.7, 'y': 0}, 'goal': {'x': 57.7, 'y': 75.9}}",24,1431,1269,shot,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,save,regular,"{'x': 6, 'y': 33, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 16.6}",0.2745,0.3304,7037975,66,,3951,"{'start': {'x': 33, 'y': 6}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 83.4}}",25,1449,1251,shot,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 30, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'bn': 'বালসা সেকুলিক', 'hi': 'बाल्सा सेकुलिक'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'bn': 'বি. সেকুলিক', 'hi': 'बी. सेकुलिक'}}}",True,save,regular,"{'x': 24, 'y': 69, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52, 'z': 18}",0.06154,0.154,7037974,66,,3944,"{'start': {'x': 69, 'y': 24}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 82}}",25,1456,1244,shot,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,block,regular,"{'x': 18, 'y': 48, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03406,,7037973,63,,3756,"{'start': {'x': 48, 'y': 18}, 'block': {'x': 48, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",28,1644,1056,shot,"{'x': 18, 'y': 48, 'z': 0}",
"{'name': 'Jovan Dašić', 'firstName': '', 'lastName': '', 'slug': 'jovan-dasic', 'shortName': 'J. Dašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 12, 'gender': 'M', 'id': 1005622, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان داشيتش', 'bn': 'জোভান দাসিচ', 'hi': 'जोवन दासिच'}, 'shortNameTranslation': {'ar': 'ي. داشيتش', 'bn': 'জে. দাসিচ', 'hi': 'जे. दासिच'}}}",True,save,throw-in-set-piece,"{'x': 13, 'y': 40, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 3.2}",0.04464,0.516,7037972,62,,3684,"{'start': {'x': 40, 'y': 13}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 96.8}}",29,1716,984,shot,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,block,regular,"{'x': 22, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03296,,7037971,59,,3496,"{'start': {'x': 38, 'y': 22}, 'block': {'x': 38, 'y': 22}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",32,1904,796,shot,"{'x': 22, 'y': 38, 'z': 0}",
