match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,clearanceOffLine,outfielderBlock,unsuccessfulTouch,wasFouled,fouls,keyPass,interceptionWon,totalTackle,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,wonTackle,onTargetScoringAttempt,goals,shotValueNormalized,shotOffTarget,blockedScoringAttempt,hitWoodwork,bigChanceMissed,totalOffside,punches
14015407,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,44.0,13.0,43.0,12.0,0.0,1.0,3.0,12.0,41.0,2.0,2.0,1.0,18.0,3.0,4.0,7.0,1.0,1.0,90.0,57.0,8.8,31.0,1.2333,"{'original': 8.8, 'alternative': 8}",0,0.18,-0.02,0.22,0.85,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,29.545454545454547,27.906976744186046,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015407,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,False,14.0,9.0,5.0,3.0,0.0,6.0,7.0,3.0,7.0,1.0,2.0,7.0,2.0,,,,,,90.0,39.0,8.2,11.0,,"{'original': 8.2, 'alternative': 8}",0,0.11,0.1,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,64.28571428571429,60.0,20.0,,,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015407,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,9.0,6.0,3.0,1.0,0.0,4.0,4.0,2.0,5.0,1.0,2.0,4.0,,,,,,,90.0,25.0,7.5,3.0,,"{'original': 7.5, 'alternative': 7.3}",0,0.23,0.01,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,66.66666666666666,33.33333333333333,,,,,,3.0,3.0,,5.0,,2.0,,,2.0,,,,,,,,,,,,,,,,
14015407,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,15.0,9.0,7.0,2.0,0.0,5.0,7.0,4.0,8.0,2.0,5.0,5.0,1.0,,,,,,90.0,28.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7.1}",0,0.08,-0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,60.0,28.57142857142857,,,,,,,,,2.0,,1.0,,,3.0,2.0,,,,,,,,,,,,,,,
14015407,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,13.0,8.0,3.0,1.0,0.0,3.0,3.0,5.0,10.0,,7.0,4.0,5.0,,,,,,89.0,35.0,8.5,9.0,,"{'original': 8.5, 'alternative': 7.7}",0,0.6,0.22,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,7,3,61.53846153846154,33.33333333333333,,100.0,,1.0,,,3.0,,,,2.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,
14015407,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,17.0,10.0,2.0,,0.0,4.0,7.0,6.0,10.0,1.0,5.0,3.0,5.0,,,,,,90.0,32.0,6.7,11.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.11,0.05,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,58.82352941176471,,,,,,,1.0,4.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,,,,,,
14015407,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,2.0,2.0,,,0.0,2.0,2.0,,,,2.0,,,,,,,,8.0,6.0,3.0,1.0,,"{'original': 3, 'alternative': 3}",0,0.01,,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,100.0,,,,,,,,2.0,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,
14015407,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,11.0,9.0,,,0.0,6.0,8.0,3.0,3.0,,3.0,2.0,4.0,,,,,,72.0,26.0,8.1,6.0,,"{'original': 8.1, 'alternative': 7.4}",1,0.0,0.15,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,81.81818181818183,,,33.33333333333333,,1.0,,2.0,5.0,,,1.0,2.0,,,,,1.0,,3.0,1.0,,,1.0,1.0,0.57,,,,,,
14015407,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,14.0,9.0,2.0,,0.0,4.0,5.0,5.0,9.0,,,,2.0,,,,,,62.0,22.0,7.3,9.0,,"{'original': 7.3, 'alternative': 6.7}",0,0.76,0.04,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,64.28571428571429,,66.66666666666666,,,3.0,2.0,4.0,5.0,,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,
14015407,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,10.0,7.0,4.0,2.0,0.0,4.0,4.0,3.0,6.0,1.0,9.0,,2.0,,,,,,72.0,35.0,6.4,11.0,,"{'original': 6.4, 'alternative': 6.9}",3,0.14,0.25,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,5,15,8,7,70.0,50.0,,,,,,4.0,11.0,,,3.0,7.0,2.0,1.0,,1.0,,4.0,1.0,,,,,,-0.71,2.0,1.0,1.0,,,
