minute,value
1.0,85
2.0,52
3.0,21
4.0,-20
5.0,-32
6.0,-29
7.0,-22
8.0,-17
9.0,-13
10.0,-15
11.0,-83
12.0,-100
13.0,-58
14.0,-41
15.0,-21
16.0,-33
17.0,-22
18.0,-40
19.0,-25
20.0,24
21.0,-37
22.0,-13
23.0,-18
24.0,-67
25.0,-48
26.0,-100
27.0,-70
28.0,-38
29.0,-19
30.0,-7
31.0,-6
32.0,29
33.0,20
34.0,-21
35.0,-11
36.0,-12
37.0,-10
38.0,35
39.0,29
40.0,23
41.0,20
42.0,13
43.0,11
44.0,1
45.0,-5
45.5,35
46.0,-30
47.0,-18
48.0,-11
49.0,-6
50.0,36
51.0,17
52.0,10
53.0,12
54.0,3
55.0,-46
56.0,-17
57.0,-10
58.0,-6
59.0,-23
60.0,-40
61.0,-29
62.0,-17
63.0,-10
64.0,-10
65.0,-3
66.0,-6
67.0,-14
68.0,-8
69.0,5
70.0,1
71.0,36
72.0,43
73.0,21
74.0,-25
75.0,30
76.0,11
77.0,-25
78.0,-47
79.0,-26
80.0,41
81.0,64
82.0,35
83.0,29
84.0,12
85.0,-5
86.0,-5
87.0,-2
88.0,-2
89.0,-46
90.0,-100
90.5,-5
