player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,block,regular,"{'x': 12, 'y': 59, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 12, 'y': 59, 'z': 0}",0.1069,6872106,85,5065,"{'start': {'x': 59, 'y': 12}, 'block': {'x': 59, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",6,335,2365,shot,,
"{'name': 'Gojko Petović', 'slug': 'gojko-petrovic', 'shortName': 'G. Petović', 'position': 'D', 'jerseyNumber': '5', 'userCount': 7, 'gender': 'M', 'id': 1804545, 'fieldTranslations': {'nameTranslation': {'ar': 'غويكو بيتوفيتش'}, 'shortNameTranslation': {'ar': 'غ. بيتوفيتش'}}}",True,miss,set-piece,"{'x': 4, 'y': 39, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 58.5, 'z': 56.6}",,0.1418,6872105,83,4960,"{'start': {'x': 39, 'y': 4}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 43.4}}",8,440,2260,shot,,
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 7, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'bn': 'মিলিভোজে রাইচেভিচ', 'hi': 'मिलिवोजे रायचेविक'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'bn': 'এম. রাইসেভিচ', 'hi': 'एम. रायचेविक'}}}",False,miss,regular,"{'x': 15, 'y': 32, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.3, 'z': 11.9}",,0.008696,6872104,77,4595,"{'start': {'x': 32, 'y': 15}, 'end': {'x': 57.7, 'y': 0}, 'goal': {'x': 57.7, 'y': 88.1}}",14,805,1895,shot,,
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",True,goal,regular,"{'x': 6, 'y': 55, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.8, 'z': 12.8}",,0.417,6872103,72,4262,"{'start': {'x': 55, 'y': 6}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 87.2}}",19,1138,1562,shot,regular,0.4726
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",True,block,regular,"{'x': 8, 'y': 57, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 8, 'y': 57, 'z': 0}",0.1799,6872102,71,4260,"{'start': {'x': 57, 'y': 8}, 'block': {'x': 57, 'y': 8}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",20,1140,1560,shot,,
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 14, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 13, 'y': 32, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 53.3, 'z': 44.6}",,0.04304,6872101,69,4116,"{'start': {'x': 32, 'y': 13}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 55.4}}",22,1284,1416,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,post,regular,"{'x': 14, 'y': 48, 'z': 0}",left-foot,left,"{'x': 0, 'y': 55.4, 'z': 4}",,0.1469,6872100,66,3946,"{'start': {'x': 48, 'y': 14}, 'end': {'x': 44.6, 'y': 0}, 'goal': {'x': 44.6, 'y': 96}}",25,1454,1246,shot,,
"{'name': 'Gojko Petović', 'slug': 'gojko-petrovic', 'shortName': 'G. Petović', 'position': 'D', 'jerseyNumber': '5', 'userCount': 7, 'gender': 'M', 'id': 1804545, 'fieldTranslations': {'nameTranslation': {'ar': 'غويكو بيتوفيتش'}, 'shortNameTranslation': {'ar': 'غ. بيتوفيتش'}}}",True,block,corner,"{'x': 10, 'y': 61, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 10, 'y': 61, 'z': 0}",0.08028,6872099,64,3829,"{'start': {'x': 61, 'y': 10}, 'block': {'x': 61, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1571,1129,shot,,
"{'name': 'Uroš Bulatović', 'firstName': '', 'lastName': '', 'slug': 'uros-bulatovic', 'shortName': 'U. Bulatović', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 1391890, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بولاتوفيتش'}}}",False,miss,set-piece,"{'x': 24, 'y': 57, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.7, 'z': 46.2}",,0.009446,6872098,60,3571,"{'start': {'x': 57, 'y': 24}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 53.8}}",31,1829,871,shot,,
"{'name': 'Marko Živanović', 'firstName': '', 'lastName': '', 'slug': 'marko-zivanovic', 'shortName': 'M. Živanović', 'position': 'D', 'jerseyNumber': '26', 'userCount': 6, 'gender': 'M', 'id': 984070, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو زيفانوفيتش'}, 'shortNameTranslation': {'ar': 'م. زيفانوفيتش'}}}",True,save,corner,"{'x': 4, 'y': 61, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 15.6}",,0.1713,6872097,57,3364,"{'start': {'x': 61, 'y': 4}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 84.4}}",34,2036,664,shot,,0.4218
