match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,interceptionWon,keyPass,blockedScoringAttempt,penaltyConceded,hitWoodwork,penaltyWon,savedShotsFromInsideTheBox,clearanceOffLine
15280991,home,37956,FK Arsenal Tivat,957906,Igor Vukcevic,igor-vukcevic,F,9,False,26.0,17.0,1.0,0.0,0.0,3.0,3.0,13.0,20.0,0.0,0.0,14.0,10.0,22.0,13.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,,,,,,90.0,41.0,7.9,22.0,0.82,0.0,"{'original': 7.9, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",35,24,11,3,8,65.38461538461539,0.0,,0.0,,1.0,,1.0,,1.0,,,,,
15280991,home,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,D,8,True,27.0,18.0,3.0,0.0,0.0,6.0,6.0,11.0,19.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,30.0,33.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,66.66666666666666,0.0,0.0,100.0,,,,,,,,,,,
15280991,home,37956,FK Arsenal Tivat,205970,Julian Montenegro,julian-montenegro,M,11,True,11.0,9.0,2.0,2.0,0.0,1.0,1.0,8.0,10.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,30.0,22.0,6.9,5.0,0.0,0.18,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,81.81818181818183,100.0,50.0,100.0,,1.0,,,1.0,,,,,,
15280991,home,37956,FK Arsenal Tivat,1486747,Vladimir Kašćelan,vladimir-kascelan,D,16,True,5.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,6.0,6.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,60.0,66.66666666666666,,,,,,,,,,,,,
15280991,home,37956,FK Arsenal Tivat,1030480,Nikola Gluščević,nikola-gluscevic,M,21,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,3.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,100.0,,,,,,,,,,,,,,
15280991,home,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,0.0,,
15280991,home,53449,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
15280991,home,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
15280991,home,37956,FK Arsenal Tivat,1163504,David Sim,david-sim,D,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
15280991,home,308777,FK Arsenal Tivat,1153676,Petar Soskic,petar-soskic,F,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
