match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,wonTackle,hitWoodwork,interceptionWon,unsuccessfulTouch,goals,accurateCross,dispossessed,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized,totalOffside
14015398,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,21.0,17.0,6.0,2.0,0.0,15.0,15.0,2.0,6.0,1.0,5.0,1.0,1.0,90.0,23.0,6.4,4.0,"{'original': 6.4, 'alternative': 6.4}",0,0.01,-0.01,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.95238095238095,33.33333333333333,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015398,home,241802,FK Radnički Niš,121590,Marko Petković,marko-petkovic,D,33,False,48.0,34.0,8.0,3.0,1.0,10.0,12.0,24.0,36.0,2.0,4.0,,,79.0,64.0,7.6,16.0,"{'original': 7.6, 'alternative': 7.4}",2,0.47,0.61,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,70.83333333333334,37.5,,100.0,,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.24,,,,,,,,,,,,,,
14015398,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,76.0,71.0,9.0,7.0,0.0,36.0,37.0,35.0,39.0,8.0,5.0,,,90.0,92.0,8.4,5.0,"{'original': 8.4, 'alternative': 7.8}",3,0.33,0.32,0.58,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,93.42105263157895,77.77777777777779,,,,,,2.0,1.0,4.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,-0.17,1.0,1.0,,,,,,,,,,,,
14015398,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,63.0,58.0,8.0,7.0,0.0,28.0,29.0,30.0,34.0,6.0,3.0,,,90.0,75.0,7.4,5.0,"{'original': 7.4, 'alternative': 7.5}",2,0.29,0.17,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,10,2,1,1,92.06349206349206,87.5,,,,,3.0,7.0,4.0,8.0,,,,,,1.0,,,1.0,,1.0,,-0.49,1.0,1.0,1.0,,,,,,,,,,,
14015398,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,40.0,34.0,3.0,3.0,0.0,17.0,18.0,17.0,22.0,2.0,5.0,,,90.0,58.0,6.8,10.0,"{'original': 6.8, 'alternative': 6.9}",0,0.13,0.19,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,85.0,100.0,,100.0,,2.0,1.0,,2.0,4.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,
14015398,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,59.0,53.0,5.0,3.0,0.0,23.0,25.0,30.0,34.0,,2.0,,,90.0,72.0,8.6,7.0,"{'original': 8.6, 'alternative': 7.9}",2,0.16,0.18,-0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,7,10,5,5,89.83050847457628,60.0,,100.0,,,4.0,3.0,9.0,8.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,4.0,2.0,0.7,1.0,2.0,,1.0,1.0,1.0,,,,,,,,
14015398,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,30.0,24.0,,,0.0,3.0,3.0,21.0,27.0,,3.0,,,69.0,41.0,6.4,9.0,"{'original': 6.4, 'alternative': 6.6}",2,-0.22,0.23,0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,80.0,,,,,,,,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,-0.02,,1.0,,1.0,2.0,,,,,,,,,
14015398,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,47.0,40.0,,,0.0,12.0,13.0,28.0,34.0,1.0,6.0,,,90.0,66.0,7.7,13.0,"{'original': 7.7, 'alternative': 8.3}",3,0.13,0.2,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,85.1063829787234,,75.0,,,4.0,,,5.0,4.0,2.0,,,1.0,,1.0,,,2.0,2.0,1.0,4.0,0.55,2.0,1.0,,2.0,3.0,1.0,3.0,2.0,,,,,,
14015398,home,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,17.0,12.0,2.0,2.0,0.0,1.0,2.0,11.0,15.0,,3.0,,,63.0,35.0,6.5,10.0,"{'original': 6.5, 'alternative': 7}",2,0.07,0.33,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,70.58823529411765,100.0,40.0,100.0,,5.0,3.0,,6.0,3.0,1.0,2.0,2.0,1.0,,,2.0,,1.0,,1.0,3.0,-0.04,,1.0,,1.0,1.0,,2.0,1.0,,,,,,
14015398,home,2108,FK Radnički Niš,1472951,David Ewemade,ewemade-david,F,17,False,16.0,13.0,,,1.0,2.0,2.0,11.0,14.0,,,,,79.0,24.0,6.6,8.0,"{'original': 6.6, 'alternative': 6.8}",0,0.12,0.27,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,81.25,,,,,2.0,1.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,,,,,,2.0,,,,,,,,,
14015398,home,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,F,8,False,22.0,21.0,,,0.0,4.0,4.0,17.0,18.0,1.0,2.0,,,69.0,32.0,7.2,8.0,"{'original': 7.2, 'alternative': 7.3}",2,-0.18,0.41,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,95.45454545454545,,,,,2.0,3.0,,5.0,,,,,,,1.0,,,,,1.0,,0.5,1.0,,,,4.0,1.0,,1.0,,,,,,
