player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,addedTime
"{'name': 'Eldar Mehmedović', 'firstName': 'Eldar', 'lastName': 'Mehmedovic', 'slug': 'eldar-mehmedovic', 'shortName': 'E. Mehmedović', 'position': 'M', 'userCount': 85, 'gender': 'M', 'id': 1094065, 'fieldTranslations': {'nameTranslation': {'ar': 'إلدار محمدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. محمدوفيتش'}}}",True,block,assisted,"{'x': 22.8, 'y': 38.7, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 18.1}","{'x': 11, 'y': 42.6, 'z': 0}",5389132,77,4597,"{'start': {'x': 38.7, 'y': 22.8}, 'block': {'x': 42.6, 'y': 11}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 81.9}}",14,803,1897,shot,,
"{'name': 'Vladimir Vitorović', 'slug': 'vladimir-vitorovic', 'shortName': 'V. Vitorovic', 'position': 'D', 'jerseyNumber': '3', 'userCount': 9, 'gender': 'M', 'id': 913382, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير فيتوروفيتش'}, 'shortNameTranslation': {'ar': 'ف. فيتوروفيتش'}}}",True,miss,assisted,"{'x': 11.1, 'y': 26, 'z': 0}",left-foot,right,"{'x': 0, 'y': 37.1, 'z': 1.4}",,5388902,62,3711,"{'start': {'x': 26, 'y': 11.1}, 'end': {'x': 62.9, 'y': 0}, 'goal': {'x': 62.9, 'y': 98.6}}",29,1689,1011,shot,,
"{'name': 'Yohan Bilingi', 'firstName': '', 'lastName': '', 'slug': 'bilingi-yohan', 'shortName': 'Y. Bilingi', 'position': 'D', 'jerseyNumber': '28', 'userCount': 19, 'gender': 'M', 'id': 949370, 'fieldTranslations': {'nameTranslation': {'ar': 'يوهان بيلينغي'}, 'shortNameTranslation': {'ar': 'ي. بيلينغي'}}}",True,block,assisted,"{'x': 20.4, 'y': 73.2, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 19}","{'x': 12.1, 'y': 62.8, 'z': 0}",5388874,59,3523,"{'start': {'x': 73.2, 'y': 20.4}, 'block': {'x': 62.8, 'y': 12.1}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 81}}",32,1877,823,shot,,
"{'name': 'Stefan Tomović', 'firstName': 'Stefan Tomovic', 'slug': 'stefan-tomovic', 'shortName': 'S. Tomović', 'position': 'M', 'jerseyNumber': '70', 'userCount': 86, 'gender': 'M', 'id': 1063371, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان توموفيتش', 'bn': 'স্টেফান তোমোভিচ', 'hi': 'स्टीफ़न टॉमोविक'}, 'shortNameTranslation': {'ar': 'س. توموفيتش', 'bn': 'এস. তোমোভিচ', 'hi': 'एस. टॉमोविक'}}}",True,save,free-kick,"{'x': 30.6, 'y': 54.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 13.3}","{'x': 1.4, 'y': 50, 'z': 0}",5388862,59,3489,"{'start': {'x': 54.8, 'y': 30.6}, 'block': {'x': 50, 'y': 1.4}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 86.7}}",32,1911,789,shot,,
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",False,goal,assisted,"{'x': 22.9, 'y': 63.8, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 45.9, 'z': 9.5}",,5388761,51,3034,"{'start': {'x': 63.8, 'y': 22.9}, 'end': {'x': 54.1, 'y': 0}, 'goal': {'x': 54.1, 'y': 90.5}}",40,2366,334,shot,regular,
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",False,miss,assisted,"{'x': 13.5, 'y': 36.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 39, 'z': 41.7}",,5388615,45,2728,"{'start': {'x': 36.4, 'y': 13.5}, 'end': {'x': 61, 'y': 0}, 'goal': {'x': 61, 'y': 58.3}}",1,2672,28,shot,,1.0
"{'name': 'Aleksa Trajković', 'firstName': 'Aleksa Trajkovic', 'slug': 'aleksa-trajkovic', 'shortName': 'A. Trajković', 'position': 'M', 'jerseyNumber': '17', 'userCount': 22, 'gender': 'M', 'id': 1981794, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس تراجكوفيتش'}, 'shortNameTranslation': {'ar': 'أ. تراجكوفيتش'}}}",True,miss,assisted,"{'x': 19, 'y': 53.6, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.1, 'z': 6.9}",,5388614,45,2676,"{'start': {'x': 53.6, 'y': 19}, 'end': {'x': 42.9, 'y': 0}, 'goal': {'x': 42.9, 'y': 93.1}}",1,24,2676,shot,,
"{'name': 'Aleksandar Varjačić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-varjacic', 'shortName': 'A. Varjačić', 'position': 'D', 'jerseyNumber': '17', 'userCount': 12, 'gender': 'M', 'id': 795855, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فارجاتجيتش'}, 'shortNameTranslation': {'ar': 'أ. فارجاتجيتش'}}}",False,block,assisted,"{'x': 8.3, 'y': 67.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 19.4}","{'x': 5.9, 'y': 63, 'z': 0}",5388570,39,2297,"{'start': {'x': 67.9, 'y': 8.3}, 'block': {'x': 63, 'y': 5.9}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 80.6}}",7,403,2297,shot,,
"{'name': 'Ilija Babić', 'slug': 'ilija-babic', 'shortName': 'I. Babić', 'position': 'M', 'jerseyNumber': '21', 'userCount': 55, 'gender': 'M', 'id': 997194, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا بابيتش'}, 'shortNameTranslation': {'ar': 'إ. بابيتش'}}}",True,save,assisted,"{'x': 10.5, 'y': 58.5, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 52.6, 'z': 25.9}","{'x': 7, 'y': 56.3, 'z': 0}",5388559,34,2016,"{'start': {'x': 58.5, 'y': 10.5}, 'block': {'x': 56.3, 'y': 7}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 74.1}}",12,684,2016,shot,,
"{'name': 'Ognjen Bondžulić', 'firstName': 'Ognjen Bondzulic', 'slug': 'ognjen-bondzulic', 'shortName': 'O. Bondžulić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 97, 'gender': 'M', 'id': 1835422, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنين بوندجوليتش'}, 'shortNameTranslation': {'ar': 'أ. بوندجوليتش'}}}",False,block,corner,"{'x': 18.1, 'y': 30.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 2.8}","{'x': 7.6, 'y': 45.8, 'z': 0}",5388679,27,1560,"{'start': {'x': 30.9, 'y': 18.1}, 'block': {'x': 45.8, 'y': 7.6}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 97.2}}",19,1140,1560,shot,,
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",False,block,assisted,"{'x': 24.6, 'y': 40.3, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 19}","{'x': 22.4, 'y': 41.3, 'z': 0}",5388462,26,1515,"{'start': {'x': 40.3, 'y': 24.6}, 'block': {'x': 41.3, 'y': 22.4}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 81}}",20,1185,1515,shot,,
"{'name': 'Stefan Tomović', 'firstName': 'Stefan Tomovic', 'slug': 'stefan-tomovic', 'shortName': 'S. Tomović', 'position': 'M', 'jerseyNumber': '70', 'userCount': 86, 'gender': 'M', 'id': 1063371, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان توموفيتش', 'bn': 'স্টেফান তোমোভিচ', 'hi': 'स्टीफ़न टॉमोविक'}, 'shortNameTranslation': {'ar': 'س. توموفيتش', 'bn': 'এস. তোমোভিচ', 'hi': 'एस. टॉमोविक'}}}",True,goal,assisted,"{'x': 11.7, 'y': 43.4, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 6.3}",,5388367,18,1057,"{'start': {'x': 43.4, 'y': 11.7}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 93.7}}",28,1643,1057,shot,regular,
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",False,save,assisted,"{'x': 3.5, 'y': 36.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 11.4}","{'x': 0.7, 'y': 46.8, 'z': 0}",5388354,14,825,"{'start': {'x': 36.2, 'y': 3.5}, 'block': {'x': 46.8, 'y': 0.7}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 88.6}}",32,1875,825,shot,,
"{'name': 'Mihailo Oreščanin', 'firstName': '', 'lastName': '', 'slug': 'mihailo-orescanin', 'shortName': 'M. Oreščanin', 'position': 'D', 'jerseyNumber': '37', 'userCount': 14, 'gender': 'M', 'id': 1022062, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو أوريسكانين'}, 'shortNameTranslation': {'ar': 'م. أوريسكانين'}}}",False,miss,set-piece,"{'x': 6.4, 'y': 46.6, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 58.8, 'z': 58.3}",,5388351,13,765,"{'start': {'x': 46.6, 'y': 6.4}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 41.7}}",33,1935,765,shot,,
