match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotValueNormalized,dispossessed,outfielderBlock,totalCross,accurateCross,shotOffTarget,unsuccessfulTouch,onTargetScoringAttempt,keyPass,bigChanceCreated,bigChanceMissed,challengeLost,goals,totalOffside,errorLeadToAShot
14015416,home,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,23.0,19.0,7.0,3.0,0.0,18.0,18.0,1.0,5.0,,7.0,1.0,3.0,,,90.0,33.0,7.4,4.0,0.5471,"{'original': 7.4, 'alternative': 6.7}",0,0.08,-0.02,0.13,0.45,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.6086956521739,42.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,33.0,25.0,5.0,1.0,0.0,10.0,13.0,15.0,20.0,1.0,6.0,,,,,90.0,51.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.3,0.09,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,75.75757575757575,20.0,50.0,,,1.0,,3.0,,,,,1.0,,,,1.0,,,1.0,2.0,1.0,,,,,,,1.0,,,
14015416,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,52.0,45.0,5.0,2.0,0.0,32.0,35.0,13.0,17.0,5.0,5.0,,,,,90.0,67.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.09,0.1,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,86.53846153846155,40.0,,,,1.0,1.0,3.0,2.0,,,,2.0,1.0,1.0,,1.0,,,1.0,,,,2.0,,,,,1.0,,,1.0
14015416,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,51.0,42.0,5.0,1.0,0.0,28.0,33.0,14.0,18.0,2.0,4.0,,,,,90.0,68.0,7.2,9.0,,"{'original': 7.2, 'alternative': 7.3}",1,0.25,0.27,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,82.35294117647058,20.0,,,,2.0,2.0,4.0,6.0,,,,2.0,3.0,2.0,1.0,1.0,-0.32,,2.0,,,1.0,,,1.0,,1.0,1.0,,,
14015416,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,32.0,24.0,7.0,5.0,0.0,12.0,14.0,12.0,18.0,4.0,7.0,,,,,89.0,62.0,6.6,18.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.26,0.2,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,75.0,71.42857142857143,40.0,,,,,6.0,2.0,1.0,,,1.0,1.0,,1.0,2.0,,2.0,,5.0,2.0,,3.0,,1.0,,,1.0,,,
14015416,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,14.0,12.0,,,0.0,5.0,6.0,7.0,8.0,,3.0,,,,,45.0,18.0,6.1,5.0,,"{'original': 6.1, 'alternative': 6.4}",0,-0.13,0.11,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,85.71428571428571,,,,,,,3.0,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,
14015416,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,56.0,45.0,6.0,,0.0,23.0,27.0,22.0,29.0,,6.0,,,,,90.0,64.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.26,0.22,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,80.35714285714286,,,,,1.0,3.0,4.0,5.0,,,,2.0,1.0,,1.0,3.0,,,,,,,,,2.0,,,,,,
