match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,dispossessed,shotOffTarget
15280988,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,36.0,30.0,20.0,15.0,0.0,21.0,24.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,90.0,46.0,7.1,6.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,75.0,,,0.0,,,,,,
15280988,home,6224,FK Sutjeska Nikšić,1149283,Milos Vracar,milos-vracar,D,4,False,38.0,26.0,5.0,0.0,0.0,14.0,18.0,12.0,20.0,4.0,1.0,1.0,1.0,7.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,51.0,6.6,17.0,0.0,0.09,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,68.42105263157895,0.0,25.0,66.66666666666666,,2.0,,,,,
15280988,home,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,38.0,37.0,1.0,1.0,0.0,29.0,29.0,7.0,7.0,0.0,0.0,0.0,5.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,69.0,44.0,7.3,5.0,0.47,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,97.36842105263158,100.0,,,,,1.0,,,,
15280988,home,6224,FK Sutjeska Nikšić,893161,Anto Babić,anto-babic,D,72,False,74.0,64.0,10.0,7.0,0.0,39.0,43.0,22.0,24.0,0.0,0.0,3.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,89.0,7.1,11.0,0.06,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,1,4,86.48648648648648,70.0,,,,,,1.0,,,
15280988,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,61.0,53.0,2.0,2.0,1.0,27.0,30.0,23.0,25.0,1.0,1.0,2.0,4.0,3.0,8.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,,,,,,,90.0,78.0,8.9,11.0,0.04,0.66,"{'original': 8.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,4,1,86.88524590163934,100.0,100.0,100.0,,1.0,,,1.0,,
15280988,home,6224,FK Sutjeska Nikšić,850088,Jovan Čađenović,jovan-cadenovic,M,20,False,58.0,53.0,4.0,3.0,0.0,29.0,30.0,19.0,23.0,0.0,0.0,2.0,3.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,70.0,7.5,5.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,5,6,91.37931034482759,75.0,,100.0,,,,,,,
15280988,home,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,76.0,63.0,11.0,3.0,1.0,32.0,33.0,30.0,42.0,0.0,0.0,3.0,3.0,15.0,12.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,,90.0,99.0,8.5,23.0,0.08,0.16,"{'original': 8.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,6,21,9,12,82.89473684210526,27.27272727272727,,33.33333333333333,,3.0,,,,1.0,
15280988,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,False,15.0,11.0,2.0,0.0,0.0,5.0,6.0,5.0,8.0,0.0,0.0,3.0,5.0,16.0,9.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,69.0,28.0,6.3,12.0,0.21,0.0,"{'original': 6.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,8,17,4,13,73.33333333333333,0.0,,50.0,,,,,,1.0,1.0
15280988,home,6224,FK Sutjeska Nikšić,1896811,Medo Jukovic,medo-jukovic,M,88,False,28.0,19.0,4.0,1.0,0.0,10.0,11.0,9.0,16.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,80.0,45.0,7.3,11.0,0.01,0.12,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,67.85714285714286,25.0,,75.0,,1.0,,,,,1.0
15280988,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,False,16.0,13.0,3.0,2.0,0.0,6.0,7.0,7.0,9.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,60.0,26.0,6.2,7.0,0.81,0.0,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,81.25,66.66666666666666,,0.0,,,1.0,,,,1.0
15280988,home,6224,FK Sutjeska Nikšić,1005753,Marko Mrvaljević,marko-mrvaljevic,F,99,False,15.0,10.0,0.0,0.0,0.0,2.0,4.0,8.0,11.0,0.0,0.0,8.0,1.0,13.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,2.0,,,,,,,80.0,27.0,7.1,13.0,0.73,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,9,8,3,5,66.66666666666666,,,100.0,,,,1.0,,,
