minute,value
0.0,0
1.0,-4
2.0,-2
3.0,8
4.0,10
5.0,1
6.0,19
7.0,10
8.0,-27
9.0,-20
10.0,-19
11.0,-15
12.0,-12
13.0,-7
14.0,-11
15.0,8
16.0,1
17.0,34
18.0,54
19.0,26
20.0,19
21.0,20
22.0,3
23.0,4
24.0,36
25.0,20
26.0,5
27.0,13
28.0,11
29.0,48
30.0,27
31.0,20
32.0,50
33.0,18
34.0,-42
35.0,-28
36.0,-29
37.0,-17
38.0,-17
39.0,-14
40.0,8
41.0,-8
42.0,-52
43.0,-28
44.0,-23
45.0,-22
45.5,5
46.0,-8
47.0,-27
48.0,-24
49.0,-32
50.0,-27
51.0,-18
52.0,-17
53.0,-42
54.0,-52
55.0,-38
56.0,-25
57.0,-28
58.0,-17
59.0,-11
60.0,-3
61.0,3
62.0,-3
63.0,-3
64.0,73
65.0,35
66.0,19
67.0,44
68.0,24
69.0,7
70.0,2
71.0,-68
72.0,-45
73.0,-24
74.0,-16
75.0,-12
76.0,-5
77.0,-5
78.0,3
79.0,-2
80.0,-3
81.0,-4
82.0,23
83.0,6
84.0,2
85.0,-2
86.0,79
87.0,33
88.0,-32
89.0,-14
90.0,-41
90.5,-60
