match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,bigChanceMissed,blockedScoringAttempt
15280992,home,5143,FK Budućnost Podgorica,1005619,Filip Domazetović,filip-domazetovic,G,21,False,22.0,21.0,3.0,3.0,0.0,18.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,90.0,24.0,7.5,1.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.45454545454545,100.0,,,0.0,,,,,
15280992,home,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,50.0,38.0,6.0,5.0,0.0,24.0,31.0,14.0,19.0,2.0,0.0,1.0,5.0,13.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,66.0,6.6,19.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,6,21,9,12,76.0,83.33333333333334,0.0,0.0,,,,,,
15280992,home,5143,FK Budućnost Podgorica,959779,Miloš Drinčić,milos-drincic,D,70,False,69.0,63.0,6.0,2.0,0.0,43.0,44.0,18.0,23.0,0.0,0.0,1.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,78.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,1,4,91.30434782608695,33.33333333333333,,,,,,,,
15280992,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,80.0,74.0,4.0,2.0,0.0,48.0,50.0,24.0,28.0,0.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,87.0,7.1,7.0,0.2,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,2,6,92.5,50.0,,,,1.0,,,,
15280992,home,5143,FK Budućnost Podgorica,889448,Stefan Hajdin,stefan-hajdin,D,3,False,39.0,34.0,3.0,1.0,0.0,17.0,19.0,17.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,70.0,50.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,87.17948717948718,33.33333333333333,,,,,1.0,,,
15280992,home,5143,FK Budućnost Podgorica,882000,Srđan Krstović,srdan-krstovic,M,40,False,5.0,5.0,0.0,0.0,0.0,5.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,8.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,
15280992,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,28.0,23.0,3.0,0.0,0.0,11.0,11.0,12.0,17.0,1.0,1.0,0.0,0.0,3.0,6.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,70.0,43.0,7.8,7.0,0.16,0.0,"{'original': 7.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,6,3,82.14285714285714,0.0,100.0,100.0,,,,,,
15280992,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,False,29.0,20.0,1.0,0.0,0.0,4.0,9.0,15.0,19.0,2.0,0.0,1.0,0.0,11.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,90.0,49.0,6.9,12.0,0.43,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,5,10,68.96551724137932,0.0,0.0,25.0,,,,1.0,,
15280992,home,5143,FK Budućnost Podgorica,1005606,Nikola Janjić,nikola-janjic,M,30,False,22.0,18.0,2.0,1.0,1.0,3.0,4.0,15.0,17.0,1.0,1.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,60.0,24.0,7.0,5.0,0.0,0.17,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,81.81818181818183,50.0,100.0,,,,3.0,,,
15280992,home,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,M,11,False,16.0,10.0,0.0,0.0,0.0,4.0,4.0,6.0,12.0,2.0,0.0,1.0,1.0,12.0,7.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,70.0,38.0,6.8,11.0,0.07,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,6,11,62.5,,0.0,100.0,,1.0,,1.0,,
