match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,challengeLost,totalContest,wonContest,totalTackle,fouls,keyPass,aerialLost,dispossessed,onTargetScoringAttempt,goals,interceptionWon,shotValueNormalized,shotOffTarget,hitWoodwork,outfielderBlock,wonTackle,unsuccessfulTouch,blockedScoringAttempt,totalOffside,bigChanceMissed,bigChanceCreated,errorLeadToAGoal,goodHighClaim,punches,errorLeadToAShot
14925744,home,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,30.0,25.0,3.0,2.0,0.0,5.0,6.0,20.0,24.0,4.0,7.0,1.0,,,,,85.0,46.0,8.2,9.0,106.06369696707,13.0,35.805,11.55,,"{'original': 8.2, 'alternative': 8}",4,0.35,0.27,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,3,4,83.33333333333334,66.66666666666666,,75.0,,,,7.0,2.0,4.0,3.0,,,2.0,3.0,1.0,1.0,1.0,,0.39,1.0,,,,2.0,2.0,1.0,,,,,,
14925744,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,8.0,6.0,,,0.0,,1.0,6.0,7.0,,2.0,,1.0,1.0,,,45.0,19.0,6.4,8.0,57.239074028341,7.0,39.06,16.8,,"{'original': 6.4, 'alternative': 6.4}",0,0.08,0.22,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,75.0,,100.0,33.33333333333333,,1.0,1.0,6.0,2.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,3.0,,,,,,,,
14925744,home,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,19.0,18.0,1.0,1.0,0.0,10.0,10.0,8.0,9.0,,,,5.0,,,,24.0,20.0,6.7,2.0,65.210657292335,11.0,11.235,7.98,,"{'original': 6.7, 'alternative': 6.6}",0,-0.03,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,94.73684210526315,100.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,802665,Nemanja Radonjić,nemanja-radonjic,M,49,True,13.0,9.0,2.0,,0.0,5.0,6.0,4.0,7.0,,2.0,,3.0,,,,24.0,19.0,6.5,8.0,92.730152371548,11.0,36.645,24.885,,"{'original': 6.5, 'alternative': 6.4}",0,0.25,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,69.23076923076923,,,100.0,,,,3.0,,2.0,2.0,,,1.0,,3.0,,,,,,,,,1.0,,,,1.0,,,,
14925744,home,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,True,6.0,5.0,,,0.0,4.0,4.0,1.0,2.0,,,,1.0,,,,7.0,6.0,6.3,1.0,66.973585736787,4.0,35.805,18.27,,"{'original': 6.3, 'alternative': 5.9}",0,0.01,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,83.33333333333334,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,True,3.0,3.0,,,0.0,3.0,3.0,,,,,,1.0,,,,10.0,4.0,6.5,1.0,5.412059127541,1.0,-5.04,-5.04,,"{'original': 6.5, 'alternative': 6.5}",0,0.0,-0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
14925744,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,home,5149,FK Crvena zvezda,939721,Milson,milson,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,33.0,19.0,19.0,6.0,0.0,16.0,23.0,3.0,10.0,,,1.0,8.0,,1.0,1.0,90.0,43.0,5.2,14.0,53.813160321122,7.0,-23.415,3.045,0.0116,"{'original': 5.2, 'alternative': 5.6}",0,0.01,0.03,-0.6,-0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,57.57575757575758,31.57894736842105,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,
14925744,away,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,False,41.0,34.0,6.0,4.0,0.0,18.0,20.0,16.0,21.0,,1.0,1.0,6.0,,,,90.0,59.0,6.2,12.0,119.6556241019,17.0,-45.78,7.455,,"{'original': 6.2, 'alternative': 6.6}",0,0.17,0.02,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,82.92682926829268,66.66666666666666,,,,4.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
14925744,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,44.0,39.0,8.0,6.0,0.0,29.0,31.0,10.0,13.0,,1.0,3.0,2.0,,,,66.0,51.0,6.2,5.0,134.56769349813,17.0,-58.17,4.515,,"{'original': 6.2, 'alternative': 6.5}",0,0.07,0.05,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,88.63636363636364,75.0,,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
14925744,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,58.0,48.0,9.0,4.0,0.0,35.0,37.0,13.0,21.0,3.0,4.0,3.0,10.0,,,,90.0,68.0,6.7,12.0,139.18721692736,23.0,-29.505,9.24,,"{'original': 6.7, 'alternative': 6.6}",1,0.15,0.04,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,82.75862068965517,44.44444444444444,,,,,,7.0,1.0,1.0,,1.0,,1.0,4.0,1.0,1.0,,,-0.03,,,1.0,1.0,,,,,,,,,1.0
14925744,away,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,D,6,False,27.0,24.0,2.0,1.0,0.0,16.0,18.0,8.0,9.0,1.0,4.0,1.0,1.0,1.0,,,90.0,39.0,7.1,4.0,74.113953899889,11.0,-4.62,5.04,,"{'original': 7.1, 'alternative': 6.9}",1,0.04,0.02,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,88.88888888888889,50.0,,100.0,,,,8.0,3.0,1.0,1.0,1.0,3.0,,3.0,,,,1.0,0.02,,,2.0,,1.0,1.0,,,,,,,
14925744,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,M,20,False,14.0,8.0,2.0,,0.0,1.0,2.0,7.0,12.0,1.0,2.0,1.0,1.0,,,,66.0,26.0,6.2,9.0,88.191669600303,10.0,-20.58,13.86,,"{'original': 6.2, 'alternative': 6.4}",2,0.11,0.37,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,57.14285714285714,,,,,,,5.0,,1.0,,1.0,,2.0,4.0,,1.0,,1.0,0.05,1.0,,,1.0,1.0,,,1.0,,,,,
14925744,away,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,50.0,37.0,8.0,2.0,0.0,22.0,25.0,15.0,25.0,2.0,8.0,2.0,8.0,,,,90.0,71.0,6.9,18.0,206.72840311576,17.0,-131.985,4.83,,"{'original': 6.9, 'alternative': 7}",2,0.28,0.17,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,6,5,74.0,25.0,,,,1.0,,6.0,3.0,1.0,,6.0,,,1.0,1.0,1.0,,1.0,-0.02,,,,5.0,2.0,1.0,,,,,,,
14925744,away,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,False,52.0,41.0,4.0,3.0,0.0,21.0,23.0,20.0,29.0,3.0,8.0,,5.0,1.0,,,90.0,72.0,7.0,16.0,184.68820574846,25.0,-81.165,8.715,,"{'original': 7, 'alternative': 7.4}",2,0.13,0.22,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,78.84615384615384,75.0,,66.66666666666666,,,,3.0,1.0,3.0,2.0,2.0,,2.0,1.0,,1.0,,,-0.07,1.0,,,1.0,3.0,,,,1.0,,,,
14925744,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,21.0,15.0,3.0,1.0,0.0,2.0,3.0,13.0,18.0,2.0,6.0,1.0,3.0,2.0,,,90.0,39.0,6.7,11.0,91.523900235052,11.0,-35.385,3.045,,"{'original': 6.7, 'alternative': 7.1}",4,-0.34,0.33,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,71.42857142857143,33.33333333333333,,100.0,,1.0,,5.0,1.0,2.0,2.0,,1.0,,,3.0,1.0,,,-0.29,3.0,,,,1.0,,,,,,,,
14925744,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,F,22,False,18.0,16.0,2.0,1.0,0.0,6.0,6.0,10.0,12.0,,3.0,,3.0,1.0,,,78.0,35.0,6.6,10.0,70.461722399219,11.0,-10.92,6.825,,"{'original': 6.6, 'alternative': 6.7}",2,0.1,0.01,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,88.88888888888889,50.0,20.0,,,5.0,1.0,2.0,,2.0,,2.0,,1.0,,,1.0,,,-0.02,1.0,,,1.0,2.0,,,1.0,,,,,
14925744,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,17.0,10.0,,,0.0,3.0,4.0,7.0,13.0,4.0,8.0,,1.0,3.0,,,66.0,30.0,6.6,11.0,24.544773847141,5.0,-9.345,3.045,,"{'original': 6.6, 'alternative': 6.9}",2,-0.24,0.06,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,4,3,58.82352941176471,,,,,,,5.0,,,,1.0,1.0,1.0,2.0,2.0,,,,-0.52,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,
14925744,away,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,F,19,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,1.0,,,1.0,,,24.0,6.0,6.9,1.0,13.938826342854,2.0,-11.445,-3.465,,"{'original': 6.9, 'alternative': 6.8}",0,-0.01,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,8.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,,1.0,,,,,,24.0,9.0,6.5,2.0,33.391818681035,4.0,3.36,6.93,,"{'original': 6.5, 'alternative': 6.6}",0,-0.05,-0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,75.0,100.0,,100.0,,,,3.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,13.0,11.0,1.0,1.0,0.0,5.0,6.0,6.0,7.0,,1.0,,1.0,,,,24.0,18.0,6.8,2.0,61.115860298189,5.0,-55.545,-0.63,,"{'original': 6.8, 'alternative': 6.8}",0,0.19,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,84.61538461538461,100.0,100.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,
14925744,away,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,1.0,1.0,,,0.0,,,1.0,1.0,,1.0,,,,,,12.0,4.0,6.6,1.0,,,,,,"{'original': 6.6, 'alternative': 6.7}",1,-0.05,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,1.0,,,,,,1.0,,,,,,,,-0.17,,,,1.0,,1.0,,,,,,,
14925744,away,232533,FK Čukarički,2334058,Veljko Zuric,veljko-zuric,M,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925744,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
