match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialWon,aerialLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,wonTackle,shotValueNormalized,accurateCross,dispossessed,bigChanceCreated,keyPass,onTargetScoringAttempt,goals,bigChanceMissed,outfielderBlock,penaltyWon,penaltyFaced,penaltyConceded,totalOffside
14015610,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,20.0,11.0,15.0,6.0,0.0,7.0,9.0,4.0,11.0,1.0,4.0,1.0,2.0,2.0,2.0,90.0,26.0,6.8,9.0,26.945084320458,3.0,8.9675459469752,0.0,0.0612,"{'original': 6.8, 'alternative': 7}",0,0.06,-0.09,0.16,0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,55.00000000000001,40.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,36.0,24.0,4.0,1.0,0.0,11.0,14.0,13.0,22.0,1.0,4.0,,,,,90.0,54.0,6.8,17.0,183.58272815534,15.0,72.7999937218,2.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.25,-0.08,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,66.66666666666666,25.0,,,,3.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,5.0,35.303414911654,70.162027287526,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1008297,Kornél Szűcs,kornel-szucs,D,26,False,32.0,23.0,4.0,,0.0,17.0,19.0,6.0,13.0,4.0,3.0,,,,,90.0,39.0,6.6,9.0,76.325630623157,11.0,-6.4119024505738,0.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.01,0.03,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,71.875,,,,,,3.0,1.0,,1.0,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,36.0,29.0,7.0,3.0,0.0,19.0,22.0,10.0,14.0,6.0,4.0,,,,,90.0,46.0,7.0,7.0,65.0457013015,9.0,28.990958309984,0.0,,"{'original': 7, 'alternative': 6.9}",0,0.19,0.07,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,80.55555555555556,42.857142857142854,,,,,3.0,3.0,,,2.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,False,28.0,20.0,8.0,3.0,0.0,8.0,8.0,12.0,20.0,2.0,4.0,,,,,90.0,57.0,7.1,14.0,78.593835015269,9.0,15.783689858451,0.0,,"{'original': 7.1, 'alternative': 7.2}",2,0.1,0.0,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,5,6,71.42857142857143,37.5,,50.0,,1.0,6.0,9.0,1.0,3.0,4.0,1.0,1.0,4.0,,,4.0,,2.0,1.0,1.0,1.0,2.0,-0.06,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,29.0,22.0,6.0,1.0,0.0,12.0,14.0,10.0,15.0,,8.0,,,,,89.0,50.0,6.4,16.0,121.20646188048,14.0,21.935726965836,2.0,,"{'original': 6.4, 'alternative': 6.8}",2,0.15,0.21,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,75.86206896551724,16.666666666666664,,,,5.0,5.0,2.0,2.0,4.0,2.0,3.0,,1.0,21.772919125783,34.568448809681,,1.0,1.0,,1.0,1.0,1.0,-0.19,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,False,9.0,9.0,,,0.0,4.0,4.0,5.0,5.0,1.0,2.0,,,,,32.0,16.0,6.7,3.0,16.313682074396,3.0,0.69031989558722,0.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.02,-0.23,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,16.0,11.0,1.0,,0.0,1.0,2.0,10.0,14.0,,2.0,,,,,86.0,33.0,6.5,16.0,155.98521921507,12.0,75.708930380897,4.0,,"{'original': 6.5, 'alternative': 6.4}",1,0.16,0.38,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,68.75,,16.666666666666664,,,6.0,8.0,1.0,1.0,,,2.0,1.0,1.0,22.971789569057,104.90592852948,,2.0,1.0,,,1.0,,-0.04,1.0,3.0,1.0,2.0,,,,,,,,
14015610,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,False,19.0,15.0,4.0,2.0,0.0,6.0,6.0,9.0,13.0,,4.0,,,,,90.0,39.0,7.9,9.0,111.9325997058,12.0,63.200085219922,3.0,,"{'original': 7.9, 'alternative': 7.7}",4,0.18,0.34,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,7,1,78.94736842105263,50.0,50.0,50.0,,2.0,2.0,7.0,,,3.0,2.0,3.0,,19.912549948844,52.66491000657,,1.0,2.0,1.0,2.0,,1.0,0.29,1.0,,,1.0,2.0,1.0,,,,,,
14015610,home,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,14.0,9.0,,,0.0,1.0,3.0,8.0,11.0,1.0,2.0,,,,,90.0,35.0,6.5,14.0,89.891832486039,10.0,50.210698293462,2.0,,"{'original': 6.5, 'alternative': 7.1}",3,-0.12,0.14,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,5,4,64.28571428571429,,,33.33333333333333,,1.0,6.0,6.0,,1.0,4.0,5.0,,2.0,20.585768426009,37.440478543021,1.0,2.0,3.0,1.0,2.0,,3.0,-0.57,,,,,1.0,,1.0,,,,,
