match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,keyPass,dribbleValueNormalized,outfielderBlock,dispossessed,totalContest,wonContest,onTargetScoringAttempt,shotValueNormalized,shotOffTarget,errorLeadToAGoal,totalCross,blockedScoringAttempt,goals,accurateCross,errorLeadToAShot,bigChanceMissed,bigChanceCreated,totalOffside,hitWoodwork
14015400,home,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,22.0,6.0,18.0,2.0,0.0,5.0,6.0,1.0,16.0,1.0,2.0,1.0,2.0,3.0,7.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,90.0,37.0,6.4,16.0,0.1824,"{'original': 6.4, 'alternative': 7.2}",0,-0.01,-0.33,-0.72,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,27.27272727272727,11.11111111111111,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015400,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,30.0,24.0,5.0,2.0,0.0,14.0,15.0,10.0,15.0,2.0,3.0,5.0,5.0,4.0,2.0,,,,,,,,90.0,46.0,5.9,7.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.14,-0.65,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,80.0,40.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,
14015400,home,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,38.0,33.0,5.0,2.0,0.0,30.0,31.0,3.0,7.0,1.0,2.0,1.0,5.0,4.0,8.0,,,,,,,,90.0,48.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.05,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,3,0,86.8421052631579,40.0,,,,,,2.0,2.0,1.0,,1.0,,,0.05,1.0,,,,,,,,,,,,,,,,
14015400,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,35.0,25.0,5.0,,0.0,15.0,20.0,10.0,15.0,,1.0,3.0,2.0,2.0,3.0,,,,,,,,90.0,42.0,5.8,11.0,,"{'original': 5.8, 'alternative': 5.9}",0,0.01,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,71.42857142857143,,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,0.17,,,,,,,,,,,,,,,,,
14015400,home,34060,FK Spartak Subotica,1029785,Vladimir Prijović,vladimir-prijovic,D,26,False,32.0,23.0,5.0,2.0,1.0,8.0,11.0,15.0,21.0,,1.0,7.0,5.0,2.0,2.0,,,,,,,,90.0,61.0,6.3,17.0,,"{'original': 6.3, 'alternative': 6.6}",1,0.31,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,4,7,71.875,40.0,,25.0,,1.0,1.0,3.0,3.0,1.0,,,1.0,1.0,0.24,1.0,2.0,4.0,1.0,1.0,-0.35,,,,,,,,,,,
14015400,home,58689,FK Spartak Subotica,1101437,Kayque,kayque,M,2,False,27.0,25.0,2.0,2.0,0.0,12.0,13.0,13.0,14.0,1.0,1.0,5.0,5.0,1.0,5.0,,,,,,,,90.0,47.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.24,-0.6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,92.5925925925926,100.0,,50.0,,2.0,2.0,,,6.0,,3.0,1.0,1.0,0.22,,,2.0,1.0,,-0.07,1.0,1.0,,,,,,,,,
14015400,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,False,15.0,10.0,1.0,,0.0,7.0,9.0,3.0,6.0,2.0,1.0,4.0,4.0,1.0,4.0,,,,,,,,45.0,25.0,6.9,6.0,,"{'original': 6.9, 'alternative': 7.1}",1,-0.07,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,66.66666666666666,,,,,,1.0,2.0,2.0,1.0,,1.0,2.0,,0.02,2.0,,,,,-0.09,1.0,,,,,,,,,,
14015400,home,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,M,22,False,6.0,3.0,,,0.0,1.0,1.0,2.0,5.0,,1.0,2.0,3.0,,1.0,,,,,,,,45.0,14.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,50.0,,,50.0,,1.0,1.0,1.0,1.0,1.0,,,,,0.06,,,2.0,1.0,,,,,,,,,,,,,
14015400,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,34.0,24.0,2.0,,0.0,7.0,8.0,17.0,26.0,1.0,,4.0,6.0,,4.0,,,,,,,,80.0,50.0,6.7,18.0,,"{'original': 6.7, 'alternative': 6.8}",1,-0.01,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,70.58823529411765,,,,,1.0,,1.0,,5.0,,5.0,,,0.14,,,2.0,,,0.0,1.0,,1.0,,,,,,,,
14015400,home,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,M,20,False,11.0,9.0,1.0,,0.0,2.0,3.0,7.0,8.0,4.0,,7.0,1.0,,2.0,,,,,,,,58.0,19.0,6.0,6.0,,"{'original': 6, 'alternative': 6.3}",2,0.09,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,81.81818181818183,,,,,1.0,,,,3.0,,1.0,3.0,3.0,0.08,,1.0,,,1.0,-0.22,,,,1.0,,,,,,,
