player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Uroš Nikolić', 'slug': 'uros-nikolic', 'shortName': 'U. Nikolić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 34, 'gender': 'M', 'id': 194450, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش نيكوليتش'}, 'shortNameTranslation': {'ar': 'أ. نيكوليتش'}}}",False,goal,regular,assisted,"{'x': 3.6, 'y': 65, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.2, 'z': 6.3}",5319643,90,3.0,5556,"{'start': {'x': 65, 'y': 3.6}, 'end': {'x': 50.8, 'y': 0}, 'goal': {'x': 50.8, 'y': 93.7}}",1,744,156,shot,
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",False,goal,regular,assisted,"{'x': 5.8, 'y': 53.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.9, 'z': 17.1}",5319632,89,,5289,"{'start': {'x': 53.6, 'y': 5.8}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 82.9}}",2,111,2589,shot,
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,save,,assisted,"{'x': 24.1, 'y': 48.3, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 9.5}",5319628,87,,5213,"{'start': {'x': 48.3, 'y': 24.1}, 'block': {'x': 49.6, 'y': 4}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 90.5}}",4,187,2513,shot,"{'x': 4, 'y': 49.6, 'z': 0}"
"{'name': 'Yusuf Bamidele', 'slug': 'yusuf-bamidele', 'shortName': 'B. I. Yusuf', 'position': 'F', 'jerseyNumber': '11', 'userCount': 573, 'gender': 'M', 'id': 1020116, 'fieldTranslations': {'nameTranslation': {'ar': 'يوسف باميديل'}, 'shortNameTranslation': {'ar': 'ي. باميديل'}}}",False,miss,,assisted,"{'x': 22.5, 'y': 44.6, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 67.1, 'z': 91.7}",5319618,82,,4916,"{'start': {'x': 44.6, 'y': 22.5}, 'end': {'x': 32.9, 'y': 0}, 'goal': {'x': 32.9, 'y': 8.3}}",9,484,2216,shot,
"{'name': 'Luka Bijelović', 'firstName': '', 'lastName': '', 'slug': 'luka-bijelovic', 'shortName': 'L. Bijelović', 'position': 'F', 'jerseyNumber': '28', 'userCount': 48, 'gender': 'M', 'id': 944503, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا بييلوفيتش', 'bn': 'লুকা বিজেলোভিচ', 'hi': 'लुका बिजेलोविक'}, 'shortNameTranslation': {'ar': 'ل. بييلوفيتش', 'bn': 'এল. বিজেলোভিচ', 'hi': 'एल. बिजेलोविक'}}}",True,save,,assisted,"{'x': 20.6, 'y': 33.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 3.2}",5319609,81,,4815,"{'start': {'x': 33.3, 'y': 20.6}, 'block': {'x': 48.2, 'y': 2.3}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 96.8}}",10,585,2115,shot,"{'x': 2.3, 'y': 48.2, 'z': 0}"
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",False,block,,assisted,"{'x': 9.5, 'y': 53, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.7, 'z': 19}",5319600,79,,4709,"{'start': {'x': 53, 'y': 9.5}, 'block': {'x': 51.4, 'y': 5.5}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 81}}",12,691,2009,shot,"{'x': 5.5, 'y': 51.4, 'z': 0}"
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,post,,assisted,"{'x': 9.7, 'y': 44, 'z': 0}",right-foot,right,"{'x': 0, 'y': 44.6, 'z': 12}",5319598,77,,4575,"{'start': {'x': 44, 'y': 9.7}, 'end': {'x': 55.4, 'y': 0}, 'goal': {'x': 55.4, 'y': 88}}",14,825,1875,shot,
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",False,block,,assisted,"{'x': 9.1, 'y': 52.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 19}",5319527,73,,4367,"{'start': {'x': 52.3, 'y': 9.1}, 'block': {'x': 51.8, 'y': 6.4}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 81}}",18,1033,1667,shot,"{'x': 6.4, 'y': 51.8, 'z': 0}"
"{'name': 'Uroš Nikolić', 'slug': 'uros-nikolic', 'shortName': 'U. Nikolić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 34, 'gender': 'M', 'id': 194450, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش نيكوليتش'}, 'shortNameTranslation': {'ar': 'أ. نيكوليتش'}}}",False,miss,,regular,"{'x': 15, 'y': 54.8, 'z': 0}",right-foot,high,"{'x': 0, 'y': 51.8, 'z': 97.2}",5319525,72,,4287,"{'start': {'x': 54.8, 'y': 15}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 2.8}}",19,1113,1587,shot,
"{'name': 'Dario Pavković', 'firstName': 'Dario Pavkovic', 'lastName': '', 'slug': 'dario-pavkovic', 'shortName': 'D. Pavković', 'position': 'F', 'jerseyNumber': '90', 'userCount': 33, 'gender': 'M', 'id': 1186164, 'fieldTranslations': {'nameTranslation': {'ar': 'داريو بافكوفيتش'}, 'shortNameTranslation': {'ar': 'د. بافكوفيتش'}}}",True,block,,free-kick,"{'x': 18.7, 'y': 70.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.3, 'z': 19}",5319522,71,,4216,"{'start': {'x': 70.7, 'y': 18.7}, 'block': {'x': 64.4, 'y': 12.5}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 81}}",20,1184,1516,shot,"{'x': 12.5, 'y': 64.4, 'z': 0}"
