match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bigChanceMissed,shotOffTarget,hitWoodwork,outfielderBlock,shotValueNormalized,accurateCross,keyPass,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,goals,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,ownGoals,errorLeadToAShot,totalOffside
14015493,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,25.0,12.0,21.0,9.0,0.0,10.0,14.0,2.0,11.0,1.0,5.0,3.0,4.0,1.0,90.0,32.0,7.7,13.0,0.7614,"{'original': 7.7, 'alternative': 7}",0,0.03,0.01,-0.08,0.47,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,48.0,42.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,False,28.0,18.0,2.0,,0.0,7.0,9.0,11.0,19.0,5.0,2.0,,,,90.0,53.0,6.5,14.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.08,0.16,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,5,3,64.28571428571429,,,100.0,,1.0,3.0,2.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,31.0,22.0,10.0,4.0,0.0,14.0,19.0,8.0,12.0,6.0,5.0,,,,90.0,44.0,6.7,9.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.07,0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,70.96774193548387,40.0,,,,,1.0,1.0,4.0,3.0,1.0,,,,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,-0.18,,,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,23.0,17.0,5.0,,0.0,17.0,22.0,,1.0,8.0,3.0,,,,90.0,34.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.7}",0,-0.04,0.01,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,73.91304347826086,,,,,,,,1.0,2.0,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,20.0,13.0,4.0,1.0,0.0,11.0,13.0,2.0,7.0,8.0,,,,,90.0,35.0,6.1,7.0,,"{'original': 6.1, 'alternative': 6.7}",0,0.0,-0.05,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,0,2,65.0,25.0,,,,,4.0,1.0,6.0,1.0,,,,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,24.0,15.0,10.0,4.0,0.0,11.0,14.0,4.0,10.0,,5.0,,,,88.0,33.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.2,0.03,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,62.5,40.0,100.0,,,1.0,1.0,,2.0,2.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,28.0,21.0,2.0,,0.0,12.0,15.0,9.0,13.0,,3.0,,,,90.0,41.0,6.7,10.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.1,0.35,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,5,4,75.0,,,50.0,,,5.0,1.0,9.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,-0.52,,2.0,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,35.0,23.0,6.0,3.0,0.0,9.0,15.0,14.0,20.0,3.0,3.0,,,,90.0,51.0,6.9,14.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.03,0.16,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,65.71428571428571,50.0,,100.0,,,,2.0,6.0,9.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,,2.0,3.0,,,,1.0,,,2.0,,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,17.0,12.0,3.0,,0.0,7.0,8.0,5.0,9.0,1.0,3.0,,,,76.0,33.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.6}",1,-0.06,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,5,3,70.58823529411765,,,,,,2.0,2.0,5.0,7.0,,,2.0,,1.0,2.0,2.0,2.0,3.0,1.0,,,,,-0.05,,,1.0,,,,,,,,,,
14015493,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,19.0,11.0,1.0,1.0,0.0,5.0,6.0,6.0,13.0,,4.0,,,,83.0,32.0,7.6,9.0,,"{'original': 7.6, 'alternative': 8.1}",3,0.0,0.32,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,7,1,57.89473684210527,100.0,,100.0,,,2.0,3.0,3.0,10.0,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,,,2.0,,,0.28,,2.0,,1.0,1.0,1.0,,,,,,,
