player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,addedTime
"{'name': 'Nikola Marinković', 'slug': 'nikola-marinkovic', 'shortName': 'N. Marinković', 'position': 'M', 'jerseyNumber': '4', 'userCount': 22, 'gender': 'M', 'id': 1109778, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا مارينكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. مارينكوفيتش'}}}",False,block,assisted,"{'x': 30.3, 'y': 42.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 19}","{'x': 23.4, 'y': 44.4, 'z': 0}",5364849,90,5392,"{'start': {'x': 42.7, 'y': 30.3}, 'block': {'x': 44.4, 'y': 23.4}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 81}}",1,8,2692,shot,
"{'name': 'Nebojša Bastajić', 'firstName': '', 'lastName': '', 'slug': 'nebojsa-bastajic', 'shortName': 'N. Bastajić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 31, 'gender': 'M', 'id': 267473, 'fieldTranslations': {'nameTranslation': {'ar': 'نيبويشا باستاجيتش'}, 'shortNameTranslation': {'ar': 'ن. باستاجيتش'}}}",False,miss,assisted,"{'x': 13.9, 'y': 32.9, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 41.2, 'z': 76.4}",,5364681,78,4662,"{'start': {'x': 32.9, 'y': 13.9}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 23.6}}",13,738,1962,shot,
"{'name': 'Nikola Đuričić', 'firstName': '', 'lastName': '', 'slug': 'nikola-duricic', 'shortName': 'N. Đuričić', 'position': 'D', 'jerseyNumber': '33', 'userCount': 19, 'gender': 'M', 'id': 1466631, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا جوريتشيتش'}, 'shortNameTranslation': {'ar': 'ن. جوريتشيتش'}}}",True,miss,corner,"{'x': 2, 'y': 41.5, 'z': 0}",head,close-left,"{'x': 0, 'y': 57, 'z': 20.8}",,5364563,74,4431,"{'start': {'x': 41.5, 'y': 2}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 79.2}}",17,969,1731,shot,
"{'name': 'Sava Petrov', 'slug': 'sava-petrov', 'shortName': 'S. Petrov', 'position': 'F', 'jerseyNumber': '9', 'userCount': 75, 'gender': 'M', 'id': 869693, 'fieldTranslations': {'nameTranslation': {'ar': 'سافا بتروف'}, 'shortNameTranslation': {'ar': 'س. بتروف'}}}",True,miss,assisted,"{'x': 10.5, 'y': 70.1, 'z': 0}",right-foot,left,"{'x': 0, 'y': 59.7, 'z': 6.9}",,5364490,64,3799,"{'start': {'x': 70.1, 'y': 10.5}, 'end': {'x': 40.3, 'y': 0}, 'goal': {'x': 40.3, 'y': 93.1}}",27,1601,1099,shot,
"{'name': 'Branislav Knežević', 'firstName': '', 'lastName': '', 'slug': 'branislav-knezevic', 'shortName': 'B. Knežević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 42, 'gender': 'M', 'id': 1007254, 'fieldTranslations': {'nameTranslation': {'ar': 'برانيسلاف كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ب. كنيزيفيتش'}}}",True,save,assisted,"{'x': 30.5, 'y': 59.1, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.4, 'z': 6.3}","{'x': 0.90000000000001, 'y': 50.9, 'z': 0}",5364486,62,3701,"{'start': {'x': 59.1, 'y': 30.5}, 'block': {'x': 50.9, 'y': 0.90000000000001}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 93.7}}",29,1699,1001,shot,
"{'name': 'Mateja Bubanj', 'firstName': '', 'lastName': '', 'slug': 'mateja-bubanj', 'shortName': 'M. Bubanj', 'position': 'F', 'jerseyNumber': '9', 'userCount': 74, 'gender': 'M', 'id': 1153959, 'fieldTranslations': {'nameTranslation': {'ar': 'سكوبرين ب ر / فالي ف'}, 'shortNameTranslation': {'ar': 'س. ف'}}}",False,miss,assisted,"{'x': 7.3, 'y': 42.1, 'z': 0}",head,right,"{'x': 0, 'y': 32.6, 'z': 11.1}",,5364439,52,3101,"{'start': {'x': 42.1, 'y': 7.3}, 'end': {'x': 67.4, 'y': 0}, 'goal': {'x': 67.4, 'y': 88.9}}",39,2299,401,shot,
"{'name': 'Đorđe Glavinić', 'slug': 'dorde-glavinic', 'shortName': 'Đ. Glavinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 1479042, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي غلافينيش'}, 'shortNameTranslation': {'ar': 'د. غلافينيش'}}}",True,miss,assisted,"{'x': 11.6, 'y': 45.8, 'z': 0}",head,right,"{'x': 0, 'y': 2, 'z': 29.2}","{'x': 8.1, 'y': 77.1, 'z': 0}",5364435,51,3013,"{'start': {'x': 45.8, 'y': 11.6}, 'block': {'x': 77.1, 'y': 8.1}, 'end': {'x': 98, 'y': 0}, 'goal': {'x': 98, 'y': 70.8}}",40,2387,313,shot,
"{'name': 'Nikola Jovanović', 'firstName': 'Nikola Jovanovic', 'lastName': '', 'slug': 'nikola-jovanovic', 'shortName': 'N. Jovanović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 23, 'gender': 'M', 'id': 1166015, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا يوفانوفيتش'}, 'shortNameTranslation': {'ar': 'ن. يوفانوفيتش'}}}",True,save,regular,"{'x': 18.9, 'y': 29.5, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 48.7, 'z': 29.7}","{'x': 1.9, 'y': 46.4, 'z': 0}",5364237,45,2811,"{'start': {'x': 29.5, 'y': 18.9}, 'block': {'x': 46.4, 'y': 1.9}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 70.3}}",1,2589,111,shot,2.0
"{'name': 'Nikola Đuričić', 'firstName': '', 'lastName': '', 'slug': 'nikola-duricic', 'shortName': 'N. Đuričić', 'position': 'D', 'jerseyNumber': '33', 'userCount': 19, 'gender': 'M', 'id': 1466631, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا جوريتشيتش'}, 'shortNameTranslation': {'ar': 'ن. جوريتشيتش'}}}",True,save,assisted,"{'x': 24.3, 'y': 26.8, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 49.9, 'z': 28.5}","{'x': 1.5, 'y': 48, 'z': 0}",5364235,45,2703,"{'start': {'x': 26.8, 'y': 24.3}, 'block': {'x': 48, 'y': 1.5}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 71.5}}",1,2697,3,shot,1.0
"{'name': 'Đorđe Glavinić', 'slug': 'dorde-glavinic', 'shortName': 'Đ. Glavinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 1479042, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي غلافينيش'}, 'shortNameTranslation': {'ar': 'د. غلافينيش'}}}",True,miss,regular,"{'x': 13.3, 'y': 56.8, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.7, 'z': 15.3}","{'x': 5.5, 'y': 50.5, 'z': 0}",5364328,43,2569,"{'start': {'x': 56.8, 'y': 13.3}, 'block': {'x': 50.5, 'y': 5.5}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 84.7}}",3,131,2569,shot,
