match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,interceptionWon,unsuccessfulTouch,fouls,aerialWon,duelWon,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,wasFouled,shotValueNormalized,totalCross,accurateCross,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,hitWoodwork,outfielderBlock,keyPass,penaltyConceded,goals,bigChanceMissed,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot,penaltyWon
14015397,home,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,20.0,15.0,7.0,2.0,0.0,14.0,17.0,1.0,3.0,5.0,1.0,1.0,2.0,90.0,26.0,6.8,5.0,0.973,"{'original': 6.8, 'alternative': 6.1}",0,0.01,-0.01,-0.3,0.69,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,28.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,D,16,False,19.0,16.0,1.0,,0.0,13.0,14.0,3.0,5.0,,,,,45.0,24.0,5.6,4.0,,"{'original': 5.6, 'alternative': 5.9}",0,-0.02,0.0,-0.61,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,84.21052631578947,,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,53.0,40.0,10.0,4.0,0.0,28.0,31.0,12.0,22.0,8.0,,,,90.0,64.0,6.5,13.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.23,0.17,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,12,3,2,1,75.47169811320755,40.0,,,,4.0,5.0,,,,1.0,8.0,10.0,1.0,5.0,1.0,1.0,1.0,-0.31,,,,,,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,1894508,Siniša Popović,sinisa-popovic,D,15,False,21.0,20.0,,,0.0,13.0,13.0,7.0,8.0,1.0,,,,45.0,29.0,6.1,1.0,,"{'original': 6.1, 'alternative': 6.3}",0,0.1,0.04,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,95.23809523809523,,,,,1.0,2.0,1.0,1.0,,,,1.0,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,39.0,31.0,9.0,6.0,0.0,12.0,16.0,19.0,23.0,5.0,,,,90.0,63.0,6.9,15.0,,"{'original': 6.9, 'alternative': 6.8}",4,0.62,0.29,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,79.48717948717949,66.66666666666666,50.0,25.0,,3.0,9.0,,,1.0,2.0,1.0,2.0,1.0,,,,,-0.2,4.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,
14015397,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,42.0,35.0,2.0,,0.0,15.0,17.0,20.0,25.0,4.0,,,,90.0,59.0,6.1,16.0,,"{'original': 6.1, 'alternative': 6.8}",1,0.03,0.11,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,83.33333333333334,,25.0,,,4.0,7.0,2.0,2.0,1.0,1.0,1.0,3.0,,,2.0,2.0,,-0.08,8.0,2.0,,,,,,1.0,,,3.0,,,,,,,,,
14015397,home,241802,FK IMT Beograd,942359,Željko Arsić,arsic-zeljko,M,45,False,25.0,16.0,2.0,1.0,0.0,6.0,9.0,10.0,16.0,2.0,,,,90.0,48.0,6.6,15.0,,"{'original': 6.6, 'alternative': 6.7}",3,-0.01,0.53,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,13,5,64.0,50.0,,100.0,,1.0,6.0,,1.0,2.0,2.0,1.0,14.0,2.0,,1.0,,6.0,-0.46,1.0,,3.0,6.0,6.0,,1.0,,,,1.0,1.0,,,,,,,,
14015397,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,37.0,29.0,2.0,1.0,0.0,9.0,10.0,20.0,27.0,4.0,,,,78.0,60.0,7.7,15.0,,"{'original': 7.7, 'alternative': 8.2}",3,0.25,0.17,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,7,2,78.37837837837837,50.0,,100.0,,2.0,4.0,2.0,1.0,3.0,,3.0,10.0,,1.0,4.0,2.0,2.0,0.36,3.0,,,1.0,1.0,,2.0,1.0,,,4.0,,1.0,,,,,,,
14015397,home,241802,FK IMT Beograd,885781,Tomislav Todorović,tomislav-todorovic,M,6,False,16.0,10.0,2.0,1.0,0.0,5.0,6.0,5.0,10.0,1.0,,,,72.0,23.0,5.8,9.0,,"{'original': 5.8, 'alternative': 6.4}",2,-0.31,0.03,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,62.5,50.0,,,,3.0,5.0,,,2.0,1.0,,1.0,,,,,1.0,-0.21,,,1.0,,,,2.0,,1.0,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,26.0,19.0,3.0,2.0,0.0,10.0,10.0,9.0,16.0,2.0,,,,90.0,45.0,6.4,13.0,,"{'original': 6.4, 'alternative': 6.8}",9,-0.03,0.4,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,73.07692307692307,66.66666666666666,50.0,,,,3.0,,,2.0,,,1.0,4.0,,,,1.0,-0.53,2.0,1.0,2.0,1.0,,,3.0,2.0,,,2.0,,,1.0,1.0,,,,,
