match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,interceptionWon,unsuccessfulTouch,fouls,aerialWon,duelWon,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,wasFouled,shotValueNormalized,totalCross,accurateCross,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,hitWoodwork,outfielderBlock,keyPass,penaltyConceded,goals,bigChanceMissed,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot,penaltyWon
14015397,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,False,9.0,7.0,,,0.0,4.0,5.0,3.0,4.0,,,,,45.0,16.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.4}",0,-0.03,0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,77.77777777777779,,,,,2.0,3.0,,,3.0,,1.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
14015397,home,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,True,9.0,5.0,,,0.0,1.0,1.0,4.0,8.0,1.0,,,,45.0,15.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.13,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,55.55555555555556,,,,,,1.0,,,,,1.0,3.0,1.0,,,,2.0,-0.07,,,1.0,,,,,,,,2.0,,,,1.0,,,,,
14015397,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,21.0,16.0,3.0,,0.0,9.0,10.0,7.0,11.0,2.0,,,,45.0,38.0,6.8,9.0,,"{'original': 6.8, 'alternative': 6.5}",0,-0.02,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,76.19047619047619,,,50.0,,1.0,4.0,1.0,,,1.0,1.0,5.0,,,2.0,1.0,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,26.0,23.0,,,0.0,12.0,14.0,11.0,12.0,6.0,,,,45.0,32.0,6.9,3.0,,"{'original': 6.9, 'alternative': 6.8}",1,0.14,0.02,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,88.46153846153845,,,,,1.0,1.0,,1.0,,,2.0,3.0,1.0,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,1837599,Luka Krstović,luka-krstovic,M,23,True,11.0,8.0,2.0,,0.0,3.0,4.0,5.0,7.0,2.0,,,,18.0,14.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.02,0.07,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,72.72727272727273,,,,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,-0.5,,,,,,,1.0,,,,,,,1.0,,,,,,
14015397,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,4.0,2.0,,,0.0,,1.0,2.0,3.0,,,,,12.0,8.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.08,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,50.0,,,,,,1.0,,,,,,2.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
14015397,home,241802,FK IMT Beograd,55005,Vladan Milosavljev,vladan-milosavljev,F,40,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,241802,FK IMT Beograd,137698,Filip Malbašić,filip-malbasic,F,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,229348,FK IMT Beograd,1516066,Irfan Zulfić,irfan-zulfic,M,80,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,33.0,13.0,28.0,8.0,0.0,5.0,6.0,8.0,27.0,6.0,2.0,,4.0,90.0,39.0,7.0,20.0,0.2883,"{'original': 7, 'alternative': 7.1}",0,0.05,-0.04,-0.09,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,39.39393939393939,28.57142857142857,,,100.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
14015397,away,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,False,42.0,38.0,5.0,4.0,0.0,23.0,24.0,15.0,18.0,5.0,,,,90.0,72.0,7.4,12.0,,"{'original': 7.4, 'alternative': 7.3}",0,0.34,0.01,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,90.47619047619048,80.0,20.0,,,,,,,,,1.0,3.0,,8.0,2.0,,,,5.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,
14015397,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,37.0,34.0,3.0,1.0,0.0,24.0,25.0,10.0,12.0,3.0,,,,90.0,51.0,7.0,4.0,,"{'original': 7, 'alternative': 7}",0,0.13,0.04,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,91.8918918918919,33.33333333333333,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,8.0,,,,,,,,,,,,,,2.0,,,,,,,,,,
14015397,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,24.0,18.0,6.0,2.0,0.0,11.0,12.0,7.0,12.0,3.0,,,,90.0,32.0,6.1,7.0,,"{'original': 6.1, 'alternative': 6.2}",1,0.09,0.01,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,75.0,33.33333333333333,,,,1.0,3.0,,2.0,1.0,2.0,2.0,2.0,,4.0,,,,0.12,,,,,,,,1.0,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,26.0,18.0,3.0,1.0,0.0,6.0,11.0,12.0,15.0,1.0,,,,90.0,56.0,6.9,12.0,,"{'original': 6.9, 'alternative': 7.3}",2,-0.06,0.01,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,5,7,69.23076923076923,33.33333333333333,,,,1.0,8.0,3.0,1.0,2.0,4.0,1.0,6.0,,4.0,4.0,,1.0,0.3,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,
14015397,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,42.0,39.0,6.0,5.0,0.0,17.0,18.0,22.0,24.0,4.0,,,,90.0,55.0,7.2,6.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.21,0.22,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,5,5,92.85714285714286,83.33333333333334,,,,2.0,7.0,3.0,1.0,2.0,1.0,3.0,8.0,,,5.0,1.0,,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,
14015397,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,39.0,32.0,2.0,,0.0,16.0,18.0,16.0,21.0,5.0,,,,86.0,50.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7.3}",1,0.37,-0.5,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,82.05128205128204,,50.0,100.0,,2.0,8.0,1.0,,,3.0,2.0,3.0,,3.0,,,,0.32,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,
14015397,away,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,False,11.0,9.0,,,0.0,3.0,3.0,6.0,8.0,4.0,,,,54.0,24.0,6.8,5.0,,"{'original': 6.8, 'alternative': 7}",1,-0.03,0.1,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,6,2,81.81818181818183,,,50.0,,1.0,3.0,,1.0,2.0,1.0,2.0,8.0,,,2.0,1.0,3.0,-0.31,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,1.0,
14015397,away,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,22.0,20.0,2.0,2.0,0.0,7.0,8.0,13.0,14.0,4.0,,,,76.0,33.0,6.8,9.0,,"{'original': 6.8, 'alternative': 6.6}",2,-0.2,0.42,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,90.9090909090909,100.0,,33.33333333333333,,,2.0,,,1.0,,,1.0,,1.0,,,,0.11,2.0,,,3.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,
14015397,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,20.0,14.0,,,0.0,5.0,5.0,9.0,15.0,3.0,,,,86.0,38.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7.6}",1,-0.07,0.24,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,7,6,70.0,,,75.0,,,6.0,2.0,,2.0,4.0,1.0,8.0,,,,,4.0,-0.12,,,1.0,4.0,3.0,,1.0,,,2.0,2.0,,,,1.0,,,,,1.0
14015397,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,21.0,15.0,1.0,1.0,0.0,3.0,5.0,12.0,16.0,,,,,86.0,36.0,7.8,10.0,,"{'original': 7.8, 'alternative': 7.7}",2,-0.01,0.02,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,15,7,4,3,71.42857142857143,100.0,,100.0,,9.0,12.0,,,3.0,2.0,6.0,10.0,,1.0,1.0,1.0,2.0,0.57,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,3.0,,,,,
14015397,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,14.0,11.0,,,0.0,3.0,3.0,8.0,11.0,2.0,,,,36.0,24.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.3}",2,-0.09,0.33,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,78.57142857142857,,,,,2.0,5.0,,1.0,2.0,1.0,3.0,4.0,1.0,,1.0,,,-0.54,,,,2.0,,,1.0,,,1.0,,,,,,,,,,
14015397,away,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,5.0,3.0,1.0,,0.0,3.0,3.0,,2.0,,,,,14.0,6.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.13,0.0,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,60.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,4.0,3.0,1.0,1.0,0.0,,,3.0,4.0,,,,,10.0,4.0,6.8,1.0,,"{'original': 6.8, 'alternative': 7}",0,0.02,0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,75.0,100.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14015397,away,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,10.0,2.0,6.7,,,"{'original': 6.7, 'alternative': 6.6}",0,0.03,-0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,10.0,2.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.01,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,1104503,Vuk Bogdanović,vuk-bogdanovic,D,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,7771,FK Čukarički,837894,Nemanja Milojević,nemanja-milojevic,M,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,1865408,Mateja Prokopijević,mateja-prokopijevic,M,87,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015397,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
