match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget
14147341,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,29.0,23.0,15.0,10.0,0.0,16.0,16.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,90.0,33.0,7.7,8.0,0.0,0.0,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,79.3103448275862,66.66666666666666,,,0.0,,,,
14147341,home,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,False,58.0,44.0,5.0,1.0,0.0,8.0,9.0,34.0,47.0,7.0,4.0,1.0,2.0,7.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,,,,,,,90.0,79.0,7.7,21.0,0.0,0.0,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,10,6,75.86206896551724,20.0,57.14285714285714,100.0,,,,,
14147341,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,74.0,67.0,9.0,6.0,0.0,42.0,44.0,25.0,28.0,0.0,0.0,2.0,3.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,19.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,,,,,,,90.0,89.0,7.3,11.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,2,9,90.54054054054053,66.66666666666666,,,,,,,
14147341,home,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,64.0,56.0,7.0,4.0,0.0,35.0,40.0,18.0,21.0,0.0,0.0,1.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,16.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,67.0,7.1,11.0,0.0,0.17,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,3,5,87.5,57.14285714285714,,,,1.0,,,
14147341,home,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,False,33.0,27.0,0.0,0.0,0.0,16.0,18.0,11.0,15.0,2.0,0.0,1.0,0.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,68.0,49.0,6.2,11.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,81.81818181818183,,0.0,50.0,,,3.0,,
14147341,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,25.0,18.0,2.0,0.0,0.0,9.0,10.0,8.0,13.0,0.0,0.0,4.0,2.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,90.0,39.0,6.3,9.0,0.12,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,3,10,72.0,0.0,,,,,3.0,1.0,
14147341,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,65.0,60.0,3.0,2.0,0.0,32.0,34.0,27.0,28.0,0.0,0.0,3.0,0.0,22.0,8.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,89.0,6.6,14.0,0.02,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",30,3,27,8,19,92.3076923076923,66.66666666666666,,50.0,,,3.0,,
14147341,home,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,False,27.0,19.0,0.0,0.0,0.0,7.0,9.0,12.0,17.0,5.0,2.0,1.0,1.0,8.0,8.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,42.0,7.2,15.0,0.17,0.01,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,7,7,70.37037037037037,,40.0,66.66666666666666,,1.0,,,
14147341,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,28.0,23.0,3.0,1.0,0.0,7.0,8.0,15.0,18.0,1.0,1.0,0.0,1.0,11.0,8.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,76.0,48.0,6.8,11.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,7,11,82.14285714285714,33.33333333333333,100.0,66.66666666666666,,,2.0,,
14147341,home,6219,FK Jedinstvo Bijelo Polje,2217779,Yonathan Rodriguez,yonathan-rodriguez,M,32,False,32.0,30.0,5.0,3.0,0.0,13.0,13.0,16.0,17.0,0.0,0.0,3.0,0.0,12.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,68.0,49.0,7.1,9.0,0.01,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,5,9,93.75,60.0,,33.33333333333333,,,1.0,,1.0
