player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Nemanja Pavićević', 'firstName': 'Nemanja', 'lastName': 'Pavićević', 'slug': 'nemanja-pavicevic', 'shortName': 'N. Pavićević', 'position': 'M', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 1978656, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بافيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافيتشيفيتش'}}}",True,save,regular,"{'x': 4, 'y': 61, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.5, 'z': 29.8}",0.06154,0.4383,6649868,90,5.0,5691,"{'start': {'x': 61, 'y': 4}, 'end': {'x': 52.5, 'y': 0}, 'goal': {'x': 52.5, 'y': 70.2}}",1,609,291,shot,
"{'name': 'Nemanja Pavićević', 'firstName': 'Nemanja', 'lastName': 'Pavićević', 'slug': 'nemanja-pavicevic', 'shortName': 'N. Pavićević', 'position': 'M', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 1978656, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بافيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافيتشيفيتش'}}}",True,block,regular,"{'x': 24, 'y': 72, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01849,,6649867,88,,5242,"{'start': {'x': 72, 'y': 24}, 'block': {'x': 72, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,158,2542,shot,"{'x': 24, 'y': 72, 'z': 0}"
"{'name': 'Stefan Radojevic', 'firstName': 'Stefan Radojevic', 'slug': 'stefan-radojevic', 'shortName': 'S. Radojevic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 10, 'gender': 'M', 'id': 1536333, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رادويفيتش'}, 'shortNameTranslation': {'ar': 'س. رادويفيتش'}}}",True,block,regular,"{'x': 12, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1206,,6649866,87,,5164,"{'start': {'x': 56, 'y': 12}, 'block': {'x': 56, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,236,2464,shot,"{'x': 12, 'y': 56, 'z': 0}"
"{'name': 'Vanja Vučićević', 'slug': 'vanja-vucicevic', 'shortName': 'V. Vučićević', 'position': 'F', 'userCount': 11, 'gender': 'M', 'id': 881019, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا فويتشيفيتش'}, 'shortNameTranslation': {'ar': 'ف. فويتشيفيتش'}}}",False,save,free-kick,"{'x': 25, 'y': 65, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 10.1}",0.05577,0.09877,6649869,73,,4373,"{'start': {'x': 65, 'y': 25}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 89.9}}",18,1027,1673,shot,
"{'name': 'Aleksandar Katanić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katanic', 'shortName': 'A. Katanić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 11, 'gender': 'M', 'id': 941693, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتانيش'}, 'shortNameTranslation': {'ar': 'أ. كاتانيش'}}}",False,miss,throw-in-set-piece,"{'x': 5, 'y': 44, 'z': 0}",head,close-left,"{'x': 0, 'y': 57, 'z': 17.3}",0.1994,,6649865,64,,3831,"{'start': {'x': 44, 'y': 5}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 82.7}}",27,1569,1131,shot,
"{'name': 'Yonathan Rodriguez', 'firstName': 'Yonathan', 'lastName': 'Rodriguez', 'slug': 'yonathan-rodriguez', 'shortName': 'Y. Rodriguez', 'position': 'M', 'jerseyNumber': '32', 'userCount': 2, 'gender': 'M', 'id': 2217779, 'fieldTranslations': {'nameTranslation': {'ar': 'يوناثان رودريغيز'}, 'shortNameTranslation': {'ar': 'ي. رودريغيز'}}}",True,miss,regular,"{'x': 22, 'y': 43, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.6, 'z': 49}",0.006205,,6649864,62,,3706,"{'start': {'x': 43, 'y': 22}, 'end': {'x': 58.4, 'y': 0}, 'goal': {'x': 58.4, 'y': 51}}",29,1694,1006,shot,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,save,regular,"{'x': 25, 'y': 64, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 15.6}",0.03789,0.009896,6649863,43,,2575,"{'start': {'x': 64, 'y': 25}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 84.4}}",3,125,2575,shot,
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 8, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",True,save,regular,"{'x': 26, 'y': 41, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.4, 'z': 11.1}",0.02038,0.1123,6649862,40,,2375,"{'start': {'x': 41, 'y': 26}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 88.9}}",6,325,2375,shot,
"{'name': 'Takeru Komiya', 'firstName': '', 'lastName': '', 'slug': 'takeru-komiya', 'shortName': 'T. Komiya', 'position': 'F', 'userCount': 25, 'gender': 'M', 'id': 1391884, 'fieldTranslations': {'nameTranslation': {'ar': 'تاكيرو كومييا'}, 'shortNameTranslation': {'ar': 'ت. كومييا'}}}",True,save,regular,"{'x': 7, 'y': 36, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.7, 'z': 3.7}",0.1673,0.1132,6649861,33,,1931,"{'start': {'x': 36, 'y': 7}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 96.3}}",13,769,1931,shot,
"{'name': 'Julian Montenegro', 'firstName': '', 'lastName': '', 'slug': 'julian-montenegro', 'shortName': 'J. Montenegro', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 205970, 'fieldTranslations': {'nameTranslation': {'ar': 'جوليان مونتينيغرو'}, 'shortNameTranslation': {'ar': 'ج. مونتينيغرو'}}}",False,save,regular,"{'x': 19, 'y': 68, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 10.4}",0.02666,0.007927,6649860,16,,947,"{'start': {'x': 68, 'y': 19}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 89.6}}",30,1753,947,shot,
"{'name': 'Aleksandar Katanić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katanic', 'shortName': 'A. Katanić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 11, 'gender': 'M', 'id': 941693, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتانيش'}, 'shortNameTranslation': {'ar': 'أ. كاتانيش'}}}",False,miss,regular,"{'x': 44, 'y': 69, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.5, 'z': 15.7}",0.003972,,6649859,4,,191,"{'start': {'x': 69, 'y': 44}, 'end': {'x': 43.5, 'y': 0}, 'goal': {'x': 43.5, 'y': 84.3}}",42,2509,191,shot,
