match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,blockedScoringAttempt,keyPass,interceptionWon,shotOffTarget,dispossessed,penaltyWon
14147387,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,31.0,29.0,7.0,5.0,0.0,28.0,28.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,90.0,33.0,7.5,2.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,93.54838709677419,71.42857142857143,,,0.0,,,,,,
14147387,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,60.0,40.0,13.0,2.0,0.0,19.0,20.0,20.0,39.0,11.0,4.0,1.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,79.0,7.8,20.0,0.01,0.46,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,66.66666666666666,15.384615384615385,36.36363636363637,,,1.0,5.0,,,,
14147387,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,45.0,41.0,5.0,4.0,0.0,28.0,30.0,13.0,15.0,0.0,0.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,47.0,7.0,3.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,91.11111111111111,80.0,,,,,,,,,
14147387,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,57.0,46.0,12.0,6.0,0.0,31.0,35.0,15.0,22.0,0.0,0.0,1.0,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,64.0,7.2,11.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,4,8,80.7017543859649,50.0,,,,,,1.0,,,
14147387,home,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,False,48.0,35.0,3.0,1.0,0.0,12.0,15.0,22.0,32.0,9.0,4.0,2.0,2.0,8.0,12.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,90.0,71.0,8.0,14.0,0.11,0.01,"{'original': 8, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,4,16,10,6,72.91666666666666,33.33333333333333,44.44444444444444,100.0,,1.0,1.0,1.0,1.0,,
14147387,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,45.0,38.0,5.0,3.0,0.0,14.0,15.0,23.0,29.0,0.0,0.0,1.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,,,,,,,90.0,65.0,7.1,9.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,84.44444444444444,60.0,,,,,1.0,1.0,,,
14147387,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,63.0,56.0,12.0,8.0,0.0,20.0,20.0,35.0,41.0,0.0,0.0,3.0,0.0,11.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,90.0,7.5,13.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,6,8,88.88888888888889,66.66666666666666,,100.0,,1.0,,3.0,,2.0,
14147387,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,23.0,16.0,2.0,1.0,0.0,4.0,6.0,12.0,17.0,1.0,1.0,2.0,1.0,12.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,85.0,34.0,6.5,13.0,0.19,0.01,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,1,10,69.56521739130434,50.0,100.0,0.0,,,1.0,,,1.0,
14147387,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,36.0,29.0,1.0,1.0,0.0,8.0,8.0,20.0,27.0,2.0,1.0,2.0,3.0,16.0,13.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,90.0,69.0,7.3,12.0,0.17,0.0,"{'original': 7.3, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,5,24,10,14,80.55555555555556,100.0,50.0,100.0,,2.0,,,2.0,1.0,
14147387,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,14.0,10.0,1.0,0.0,0.0,2.0,2.0,7.0,11.0,0.0,0.0,2.0,0.0,8.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,56.0,28.0,6.6,5.0,0.01,0.01,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,71.42857142857143,0.0,,33.33333333333333,,,1.0,1.0,2.0,1.0,
