minute,value
0.0,0
1.0,-5
2.0,-2
3.0,13
4.0,50
5.0,31
6.0,20
7.0,23
8.0,24
9.0,12
10.0,3
11.0,42
12.0,-80
13.0,-31
14.0,-14
15.0,26
16.0,18
17.0,17
18.0,5
19.0,2
20.0,-1
21.0,11
22.0,-10
23.0,45
24.0,26
25.0,16
26.0,94
27.0,82
28.0,17
29.0,16
30.0,10
31.0,6
32.0,7
33.0,17
34.0,66
35.0,45
36.0,32
37.0,29
38.0,12
39.0,3
40.0,2
41.0,1
42.0,-20
43.0,41
44.0,53
45.0,57
46.0,1
47.0,1
48.0,-5
49.0,11
50.0,15
51.0,10
52.0,37
53.0,53
54.0,32
55.0,29
56.0,-54
57.0,36
58.0,11
59.0,-49
60.0,47
61.0,63
62.0,71
63.0,48
64.0,33
65.0,23
66.0,11
67.0,5
68.0,3
69.0,3
70.0,-19
71.0,-10
72.0,46
73.0,26
74.0,47
75.0,60
76.0,37
77.0,25
78.0,16
79.0,9
80.0,5
81.0,-9
82.0,7
83.0,8
84.0,11
85.0,53
86.0,34
87.0,21
88.0,29
89.0,17
90.0,12
90.5,10
