match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,dispossessed,keyPass,blockedScoringAttempt,savedShotsFromInsideTheBox
15280971,home,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,False,27.0,24.0,8.0,5.0,0.0,19.0,20.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,28.0,6.1,3.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,62.5,,,0.0,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1381385,Nihad Balić,nihad-balic,D,2,False,51.0,38.0,13.0,8.0,0.0,14.0,17.0,23.0,33.0,5.0,0.0,1.0,2.0,10.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,61.0,7.0,18.0,0.03,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,4,9,74.50980392156863,61.53846153846154,0.0,100.0,,1.0,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,66.0,55.0,9.0,3.0,0.0,35.0,37.0,18.0,25.0,0.0,0.0,3.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,77.0,6.3,15.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,83.33333333333334,33.33333333333333,,,,,1.0,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,70.0,64.0,6.0,3.0,0.0,33.0,36.0,30.0,32.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,13.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,77.0,7.3,7.0,0.27,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,91.42857142857143,50.0,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,65.0,54.0,3.0,2.0,0.0,26.0,29.0,26.0,34.0,6.0,1.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,84.0,72.0,6.4,9.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,0,6,83.07692307692308,66.66666666666666,16.666666666666664,0.0,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,65.0,56.0,10.0,7.0,0.0,27.0,29.0,26.0,32.0,0.0,0.0,3.0,1.0,9.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,18.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,90.0,82.0,7.7,9.0,0.08,0.06,"{'original': 7.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,86.15384615384616,70.0,,100.0,,2.0,,1.0,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,37.0,26.0,4.0,2.0,0.0,6.0,7.0,18.0,28.0,9.0,2.0,1.0,0.0,3.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,90.0,52.0,7.3,13.0,0.02,0.05,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,70.27027027027027,50.0,22.22222222222222,50.0,,1.0,,1.0,1.0,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,24.0,19.0,1.0,1.0,0.0,6.0,7.0,8.0,11.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,90.0,33.0,6.9,13.0,0.06,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,0,5,79.16666666666666,100.0,,,,,,,1.0,
15280971,home,6219,FK Jedinstvo Bijelo Polje,2246412,Lucas Estabio,lucas-estabio,M,32,False,36.0,24.0,3.0,1.0,1.0,5.0,7.0,19.0,28.0,2.0,1.0,1.0,0.0,23.0,17.0,0.0,8.0,6.0,1.0,0.0,1.0,0.0,,4.0,3.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,,,,,,84.0,73.0,7.4,22.0,0.23,0.27,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",40,1,39,17,22,66.66666666666666,33.33333333333333,50.0,75.0,,,1.0,1.0,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,30.0,20.0,2.0,1.0,0.0,6.0,9.0,14.0,21.0,3.0,1.0,0.0,0.0,6.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,56.0,40.0,6.7,10.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,66.66666666666666,50.0,33.33333333333333,50.0,,,,,,
