player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot,blockCoordinates
"{'name': 'Alden Škrijelj', 'firstName': '', 'lastName': '', 'slug': 'alden-skrijelj', 'shortName': 'A. Škrijelj', 'position': 'M', 'userCount': 7, 'gender': 'M', 'id': 1030476, 'fieldTranslations': {'nameTranslation': {'ar': 'ألدن شكيليتش'}, 'shortNameTranslation': {'ar': 'أ. شكيليتش'}}}",True,miss,regular,"{'x': 25, 'y': 43, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.3, 'z': 14.7}",0.05602,6820724,90,5.0,5644,"{'start': {'x': 43, 'y': 25}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 85.3}}",1,656,244,shot,,,
"{'name': 'Dejan Perovic', 'slug': 'dejan-perovic', 'shortName': 'D. Perović', 'position': 'M', 'jerseyNumber': '44', 'userCount': 9, 'gender': 'M', 'id': 1005595, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بيروفيتش'}, 'shortNameTranslation': {'ar': 'د. بيروفيتش'}}}",False,goal,set-piece,"{'x': 20, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 8.1}",0.1732,6820723,86,,5104,"{'start': {'x': 58, 'y': 20}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 91.9}}",5,296,2404,shot,regular,0.05645,
"{'name': 'Vuk Striković', 'firstName': '', 'lastName': '', 'slug': 'vuk-strikovic', 'shortName': 'V. Striković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 15, 'gender': 'M', 'id': 1034556, 'fieldTranslations': {'nameTranslation': {'ar': 'فوك ستريركوفيتش', 'bn': 'ভুক স্ট্রিকোভিচ', 'hi': 'वुक स्ट्रिकोविक'}, 'shortNameTranslation': {'ar': 'ف. ستريركوفيتش', 'bn': 'ভি. স্ট্রিকোভিচ', 'hi': 'डब्ल्यू. स्ट्रिकोविक'}}}",False,miss,set-piece,"{'x': 15, 'y': 44, 'z': 0}",head,close-right,"{'x': 0, 'y': 41, 'z': 19.8}",0.04378,6820722,77,,4569,"{'start': {'x': 44, 'y': 15}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 80.2}}",14,831,1869,shot,,,
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'M', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,miss,set-piece,"{'x': 26, 'y': 68, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42, 'z': 10.9}",0.002524,6820721,75,,4469,"{'start': {'x': 68, 'y': 26}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 89.1}}",16,931,1769,shot,,,
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'M', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,block,regular,"{'x': 21, 'y': 69, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01467,6820720,69,,4118,"{'start': {'x': 69, 'y': 21}, 'block': {'x': 69, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",22,1282,1418,shot,,,"{'x': 21, 'y': 69, 'z': 0}"
"{'name': 'Vuk Striković', 'firstName': '', 'lastName': '', 'slug': 'vuk-strikovic', 'shortName': 'V. Striković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 15, 'gender': 'M', 'id': 1034556, 'fieldTranslations': {'nameTranslation': {'ar': 'فوك ستريركوفيتش', 'bn': 'ভুক স্ট্রিকোভিচ', 'hi': 'वुक स्ट्रिकोविक'}, 'shortNameTranslation': {'ar': 'ف. ستريركوفيتش', 'bn': 'ভি. স্ট্রিকোভিচ', 'hi': 'डब्ल्यू. स्ट्रिकोविक'}}}",False,miss,regular,"{'x': 14, 'y': 64, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 40.9, 'z': 50.8}",0.1147,6820719,67,,3961,"{'start': {'x': 64, 'y': 14}, 'end': {'x': 59.1, 'y': 0}, 'goal': {'x': 59.1, 'y': 49.2}}",24,1439,1261,shot,,,
"{'name': 'Lucas Estabio', 'firstName': 'Lucas', 'lastName': 'Estabio', 'slug': 'lucas-estabio', 'shortName': 'L. Estabio', 'position': 'F', 'jerseyNumber': '32', 'userCount': 8, 'gender': 'M', 'id': 2246412, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكاس استابيو'}, 'shortNameTranslation': {'ar': 'ل. استابيو'}}}",True,save,regular,"{'x': 11, 'y': 39, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.8, 'z': 33.8}",0.2287,6820718,66,,3908,"{'start': {'x': 39, 'y': 11}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 66.2}}",25,1492,1208,shot,,0.4134,
"{'name': 'Miloš Nikolić', 'firstName': '', 'lastName': '', 'slug': 'milos-nikolic', 'shortName': 'M. Nikolić', 'position': 'D', 'jerseyNumber': '23', 'userCount': 10, 'gender': 'M', 'id': 807581, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش نيكوليتش'}, 'shortNameTranslation': {'ar': 'م. نيكوليتش'}}}",True,goal,set-piece,"{'x': 6, 'y': 51, 'z': 0}",head,low-left,"{'x': 0, 'y': 53.1, 'z': 19.3}",0.2663,6820717,64,,3832,"{'start': {'x': 51, 'y': 6}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 80.7}}",27,1568,1132,shot,regular,0.6854,
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 9, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",True,miss,regular,"{'x': 26, 'y': 69, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42, 'z': 47.5}",0.03078,6820716,61,,3612,"{'start': {'x': 69, 'y': 26}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 52.5}}",30,1788,912,shot,,,
"{'name': 'Dejan Perovic', 'slug': 'dejan-perovic', 'shortName': 'D. Perović', 'position': 'M', 'jerseyNumber': '44', 'userCount': 9, 'gender': 'M', 'id': 1005595, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بيروفيتش'}, 'shortNameTranslation': {'ar': 'د. بيروفيتش'}}}",False,miss,regular,"{'x': 14, 'y': 31, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.7, 'z': 17.5}",0.096,6820715,50,,2995,"{'start': {'x': 31, 'y': 14}, 'end': {'x': 42.3, 'y': 0}, 'goal': {'x': 42.3, 'y': 82.5}}",41,2405,295,shot,,,
