match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,blockedScoringAttempt,interceptionWon,fouls,shotValueNormalized,totalContest,onTargetScoringAttempt,outfielderBlock,errorLeadToAShot,dispossessed,shotOffTarget,wonContest,keyPass,goals,penaltyConceded,totalOffside,accurateCross,bigChanceCreated
14015422,home,7771,FK Mladost Lučani,1835422,Ognjen Bondžulić,ognjen-bondzulic,F,11,False,6.0,5.0,,,0.0,3.0,4.0,2.0,2.0,,1.0,,1.0,,,,,,90.0,20.0,7.3,9.0,,"{'original': 7.3, 'alternative': 6.7}",1,-0.1,0.22,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,83.33333333333334,,,,,2.0,2.0,8.0,1.0,,,1.0,1.0,,,,0.51,2.0,1.0,,,3.0,,,,1.0,,,,
14015422,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,True,9.0,8.0,,,0.0,5.0,5.0,3.0,4.0,2.0,4.0,6.0,2.0,,,,,,65.0,21.0,6.0,1.0,,"{'original': 6, 'alternative': 6.2}",0,0.02,0.02,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,88.88888888888889,,,,,,,1.0,,2.0,1.0,,,,,2.0,,,,2.0,,,,,,,1.0,,,
14015422,home,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,M,25,True,9.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,8.0,,,,,,,,,,45.0,16.0,6.1,11.0,,"{'original': 6.1, 'alternative': 6.1}",0,-0.09,0.05,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,55.55555555555556,100.0,,,,4.0,,3.0,,,,,,,,,,2.0,,,,1.0,,,1.0,,,1.0,,
14015422,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,7.0,6.0,,,1.0,2.0,2.0,4.0,5.0,,,,2.0,,,,,,24.0,10.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.34,0.08,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,85.71428571428571,,,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,,,,,2.0,,,,,
14015422,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,1.0,,,,,,,6.0,3.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,home,229348,FK Mladost Lučani,341339,Nemanja Ahčin,nemanja-ahcin,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,D,18,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,home,7771,FK Mladost Lučani,1090985,Nemanja Žunić,zunic-nemanja,D,41,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
