match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,outfielderBlock,interceptionWon,wasFouled,shotOffTarget,shotValueNormalized,blockedScoringAttempt,wonContest,onTargetScoringAttempt,goals,bigChanceMissed,dispossessed,errorLeadToAShot,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,clearanceOffLine,hitWoodwork
14015450,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,36.0,19.0,30.0,13.0,0.0,9.0,13.0,10.0,23.0,3.0,15.0,2.0,6.0,8.0,2.0,90.0,54.0,7.7,17.0,1.3287,"{'original': 7.7, 'alternative': 8}",0,0.12,0.0,-0.17,0.9,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,52.77777777777778,43.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,14.0,9.0,4.0,1.0,0.0,3.0,5.0,6.0,9.0,2.0,2.0,,,,,49.0,31.0,6.1,12.0,,"{'original': 6.1, 'alternative': 5.9}",0,0.35,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,64.28571428571429,25.0,33.33333333333333,,,3.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,26.0,22.0,6.0,4.0,0.0,16.0,17.0,6.0,9.0,9.0,4.0,,,,,90.0,46.0,7.1,5.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.27,0.05,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,6,1,84.61538461538461,66.66666666666666,,,,,,1.0,2.0,8.0,1.0,,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,23.0,17.0,6.0,3.0,0.0,11.0,11.0,6.0,12.0,8.0,1.0,,,,,90.0,36.0,5.6,7.0,,"{'original': 5.6, 'alternative': 6}",1,0.12,0.01,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,73.91304347826086,50.0,,,,,,2.0,5.0,2.0,1.0,1.0,,,,1.0,,2.0,2.0,,,1.0,-0.51,,,,,,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,23.0,17.0,7.0,2.0,1.0,11.0,11.0,6.0,12.0,3.0,3.0,,,,,90.0,48.0,6.7,14.0,,"{'original': 6.7, 'alternative': 7}",1,0.42,0.02,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,73.91304347826086,28.57142857142857,25.0,,,4.0,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,2.0,,2.0,1.0,1.0,,1.0,,0.01,1.0,,,,,,,,,,,,
14015450,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,17.0,9.0,6.0,1.0,0.0,2.0,7.0,7.0,10.0,1.0,9.0,,,,,90.0,38.0,8.0,13.0,,"{'original': 8, 'alternative': 7.5}",2,0.12,0.21,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,10,8,52.94117647058824,16.666666666666664,,50.0,,,,,8.0,12.0,3.0,4.0,5.0,4.0,3.0,3.0,,2.0,,,3.0,,0.53,,2.0,2.0,1.0,,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,8.0,7.0,1.0,1.0,0.0,4.0,4.0,3.0,4.0,4.0,3.0,,,,,90.0,23.0,7.1,3.0,,"{'original': 7.1, 'alternative': 6.6}",3,0.01,0.3,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,6,0,87.5,100.0,,,,,,1.0,1.0,8.0,,,4.0,4.0,2.0,,,2.0,,,2.0,1.0,0.02,1.0,,1.0,,2.0,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,32.0,22.0,4.0,1.0,0.0,10.0,13.0,12.0,19.0,2.0,5.0,,,,,90.0,41.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.03,0.07,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,68.75,25.0,100.0,100.0,,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,
14015450,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,16.0,9.0,2.0,1.0,0.0,4.0,5.0,5.0,11.0,4.0,4.0,,,,,80.0,38.0,7.2,14.0,,"{'original': 7.2, 'alternative': 7.2}",2,0.56,0.18,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,56.25,50.0,,50.0,,2.0,,2.0,7.0,6.0,3.0,2.0,2.0,2.0,3.0,1.0,,2.0,,1.0,1.0,1.0,0.03,1.0,1.0,,,,,,,,,,,
14015450,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,10.0,3.0,,,0.0,,1.0,3.0,9.0,,1.0,,,,,54.0,20.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.5}",1,-0.03,0.21,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,1,7,30.0,,33.33333333333333,,,3.0,1.0,,7.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,-0.03,1.0,,,,,2.0,,,,,,,
