minute,value
1.0,8
2.0,17
3.0,95
4.0,88
5.0,63
6.0,58
7.0,34
8.0,24
9.0,18
10.0,27
11.0,21
12.0,43
13.0,34
14.0,-32
15.0,-16
16.0,-17
17.0,-11
18.0,-6
19.0,6
20.0,10
21.0,8
22.0,36
23.0,23
24.0,14
25.0,4
26.0,-4
27.0,-3
28.0,7
29.0,10
30.0,62
31.0,44
32.0,22
33.0,14
34.0,9
35.0,33
36.0,21
37.0,15
38.0,51
39.0,27
40.0,16
41.0,17
42.0,58
43.0,34
44.0,23
45.0,11
45.5,-5
46.0,7
47.0,1
48.0,8
49.0,7
50.0,6
51.0,1
52.0,-38
53.0,-16
54.0,-8
55.0,-3
56.0,3
57.0,86
58.0,53
59.0,39
60.0,46
61.0,35
62.0,17
63.0,38
64.0,24
65.0,15
66.0,-33
67.0,-14
68.0,-8
69.0,82
70.0,43
71.0,6
72.0,-23
73.0,-15
74.0,-19
75.0,-29
76.0,-14
77.0,-5
78.0,-1
79.0,2
80.0,5
81.0,5
82.0,10
83.0,8
84.0,1
85.0,-4
86.0,-6
87.0,-33
88.0,-53
89.0,-70
90.0,42
90.5,-5
