player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Mamane Amadou Sabo', 'slug': 'mamane-amadou-sabo', 'shortName': 'M. A. Sabo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 199, 'gender': 'M', 'id': 1435246, 'fieldTranslations': {'nameTranslation': {'ar': 'ماماني أمدو سابو'}, 'shortNameTranslation': {'ar': 'م. سابو'}}}",True,miss,assisted,"{'x': 24.8, 'y': 30.1, 'z': 0}",right-foot,high,"{'x': 0, 'y': 51.4, 'z': 70.8}",5636209,90,3.0,5521,"{'start': {'x': 30.1, 'y': 24.8}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 29.2}}",1,779,121,shot,,
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,goal,assisted,"{'x': 25, 'y': 68.1, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53, 'z': 31.6}",5635842,85,,5066,"{'start': {'x': 68.1, 'y': 25}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 68.4}}",6,334,2366,shot,regular,
"{'name': 'Dušan Zagar', 'firstName': 'Dusan Zagar', 'slug': 'dusan-zagar', 'shortName': 'D. Zagar', 'position': 'M', 'jerseyNumber': '10', 'userCount': 37, 'gender': 'M', 'id': 2059299, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان زاغار'}, 'shortNameTranslation': {'ar': 'د. زاغار'}}}",False,block,assisted,"{'x': 21, 'y': 53.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 19}",5635794,83,,4974,"{'start': {'x': 53.2, 'y': 21}, 'block': {'x': 52, 'y': 13.4}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 81}}",8,426,2274,shot,,"{'x': 13.4, 'y': 52, 'z': 0}"
"{'name': 'Bayere Loue', 'firstName': '', 'lastName': '', 'slug': 'bayere-loue', 'shortName': 'B. Loue', 'position': 'F', 'jerseyNumber': '27', 'userCount': 74, 'gender': 'M', 'id': 972802, 'fieldTranslations': {'nameTranslation': {'ar': 'باير لو'}, 'shortNameTranslation': {'ar': 'ب. لو'}}}",True,goal,assisted,"{'x': 5.8, 'y': 52.6, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.1, 'z': 24.7}",5635162,67,,4013,"{'start': {'x': 52.6, 'y': 5.8}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 75.3}}",24,1387,1313,shot,regular,
"{'name': 'Sankara Karamoko', 'firstName': 'Sankara Karamoko', 'lastName': '', 'slug': 'sankara-karamoko', 'shortName': 'S. Karamoko', 'position': 'F', 'jerseyNumber': '50', 'userCount': 259, 'gender': 'M', 'id': 1444568, 'fieldTranslations': {'nameTranslation': {'ar': 'سانكارا كاراموكو'}, 'shortNameTranslation': {'ar': 'س. كاراموكو'}}}",False,block,corner,"{'x': 24.4, 'y': 45, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 19}",5635027,66,,3928,"{'start': {'x': 45, 'y': 24.4}, 'block': {'x': 45.8, 'y': 18}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 81}}",25,1472,1228,shot,,"{'x': 18, 'y': 45.8, 'z': 0}"
"{'name': 'Nikola Glišić', 'firstName': '', 'lastName': '', 'slug': 'nikola-glisic', 'shortName': 'N. Glišić', 'position': 'D', 'jerseyNumber': '7', 'userCount': 60, 'gender': 'M', 'id': 1111990, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا غليشيتش'}, 'shortNameTranslation': {'ar': 'ن. غليشيتش'}}}",False,miss,regular,"{'x': 20.6, 'y': 43.8, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41, 'z': 4.2}",5634711,61,,3613,"{'start': {'x': 43.8, 'y': 20.6}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 95.8}}",30,1787,913,shot,,
"{'name': 'Nikola Glišić', 'firstName': '', 'lastName': '', 'slug': 'nikola-glisic', 'shortName': 'N. Glišić', 'position': 'D', 'jerseyNumber': '7', 'userCount': 60, 'gender': 'M', 'id': 1111990, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا غليشيتش'}, 'shortNameTranslation': {'ar': 'ن. غليشيتش'}}}",False,block,regular,"{'x': 20.9, 'y': 43.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 19}",5634710,61,,3611,"{'start': {'x': 43.6, 'y': 20.9}, 'block': {'x': 44, 'y': 19.2}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 81}}",30,1789,911,shot,,"{'x': 19.2, 'y': 44, 'z': 0}"
"{'name': 'Marko Jevtić', 'firstName': '', 'lastName': '', 'slug': 'marko-jevtic', 'shortName': 'M. Jevtić', 'position': 'D', 'jerseyNumber': '14', 'userCount': 9, 'gender': 'M', 'id': 886182, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ييفتيتش'}, 'shortNameTranslation': {'ar': 'م. ييفتيتش'}}}",False,miss,set-piece,"{'x': 8.9, 'y': 55.6, 'z': 0}",head,high,"{'x': 0, 'y': 44.7, 'z': 70.8}",5634593,58,,3436,"{'start': {'x': 55.6, 'y': 8.9}, 'end': {'x': 55.3, 'y': 0}, 'goal': {'x': 55.3, 'y': 29.2}}",33,1964,736,shot,,
"{'name': 'Stefan Vilotic', 'slug': 'stefan-vilotic', 'shortName': 'S. Vilotic', 'position': 'D', 'jerseyNumber': '3', 'userCount': 17, 'gender': 'M', 'id': 943573, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان فيلوتيتش'}, 'shortNameTranslation': {'ar': 'س. فيلوتيتش'}}}",True,miss,corner,"{'x': 9.4, 'y': 43.6, 'z': 0}",head,high-left,"{'x': 0, 'y': 57.3, 'z': 70.8}",5634435,54,,3227,"{'start': {'x': 43.6, 'y': 9.4}, 'end': {'x': 42.7, 'y': 0}, 'goal': {'x': 42.7, 'y': 29.2}}",37,2173,527,shot,,
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,block,fast-break,"{'x': 13.6, 'y': 54, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 19}",5634423,53,,3158,"{'start': {'x': 54, 'y': 13.6}, 'block': {'x': 53.1, 'y': 11}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 81}}",38,2242,458,shot,,"{'x': 11, 'y': 53.1, 'z': 0}"
