player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Nemanja Radonjić', 'firstName': '', 'lastName': '', 'slug': 'nemanja-radonjic', 'shortName': 'N. Radonjić', 'position': 'M', 'jerseyNumber': '49', 'userCount': 4708, 'gender': 'M', 'sofascoreId': 'n.radonjic7', 'id': 802665, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا رادونجيتش', 'bn': 'নেমাঞ্জা রাডনজিক', 'hi': 'नेमांजा राडोनजीक'}, 'shortNameTranslation': {'ar': 'ن. رادونجيتش', 'bn': 'এন. রাডনজিক', 'hi': 'एन. राडोनजीक'}}}",True,block,assisted,"{'x': 11.1, 'y': 31.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 19}","{'x': 6.7, 'y': 37.4, 'z': 0}",6092922,90,5.0,5648,"{'start': {'x': 31.7, 'y': 11.1}, 'block': {'x': 37.4, 'y': 6.7}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 81}}",1,652,248,shot,
"{'name': 'Franklin Tebo', 'firstName': 'Franklin Tebo', 'lastName': '', 'slug': 'franklin-tebo', 'shortName': 'F. Tebo', 'position': 'D', 'jerseyNumber': '30', 'userCount': 722, 'gender': 'M', 'id': 1133882, 'fieldTranslations': {'nameTranslation': {'ar': 'فرانكلين تبو', 'bn': 'ফ্র্যাঙ্কলিন টেবো', 'hi': 'फ्रैंकलिन टेबो'}, 'shortNameTranslation': {'ar': 'ف. تبو', 'bn': 'এফ. টেবো', 'hi': 'एफ. टेबो'}}}",True,block,corner,"{'x': 7.4, 'y': 51.3, 'z': 0}",head,low-centre,"{'x': 0, 'y': 51.6, 'z': 19}","{'x': 5.9, 'y': 50.7, 'z': 0}",6092797,90,2.0,5514,"{'start': {'x': 51.3, 'y': 7.4}, 'block': {'x': 50.7, 'y': 5.9}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 81}}",1,786,114,shot,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,save,assisted,"{'x': 2.6, 'y': 36.4, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 4.4}","{'x': 1.9, 'y': 39, 'z': 0}",6092796,90,2.0,5495,"{'start': {'x': 36.4, 'y': 2.6}, 'block': {'x': 39, 'y': 1.9}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 95.6}}",1,805,95,shot,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,miss,corner,"{'x': 6.7, 'y': 49, 'z': 0}",head,right,"{'x': 0, 'y': 39.7, 'z': 13.9}",,6092786,90,,5377,"{'start': {'x': 49, 'y': 6.7}, 'end': {'x': 60.3, 'y': 0}, 'goal': {'x': 60.3, 'y': 86.1}}",1,23,2677,shot,
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",True,miss,assisted,"{'x': 9.4, 'y': 45.8, 'z': 0}",head,left,"{'x': 0, 'y': 62.9, 'z': 22.2}",,6092754,88,,5238,"{'start': {'x': 45.8, 'y': 9.4}, 'end': {'x': 37.1, 'y': 0}, 'goal': {'x': 37.1, 'y': 77.8}}",3,162,2538,shot,
"{'name': 'Aleksandar Pejović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-pejovic', 'shortName': 'A. Pejović', 'position': 'M', 'jerseyNumber': '28', 'userCount': 45, 'gender': 'M', 'id': 804662, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر بيجوفيتش', 'bn': 'আলেকসান্ডার পেজোভিচ', 'hi': 'एलेक्ज़ेंडर पेजोविक'}, 'shortNameTranslation': {'ar': 'أ. بيجوفيتش', 'bn': 'এ. পেজোভিচ', 'hi': 'ए. पेजोविक'}}}",False,block,free-kick,"{'x': 27.8, 'y': 60.5, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 19}","{'x': 21.1, 'y': 58.7, 'z': 0}",6092753,87,,5180,"{'start': {'x': 60.5, 'y': 27.8}, 'block': {'x': 58.7, 'y': 21.1}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 81}}",4,220,2480,shot,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,save,assisted,"{'x': 3.9, 'y': 61.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.6, 'z': 7}","{'x': 2.8, 'y': 58.8, 'z': 0}",6092582,79,,4711,"{'start': {'x': 61.7, 'y': 3.9}, 'block': {'x': 58.8, 'y': 2.8}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 93}}",12,689,2011,shot,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,post,assisted,"{'x': 24.6, 'y': 61.5, 'z': 0}",right-foot,high,"{'x': 0, 'y': 45.6, 'z': 39.9}",,6092530,78,,4628,"{'start': {'x': 61.5, 'y': 24.6}, 'end': {'x': 54.4, 'y': 0}, 'goal': {'x': 54.4, 'y': 60.1}}",13,772,1928,shot,
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,block,corner,"{'x': 7.5, 'y': 47.8, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.1, 'z': 19}","{'x': 5.3, 'y': 48.7, 'z': 0}",6092514,75,,4485,"{'start': {'x': 47.8, 'y': 7.5}, 'block': {'x': 48.7, 'y': 5.3}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 81}}",16,915,1785,shot,
"{'name': 'Tomás Händel', 'firstName': 'Tomás Händel', 'lastName': '', 'slug': 'tomas-handel', 'shortName': 'T. Händel', 'position': 'M', 'jerseyNumber': '20', 'userCount': 976, 'gender': 'M', 'id': 1131048, 'fieldTranslations': {'nameTranslation': {'ar': 'توماس هاندل'}, 'shortNameTranslation': {'ar': 'ت. هاندل'}}}",True,miss,set-piece,"{'x': 18.9, 'y': 60.1, 'z': 0}",left-foot,left,"{'x': 0, 'y': 64, 'z': 12.5}",,6092414,70,,4146,"{'start': {'x': 60.1, 'y': 18.9}, 'end': {'x': 36, 'y': 0}, 'goal': {'x': 36, 'y': 87.5}}",21,1254,1446,shot,
