minute,value
1.0,-6
2.0,9
3.0,2
4.0,-5
5.0,11
6.0,2
7.0,-10
8.0,-16
9.0,-54
10.0,-39
11.0,-24
12.0,-80
13.0,-57
14.0,-26
15.0,-14
16.0,-3
17.0,9
18.0,11
19.0,1
20.0,1
21.0,-6
22.0,-4
23.0,-3
24.0,6
25.0,69
26.0,41
27.0,30
28.0,23
29.0,13
30.0,3
31.0,1
32.0,-2
33.0,-7
34.0,-10
35.0,-2
36.0,5
37.0,2
38.0,-26
39.0,-9
40.0,-6
41.0,-4
42.0,5
43.0,14
44.0,8
45.0,5
45.5,-5
46.0,5
47.0,-16
48.0,25
49.0,15
50.0,14
51.0,13
52.0,9
53.0,-11
54.0,-5
55.0,-44
56.0,-22
57.0,-8
58.0,-4
59.0,-2
60.0,8
61.0,5
62.0,-5
63.0,-1
64.0,21
65.0,17
66.0,21
67.0,14
68.0,9
69.0,70
70.0,73
71.0,44
72.0,17
73.0,-54
74.0,-36
75.0,-73
76.0,-49
77.0,-73
78.0,-39
79.0,-48
80.0,-34
81.0,-15
82.0,6
83.0,1
84.0,3
85.0,8
86.0,50
87.0,51
88.0,36
89.0,22
90.0,-30
90.5,70
