match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,blockedScoringAttempt,dispossessed,shotOffTarget,bigChanceCreated,savedShotsFromInsideTheBox,penaltyWon
14147323,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,home,456482,FK Sutjeska Nikšić,1606671,Todor Miljanić,todor-miljanic,D,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,home,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,home,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,home,6224,FK Sutjeska Nikšić,1481226,Danilo Ćetković,danilo-cetkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,F,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,39.0,37.0,12.0,10.0,0.0,31.0,31.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,90.0,42.0,8.8,6.0,0.0,0.0,"{'original': 8.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,94.87179487179486,83.33333333333334,,,0.0,,,,,,,6.0,
14147323,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,40.0,32.0,9.0,5.0,0.0,14.0,14.0,18.0,25.0,6.0,3.0,0.0,0.0,7.0,3.0,1.0,3.0,3.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,90.0,56.0,6.9,14.0,0.0,0.01,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,80.0,55.55555555555556,50.0,100.0,,2.0,1.0,,,,,,
14147323,away,6216,OFK Petrovac,55534,Aleksandar Kapisoda,aleksandar-kapisoda,D,5,False,36.0,34.0,1.0,1.0,0.0,24.0,25.0,8.0,9.0,0.0,0.0,2.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,44.0,7.5,9.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,1,4,94.44444444444444,100.0,,,,3.0,,,,,,,
14147323,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,57.0,52.0,6.0,4.0,0.0,43.0,47.0,8.0,9.0,0.0,0.0,2.0,4.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,69.0,7.1,8.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,0,6,91.22807017543859,66.66666666666666,,,,3.0,,,,,,,
14147323,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,50.0,42.0,3.0,2.0,1.0,27.0,28.0,11.0,17.0,5.0,1.0,3.0,0.0,10.0,6.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,90.0,57.0,7.2,9.0,0.0,0.44,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,6,7,84.0,66.66666666666666,20.0,100.0,,4.0,1.0,,,,1.0,,
14147323,away,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,33.0,23.0,2.0,1.0,0.0,6.0,7.0,17.0,25.0,5.0,0.0,3.0,4.0,11.0,9.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,90.0,47.0,6.6,18.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,5,8,69.6969696969697,50.0,0.0,50.0,,,,,2.0,,,,
14147323,away,6216,OFK Petrovac,1187746,Danilo Bakić,danilo-bakic,M,8,False,38.0,31.0,7.0,4.0,0.0,16.0,17.0,15.0,21.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,90.0,49.0,6.8,8.0,0.01,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,81.57894736842105,57.14285714285714,,,,,,,,1.0,,,
14147323,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,33.0,28.0,3.0,1.0,0.0,15.0,17.0,13.0,16.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,68.0,46.0,6.5,7.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,84.84848484848484,33.33333333333333,,,,1.0,,,1.0,,,,
14147323,away,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,17.0,10.0,0.0,0.0,0.0,5.0,6.0,5.0,11.0,2.0,0.0,1.0,0.0,8.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,,,,,,68.0,33.0,6.3,12.0,0.07,0.06,"{'original': 6.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,58.82352941176471,,0.0,100.0,,,2.0,1.0,2.0,,,,
14147323,away,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,F,22,False,21.0,19.0,0.0,0.0,0.0,4.0,4.0,14.0,16.0,1.0,0.0,3.0,0.0,12.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,,,,,,79.0,35.0,6.7,6.0,0.07,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,5,9,90.47619047619048,,0.0,100.0,,1.0,,1.0,,,,,
14147323,away,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,False,16.0,12.0,0.0,0.0,0.0,4.0,5.0,7.0,10.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,,,,,,79.0,28.0,7.5,6.0,0.44,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,75.0,,,,,1.0,,,,,,,
14147323,away,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,True,8.0,6.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,22.0,15.0,6.2,4.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,75.0,100.0,,,,1.0,,,1.0,,,,
14147323,away,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,True,9.0,7.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,22.0,13.0,6.1,4.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,77.77777777777779,,,,,,,,,,,,
14147323,away,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,M,11,True,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,2.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,100.0,,,,,,,,,,,,
14147323,away,37956,OFK Petrovac,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,9,True,5.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,6.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,80.0,,,,,,,,,,,,
14147323,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,M,13,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,0.0
14147323,away,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,away,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,away,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147323,away,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,F,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
