match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,blockedScoringAttempt,interceptionWon,keyPass,shotOffTarget,hitWoodwork,dispossessed
14147333,home,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,False,7.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,59.0,14.0,6.7,8.0,0.12,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,0,4,71.42857142857143,,,,,,,,,,2.0
14147333,home,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,True,72.0,65.0,1.0,1.0,0.0,25.0,27.0,39.0,44.0,2.0,1.0,2.0,0.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,79.0,90.0,6.6,7.0,0.15,0.0,"{'original': 6.6, 'alternative': None}",6.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,1,7,90.27777777777779,100.0,50.0,0.0,,2.0,1.0,,3.0,,
14147333,home,6226,FK Dečić Tuzi,44305,Draško Božović,drasko-bozovic,M,7,True,18.0,15.0,2.0,1.0,0.0,5.0,6.0,10.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,31.0,22.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,50.0,100.0,,,,,,,,
14147333,home,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,F,77,True,13.0,9.0,0.0,0.0,0.0,1.0,2.0,8.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,31.0,20.0,7.0,5.0,0.4,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,69.23076923076923,,100.0,100.0,,,,1.0,1.0,,
14147333,home,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,7.0,5.0,1.0,0.0,0.0,,,5.0,7.0,3.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,16.0,13.0,6.7,3.0,0.06,0.2,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,71.42857142857143,0.0,66.66666666666666,100.0,,1.0,,1.0,,,
14147333,home,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,F,72,True,4.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,16.0,4.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,75.0,,,,,,,,,,
14147333,home,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147333,home,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147333,home,6226,FK Dečić Tuzi,1799572,Halil Kajoshaj,halil-kajoshaj,D,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147333,home,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147333,away,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,False,17.0,8.0,13.0,4.0,0.0,4.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,90.0,21.0,8.6,10.0,0.0,0.0,"{'original': 8.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,47.05882352941176,30.76923076923077,,,0.0,,,,,,
14147333,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,21.0,16.0,5.0,4.0,0.0,8.0,8.0,6.0,11.0,3.0,1.0,4.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,,,,,,,90.0,33.0,7.4,11.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,3,8,76.19047619047619,80.0,33.33333333333333,,,,2.0,,,,
14147333,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,20.0,11.0,11.0,6.0,0.0,6.0,10.0,3.0,6.0,0.0,0.0,7.0,4.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,22.0,6.9,10.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,11,6,3,3,55.00000000000001,54.54545454545454,,,,,1.0,,,,
14147333,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,24.0,18.0,3.0,2.0,0.0,12.0,14.0,4.0,5.0,0.0,0.0,3.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,34.0,7.4,10.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,75.0,66.66666666666666,,,,,3.0,,,,1.0
14147333,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,19.0,11.0,3.0,2.0,0.0,6.0,9.0,5.0,10.0,3.0,1.0,1.0,0.0,10.0,6.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,68.0,30.0,6.4,10.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,6,9,57.89473684210527,66.66666666666666,33.33333333333333,33.33333333333333,,,1.0,,,,1.0
14147333,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,12.0,10.0,1.0,0.0,0.0,4.0,4.0,6.0,8.0,1.0,1.0,4.0,3.0,12.0,6.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,84.0,31.0,6.6,12.0,0.0,0.11,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,7,11,3,8,83.33333333333334,0.0,100.0,50.0,,,1.0,1.0,,,2.0
14147333,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,27.0,23.0,10.0,7.0,0.0,8.0,9.0,14.0,17.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,39.0,8.1,7.0,0.15,0.0,"{'original': 8.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,85.18518518518519,70.0,,100.0,,,3.0,,1.0,,
14147333,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,24.0,18.0,3.0,1.0,0.0,10.0,13.0,8.0,11.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,78.0,33.0,6.8,7.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,75.0,33.33333333333333,,100.0,,,,,,,
14147333,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,18.0,12.0,6.0,3.0,0.0,8.0,10.0,3.0,6.0,1.0,0.0,1.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,27.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,66.66666666666666,50.0,0.0,100.0,,,1.0,,,,
14147333,away,228024,FK Bokelj Kotor,1218295,Ayumu Nishimura,ayumu-nishimura,F,99,False,8.0,5.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,9.0,2.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,68.0,14.0,6.3,17.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,11,5,1,4,62.5,,,,,,,,,,2.0
14147333,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,F,10,False,21.0,14.0,5.0,3.0,0.0,2.0,2.0,12.0,19.0,2.0,0.0,3.0,0.0,9.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,78.0,32.0,7.6,8.0,0.27,0.13,"{'original': 7.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,66.66666666666666,60.0,0.0,50.0,,,,1.0,,,1.0
14147333,away,241802,FK Bokelj Kotor,57463,Saša Balić,sasa-balic,D,34,True,5.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,22.0,7.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,80.0,,,,,,2.0,,,,
14147333,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,True,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,22.0,10.0,6.9,3.0,0.29,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,75.0,,,100.0,,1.0,,,,,
14147333,away,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,True,8.0,6.0,1.0,1.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.0,11.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,100.0,,,,,,,,,
14147333,away,120152,FK Bokelj Kotor,1048761,Sotirios Kokkinis,sotirios-kokkinis,M,28,True,6.0,4.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,6.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,12.0,13.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,66.66666666666666,50.0,100.0,60.0,,,,,,,
14147333,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,M,16,True,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,6.0,2.0,6.4,0.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,100.0,,,,,,,,,
14147333,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147333,away,7581,FK Bokelj Kotor,1218106,Andrija Krivokapić,andrija-krivokapic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147333,away,7581,FK Bokelj Kotor,1565052,Matija Delić,matija-delic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
