match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,fouls,keyPass,shotValueNormalized,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,aerialLost,bigChanceMissed,shotOffTarget,outfielderBlock,wasFouled,blockedScoringAttempt,dispossessed,goals,penaltyWon,totalOffside,savedShotsFromInsideTheBox,penaltyFaced,errorLeadToAShot,penaltyConceded,hitWoodwork
14015521,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,33.0,25.0,11.0,3.0,0.0,23.0,25.0,2.0,8.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,90.0,43.0,6.6,9.0,0.0018,"{'original': 6.6, 'alternative': 7.1}",0,-0.05,-0.04,-0.04,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.75757575757575,27.27272727272727,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015521,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,38.0,23.0,14.0,7.0,0.0,10.0,13.0,13.0,25.0,2.0,2.0,,,,,,88.0,62.0,7.5,21.0,,"{'original': 7.5, 'alternative': 7.2}",1,0.37,0.1,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,60.526315789473685,50.0,40.0,100.0,,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
14015521,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,37.0,26.0,9.0,2.0,0.0,18.0,20.0,8.0,17.0,5.0,3.0,,,,,,90.0,47.0,6.8,12.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.04,0.05,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,70.27027027027027,22.22222222222222,,,,,,1.0,2.0,3.0,,,,,1.0,,,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
14015521,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,34.0,25.0,7.0,3.0,0.0,18.0,19.0,7.0,15.0,7.0,3.0,,,,,,90.0,47.0,6.7,9.0,,"{'original': 6.7, 'alternative': 7.4}",1,0.1,0.05,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,0,2,73.52941176470588,42.857142857142854,,,,,,2.0,5.0,2.0,,,,,2.0,,-0.35,,3.0,,,,3.0,1.0,1.0,2.0,,,,,,,,,,,
14015521,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,31.0,16.0,7.0,1.0,0.0,8.0,12.0,8.0,19.0,10.0,3.0,,,,,,90.0,60.0,7.1,21.0,,"{'original': 7.1, 'alternative': 7.2}",0,-0.02,-0.05,0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,51.61290322580645,14.285714285714285,,,,,,2.0,2.0,6.0,,,,,2.0,1.0,,,,3.0,2.0,2.0,,,,,1.0,,,,,,,,,,
14015521,home,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,20.0,16.0,2.0,,0.0,7.0,9.0,9.0,11.0,1.0,4.0,,,,,,80.0,34.0,6.8,8.0,,"{'original': 6.8, 'alternative': 6.8}",2,0.16,0.02,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,80.0,,,,,,,,5.0,5.0,,,,1.0,2.0,,0.1,2.0,,4.0,3.0,4.0,1.0,,,,1.0,1.0,,,,,,,,,
14015521,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,60.0,40.0,18.0,6.0,0.0,16.0,20.0,24.0,40.0,,5.0,,,,,,81.0,71.0,7.5,23.0,,"{'original': 7.5, 'alternative': 7.2}",1,0.41,0.22,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,66.66666666666666,33.33333333333333,,,,1.0,,1.0,4.0,4.0,,,,1.0,1.0,1.0,-0.04,1.0,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,,,,,,,,
14015521,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,22.0,16.0,1.0,1.0,0.0,3.0,3.0,13.0,19.0,,9.0,,,,,,90.0,41.0,7.2,12.0,,"{'original': 7.2, 'alternative': 7.5}",1,0.09,0.26,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,72.72727272727273,100.0,,66.66666666666666,,,,,8.0,7.0,3.0,2.0,,1.0,3.0,,0.32,1.0,1.0,3.0,,2.0,2.0,,,,2.0,,1.0,1.0,,,,,,,
14015521,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,False,32.0,23.0,4.0,1.0,0.0,5.0,5.0,18.0,27.0,,6.0,,,,,,90.0,54.0,6.3,17.0,,"{'original': 6.3, 'alternative': 7.3}",3,-0.14,0.4,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,5,7,71.875,25.0,,25.0,,2.0,,,12.0,5.0,4.0,1.0,,2.0,4.0,1.0,-0.45,1.0,,,,3.0,5.0,,1.0,,4.0,,,,1.0,,,,,,
14015521,home,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,False,24.0,19.0,2.0,1.0,0.0,6.0,7.0,13.0,17.0,,2.0,,,,,,88.0,37.0,6.7,10.0,,"{'original': 6.7, 'alternative': 7.1}",1,-0.01,0.09,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,5,0,79.16666666666666,50.0,,100.0,,1.0,,,5.0,5.0,1.0,1.0,,,,2.0,-0.13,,,1.0,,3.0,5.0,,1.0,,3.0,,,,,2.0,,,,,
