player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Jay Enem', 'slug': 'tyron-enem-jay-ifeanyi-junior', 'shortName': 'J. Enem', 'position': 'F', 'jerseyNumber': '42', 'userCount': 583, 'gender': 'M', 'id': 1937553, 'fieldTranslations': {'nameTranslation': {'ar': 'جاي إينيم'}, 'shortNameTranslation': {'ar': 'ج. إينيم'}}}",False,miss,corner,"{'x': 6.9, 'y': 49.9, 'z': 0}",head,high-left,"{'x': 0, 'y': 62.5, 'z': 44.4}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6131155,90,5351,"{'start': {'x': 49.9, 'y': 6.9}, 'end': {'x': 37.5, 'y': 0}, 'goal': {'x': 37.5, 'y': 55.6}}",1,49,2651,shot,,
"{'name': 'Sandro Trémoulet', 'slug': 'sandro-tremoulet', 'shortName': 'S. Trémoulet', 'position': 'D', 'jerseyNumber': '18', 'userCount': 165, 'gender': 'M', 'id': 1388249, 'fieldTranslations': {'nameTranslation': {'ar': 'ساندرو تريموليه'}, 'shortNameTranslation': {'ar': 'س. تريموليه'}}}",True,miss,corner,"{'x': 6.7, 'y': 51.7, 'z': 0}",head,high-right,"{'x': 0, 'y': 39.7, 'z': 48.6}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6131104,85,5060,"{'start': {'x': 51.7, 'y': 6.7}, 'end': {'x': 60.3, 'y': 0}, 'goal': {'x': 60.3, 'y': 51.4}}",6,340,2360,shot,,
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,save,assisted,"{'x': 13.5, 'y': 26.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.1, 'z': 2.5}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6131006,77,4617,"{'start': {'x': 26.2, 'y': 13.5}, 'block': {'x': 48.4, 'y': 0.2}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 97.5}}",14,783,1917,shot,"{'x': 0.2, 'y': 48.4, 'z': 0}",
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.4, 'z': 5.7}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6130841,66,3924,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 53.6, 'y': 0}, 'goal': {'x': 53.6, 'y': 94.3}}",25,1476,1224,shot,,penalty
"{'name': 'Miloš Popović', 'firstName': 'Milos Popovic', 'slug': 'milos-popovic', 'shortName': 'M. Popović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 27, 'gender': 'M', 'id': 1165840, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش بوبوفيتش'}, 'shortNameTranslation': {'ar': 'م. بوبوفيتش'}}}",True,save,assisted,"{'x': 21.5, 'y': 52.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.9, 'z': 15.2}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6130834,64,3810,"{'start': {'x': 52.3, 'y': 21.5}, 'block': {'x': 49.8, 'y': 1.9}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 84.8}}",27,1590,1110,shot,"{'x': 1.9, 'y': 49.8, 'z': 0}",
"{'name': 'Uroš Stojanović', 'slug': 'uros-stojanovic', 'shortName': 'U. Stojanović', 'position': 'D', 'jerseyNumber': '24', 'userCount': 18, 'gender': 'M', 'id': 881211, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ستويانوفيتش'}}}",False,miss,corner,"{'x': 7.9, 'y': 44.9, 'z': 0}",head,high,"{'x': 0, 'y': 52.1, 'z': 63.9}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6130815,61,3643,"{'start': {'x': 44.9, 'y': 7.9}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 36.1}}",30,1757,943,shot,,
"{'name': 'Aleksej Vukičević', 'firstName': 'Aleksej Vukicevic', 'slug': 'aleksej-vukicevic', 'shortName': 'A. Vukičević', 'position': 'D', 'jerseyNumber': '45', 'userCount': 108, 'gender': 'M', 'id': 1146082, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسي فيوكيتشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. فيوكيتشيفيتش'}}}",False,save,assisted,"{'x': 29.3, 'y': 60.7, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 7}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6130814,61,3616,"{'start': {'x': 60.7, 'y': 29.3}, 'block': {'x': 50.9, 'y': 2.2}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 93}}",30,1784,916,shot,"{'x': 2.2, 'y': 50.9, 'z': 0}",
"{'name': 'Jovan Šljivić', 'slug': 'jovan-sljivic', 'shortName': 'J. Šljivić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 666, 'gender': 'M', 'id': 1153956, 'fieldTranslations': {'nameTranslation': {'ar': 'بيليتيتش إ / ميلوفانوف ت'}, 'shortNameTranslation': {'ar': 'ب. ت'}}}",False,block,set-piece,"{'x': 9.7, 'y': 37.8, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50, 'z': 19}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6130813,60,3591,"{'start': {'x': 37.8, 'y': 9.7}, 'block': {'x': 45.3, 'y': 2.9}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 81}}",31,1809,891,shot,"{'x': 2.9, 'y': 45.3, 'z': 0}",
"{'name': 'Mateja Gašić', 'firstName': 'Mateja Gasic', 'slug': 'mateja-gasic', 'shortName': 'M. Gašić', 'position': 'D', 'jerseyNumber': '66', 'userCount': 40, 'gender': 'M', 'id': 1147541, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا غاشيتش'}, 'shortNameTranslation': {'ar': 'م. غاشيتش'}}}",True,save,assisted,"{'x': 24.1, 'y': 71.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.2, 'z': 15.8}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6130751,56,3327,"{'start': {'x': 71.1, 'y': 24.1}, 'block': {'x': 51.6, 'y': 2}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 84.2}}",35,2073,627,shot,"{'x': 2, 'y': 51.6, 'z': 0}",
"{'name': 'Nikola Knežević', 'firstName': 'Nikola Knezevic', 'slug': 'nikola-knezevic', 'shortName': 'N. Knežević', 'position': 'M', 'jerseyNumber': '11', 'userCount': 216, 'gender': 'M', 'id': 1147565, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ن. كنيزيفيتش'}}}",False,miss,assisted,"{'x': 9.4, 'y': 58.7, 'z': 0}",head,high,"{'x': 0, 'y': 49.1, 'z': 76.4}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6130738,55,3262,"{'start': {'x': 58.7, 'y': 9.4}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 23.6}}",36,2138,562,shot,,
