match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,totalContest,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,shotValueNormalized,challengeLost,outfielderBlock,keyPass,aerialLost,shotOffTarget,hitWoodwork,fouls,dispossessed,unsuccessfulTouch,blockedScoringAttempt,bigChanceCreated,wonContest,bigChanceMissed,penaltyFaced,punches,penaltyConceded
14015512,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,False,11.0,5.0,,,0.0,2.0,3.0,3.0,8.0,6.0,,4.0,3.0,,,,,,61.0,26.0,6.9,10.0,,"{'original': 6.9, 'alternative': 7.1}",3,-0.1,0.38,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,45.45454545454545,,,100.0,,,,1.0,5.0,1.0,2.0,,1.0,1.0,1.0,-0.11,2.0,,,1.0,1.0,,2.0,,3.0,,,1.0,1.0,,,
14015512,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,12.0,10.0,2.0,,0.0,6.0,6.0,4.0,6.0,,3.0,1.0,,,,,,,45.0,19.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.12,-0.07,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,83.33333333333334,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
14015512,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,6.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,,,,,,,,29.0,15.0,7.0,3.0,,"{'original': 7, 'alternative': 7.3}",1,0.21,-0.48,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,66.66666666666666,50.0,,,,,,1.0,2.0,,,,,3.0,3.0,-0.16,1.0,,1.0,,,,2.0,,1.0,1.0,1.0,,,,,
14015512,home,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,22.0,7.0,6.8,1.0,,"{'original': 6.8, 'alternative': 6.6}",2,0.25,0.26,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,66.66666666666666,,,,,,,,2.0,,1.0,,,2.0,1.0,-0.55,,,1.0,,1.0,,2.0,,,,,,1.0,,,
14015512,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,True,2.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,14.0,6.0,7.1,2.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.33,0.03,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,50.0,100.0,50.0,,,2.0,1.0,,,,,,,1.0,,,,1.0,2.0,,,,,,,,1.0,,,,,
14015512,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,1.0,,,,0.0,,,,1.0,3.0,2.0,,,,,,,,14.0,7.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.02,-0.16,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,,,,,,,,3.0,3.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,
14015512,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,home,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,home,232533,FK Čukarički,2334058,Veljko Zuric,veljko-zuric,M,66,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,home,5148,FK Čukarički,1149291,Matija Marsenić,matija-marsenic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,29.0,22.0,10.0,3.0,0.0,22.0,24.0,,5.0,1.0,2.0,8.0,,,2.0,3.0,1.0,1.0,90.0,40.0,5.7,7.0,0.2346,"{'original': 5.7, 'alternative': 6.1}",0,0.0,-0.01,-0.4,-0.82,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.86206896551724,30.0,,,100.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
14015512,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,38.0,35.0,6.0,4.0,0.0,19.0,21.0,16.0,17.0,1.0,3.0,3.0,,,,,,,86.0,63.0,5.9,10.0,,"{'original': 5.9, 'alternative': 6.1}",1,0.16,0.02,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,92.10526315789474,66.66666666666666,33.33333333333333,,,3.0,1.0,1.0,3.0,,,,,,,-0.53,,,1.0,1.0,1.0,,3.0,1.0,3.0,,,,1.0,,,1.0
14015512,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,73.0,64.0,11.0,7.0,0.0,47.0,50.0,17.0,23.0,3.0,4.0,6.0,2.0,,,,,,90.0,90.0,5.7,15.0,,"{'original': 5.7, 'alternative': 6.3}",1,0.27,0.08,-0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,87.67123287671232,63.63636363636363,100.0,,,1.0,1.0,1.0,10.0,,,,1.0,,,-0.53,1.0,1.0,1.0,4.0,1.0,,2.0,3.0,3.0,,,,1.0,,,
14015512,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,67.0,62.0,3.0,2.0,0.0,46.0,48.0,16.0,19.0,3.0,4.0,1.0,1.0,,,,,,90.0,73.0,6.0,5.0,,"{'original': 6, 'alternative': 6.2}",0,0.09,0.02,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,92.53731343283582,66.66666666666666,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
